page 1	論美蘇關係
page 2	晉東南日近又蠢動
page 2	我乘陰雨攻入隨北
page 2	魯南我軍攻克徠庄
page 2	英照會日美駐華北及上海英軍開始撤退駐上海英軍共一千五百名英政府決調其往他處服務
page 2	八一三將屆上海戒嚴各馬路佈置鐵絲網武裝軍隊四出巡查
page 2	國產染料應時而出
page 2	川謀平準米價
page 2	川擬設立古物保存委會
page 2	桂省定期追悼馬君武
page 2	日向越督提備忘錄越南局面愈形緊張越南法當局現正積極準備抵抗
page 2	不可不防
page 2	玩弄把戲
page 2	象喜亦喜
page 2	滬各業團體堅持嚴正立場
page 2	一位熱心工合的英國朋友艾黎先生
page 2	關麟徵將軍抵渝對外記者發表談話預料中國將來必獲勝利必有一日不戰而屈日本
page 2	宜昌會戰損折甚巨日軍勢蹙無法掙扎各地我軍猛施攻擊日甚恐慌日軍內怨外叛勢成強弩之末
page 3	意軍攻陷斯拉後向貝比拉續進擔任進攻英屬索馬利蘭意軍係意王從弟柯士遠伯爵統率
page 3	貝當下令改組海外殖民地政治組織非洲赤道法屬合組一政治單位西非及中非殖民地亦合併管理
page 3	林白主張親德大受各方攻擊
page 3	印度總督宣言期許印度自治擬將印度總督行政委會擴大使印度各黨派可派代表參加
page 3	羅京英使館有一差役被拘英向羅提出抗議
page 3	英國人民踴躍捐款購機
page 3	羅頒新條例嚴限猶人將境內猶太人分為三種待遇
page 3	英日間空氣無何改變
page 3	日謂滇緬路仍許輸運軍火此說係絕對不確
page 3	七月份英被空襲損失死傷男女六七百人
page 3	蘇美努力改善邦交關係
page 3	英現時無須舉行帝國戰爭會議
page 3	保羅會議將於日內舉行羅匈初步談判亦已結束
page 3	哥爾將軍向全世界廣播痛斥貝當政府謂其玩弄把戲
page 3	英軍官協助美國改善坦克車構造形式英允將　得經驗貢獻於美使美製造標準化之坦克車
page 3	旅居埃及外僑一律均要登記
page 3	美願放款建造六飛機廠
page 3	里比亞上空亦發生大空戰意機被擊落十五架
page 3	美郵務總監法里辭職照准
page 3	湘省豐收
page 3	美志願軍動員案菲律濱亦包括
page 3	利得稅　徵成績極佳
page 3	粵毫券對國幣比率每毫券一元作國幣七角
page 3	邕欽路日軍被我痛擊
page 3	陝合作事業積極進行
page 3	滬成恐怖世界又發生綁票案昇和織染公可經理王壽祺被四匪擄去
page 3	贛東各地豐穫
page 3	英倫海峽上空激戰擊落德機七十架參加作戰德機三百五十架此次空戰劇烈為向所僅見
page 5	所謂海防委會復活
page 5	順德饑民搶米潮擴大集團搶米以婦女為多
page 5	私梟聯宴怪劇叢生
page 5	大小淋島已無日蹤
page 5	粵振濟會救濟東江水災臨時組織救濟隊
page 5	所謂寶安維持會議決抽田地屋宇等稅南頭日軍之特別戒嚴
page 5	上半年粵僑出入口統計歸國較出國多千餘人
page 5	瓊島我日最近戰情
page 5	日機艦在瓊海活躍
page 5	最近日軍萬餘開抵瓊島瓊崖沿海日機艦之行動我軍出擊定安解決仙溝日雜等軍日軍犯新市被我堵擊死傷百餘名
page 5	大批日兵源源抵瓊
page 5	什軍擾民樂市被我截擊死傷數十
page 5	黑阪都一調職東江日軍受創易將村田治太郎任東江前線指揮
page 5	粵戰地縣份準備實施新制台山等六縣一年內完成
page 5	粵省調節米糧續訊訂有實施辦法八項
page 5	日機恐嚇乾霧鄉民無效白蕉之所謂海防委會復出現日派顧問兩人監視其行動私梟設讌演成一幕狂醉劇
page 6	潮安雲步市雜軍反正我團隊飛機進襲
page 6	大良雜軍騷擾鄉村
page 6	押運食鹽中途變賣當局嚴予查究押運者已遠去
page 6	馬少屏復自由
page 6	日機飛襲正果被我　軍砲擊
page 6	普遍推行試政各省市設攷選分機關
page 6	日艇擾萬金沙
page 6	攻其無備突予猛擊
page 6	花縣我軍進擊人和
page 6	緊扼沿岸嚴陣迎擊
page 6	日軍三股渡河被殲
page 6	從化日軍力圖掙扎三路渡河被我殲擊一股被困龜嘴其餘狼狽潰遁花縣日軍換防我猛襲人和墟
page 6	余主任報告粵省軍政各戰場反攻出擊均有收穫七月份省政六項次第施行
page 7	僑團學校籌備紀念八一三擦鞋小童義擦籌振超立社亦沿門獻果
page 7	擦鞋童子義擦一天
page 7	元朗小販籌備義賣
page 7	港代督封翁居港事蹟划艇及球戲比賽獲獎杯任賀爾特船公司代理人
page 7	師生旅行遇劫
page 7	美國飛剪機處女航趣聞
page 7	福建商會改選康鏡波任正主席
page 7	新環球公司業務突飛猛進明年增攝影片數十部
page 7	港青年會響應慰勞空軍
page 7	英名記者過港
page 7	歸僑緩役辦法香港土生或居港日久經商會證明者可緩役
page 7	東江運輪商會將補行開幕禮
page 7	超立社亦沿門獻果
page 7	義賣委會昨已成立
page 7	日撕毀珠江航運協定英商船佛山號返港無期港府亦禁廣州日輪來港
page 8	廿七晚燈火管制港口一律封鎖禁止一切船隻出入航政司豪輅之佈告
page 8	又一業主迫遷失敗住客得直不必遷徒
page 8	馬嘉仙峽交通尚未恢復
page 8	本港百年紀念郵票由二仙至一元共分六種本年十月底可運抵本港
page 8	閩國貨陳列館積極徵求貨品
page 8	醫界長期捐款七月份之成績
page 8	衛生局取締不潔小販
page 8	留營難民略增
page 8	匪徒專向小販搶掠東區一帶小販甚為驚恐
page 8	老人被控虐待少妾李美玉兩腿鞭痕滿佈公堂上力述作妾之苦
page 8	美爾頓學院籌賑游藝大會定今明兩日舉行
page 8	又一茶客跳樓
page 8	海盜截劫漁艇
page 8	大批牲口到港本港肉食不虞缺乏
page 8	今年的乞巧節僑港的同胞們快回祖國去吧實行做牛郎織女為祖國生產
page 8	王子俊昨抵港
page 8	政務巡視團員談片我抗建大業基礎穩固全國人民意志堅定刻苦耐勞我政府現積極促進行政效率
page 10	棒球聯賽錦標戰港啤三逢水兵今午二時半會師加山工力悉敵看誰獲冠軍
page 10	中西三角對抗
page 10	今夕西青東方鐘聲三角游泳對抗域多利與勵進爭雄華人港大水上競技
page 10	青支會太極拳班昨日開始授課
page 10	中青職工籃球隊今日師征澳
page 10	域會勵進爭雄
page 10	學籃亞軍決戰思思擊敗南華五十二比廿八
page 10	華人港大競技
page 10	星島歸鴻六
