page 1	日本對美之狀態
page 2	軸心國家將向英倫進攻英德意海空軍連日激戰料德侵英將先犯愛爾蘭
page 2	法總統已辭職貝當已委任新內閣重要閣員多屬蟬聯
page 2	貝當政府公佈憲法
page 2	美記者目擊談法軍敗績經過法軍繆司河之敗出人意外森姆河之戰法軍亦不堅守
page 2	美海軍與廠家簽訂合約發展兩洋海軍力量
page 2	德國西部居民奉召返鄉
page 2	希輪士吉　號被炸沉沒
page 2	德竟恫嚇南美諸國不得採取反德態度赫爾　德無理由干涉美洲事情
page 2	波蘭總理致書英海軍部感激英海軍之援助
page 2	土總理演說稱決以武力自衛土國民會議信任政府
page 2	美民主黨推舉羅斯福為總統候選人比恩氏及合金氏負責進行羅斯福本人至今尚無表示
page 2	法郎與英鎊斷絕聯繫而與美元相聯
page 2	傅英已接納日要求禁止滇緬公路運輪成立兩項條款求得巨方默許日對安南荷印繼續施行壓力
page 3	阿部與汪談判日言論不重視各大雜誌既無鼓吹論文各大日報亦少張揚論調
page 3	七中全會閉幕蔣總裁閉會詞全文二為什稱東亞不可以由日本來行
page 3	門羅主義
page 3	全不想想
page 3	時至今日
page 3	荒謬廣播
page 3	侵略安南
page 3	重視亞洲
page 3	自立自強
page 3	日憲兵事件日美會談內容秘密
page 3	冀籍旅豫同鄉組勞軍團
page 3	甘抗建紀念大會民眾獻金熱烈共得二萬餘元
page 3	偽通緝令實在不值注意愛國志士益堅奮鬥決心
page 3	甘臨參會延會三日
page 3	浙東我軍截獲日偽貨船
page 3	滬西日偽軍爭稅火併
page 3	葉卓元捐資興學
page 3	國府制定公布戰地公務員任用條例
page 3	陳立夫抵西寧
page 3	淪陷半月濮縣重見天日
page 3	台北發生反美示威事件美領事館書記被日捕去美考慮撤退台北美領館
page 3	綏西偽軍反正
page 3	英否認撤退滬英婦孺
page 3	贛勞軍團向熊主席獻旗
page 3	德方宣傳炸沉英輪統計達四百三十餘萬噸英方否認此數不確
page 3	我們不怕封鎖
page 3	美國第九個流線師團成立
page 3	平津疫症流行
page 3	斯溫奈島發生劇烈地震
page 3	天津英租界大部被潦浸沒
page 3	江南我軍近極活躍連日進擊南京四郊宜昌南岸旬日來殲日軍五千晉南張庄日軍輕進被我殲滅
page 5	調整新會各部團隊
page 5	攜械反正向我歸降
page 5	各地日軍增援江會
page 5	粵北我軍攻入神岡合圍新街粵路我收復大嶺向郭塘挺進龍口殘日突圍犯平山被痛殲
page 5	攻入神岡殲日三百
page 5	我克大嶺包圍新街
page 5	龍口日軍突圍不逞
page 5	梧州貨物運輸近況
page 5	增強宣傳機構各屬設宣委會
page 5	歐戰影響桐油出口驟減
page 5	公益都斛均增設查緝所
page 5	廣東傀儡內訌增劇汪宗準飛南京請示瀕行時聲言決設法對彭
page 5	一年來粵省財政概況稅收每月約三百餘萬省行業務有良好進展
page 5	匪偽爭護耕費兩次衝突各有死傷
page 5	偽軍在太平　集圖打通寶太路與聯絡邊界日軍我大軍已準備堵截東江潦退交通無阻
page 5	寶深路日偽調動忙
page 5	拆屋填　勉強通車
page 5	東江潦退交通恢復
page 5	順德各地被日偽焚劫彙誌
page 5	彭霖生調整團隊準備反攻睦洲大部偽軍又攜械向我投誠反攻中山消息付出呂春榮請援
page 6	訪問偽軍司令方正華他說偽軍兵源缺乏餉機給養均無著落在日人頤指氣使下幹非人的工作
page 6	戰區經濟會委兩分處主任桂林趙可任惠州古雲祥
page 6	台山各界紀念七七發動獻金救國征募禮金勞軍
page 6	西江日軍迫令三水各鄉徵壯丁每鄉五十名入伍補充
page 6	救基目擊記搶救崇步圍之情形
page 7	防空沙包八百萬個
page 7	防空人員酌與報酬
page 7	設接應站共十五處
page 7	國立各院校統一招生僑委會在港設登記處昨日開始在華南中學辦公
page 7	港府修正屋宇則例利便居民建築防禦物
page 7	粵省救委會昨開會高卓雄集木商會各捐千元發捐冊募藥品救傷難同胞
page 7	省振濟會駐港辦事處擬搭棚收容邊境難民將再訪晤司徒永覺報告情形回藉難民無法生存重入英界
page 7	去月所得雨水三十寸七分九厘
page 7	售花捐款續收四百餘元
page 7	歐亞航空公司擬辦港桂滇班
page 7	僑胞踴躍購儲蓄券遷入內地不便多攜現金
page 7	防空哨位四百餘個
page 7	防空總部加速完成防空工作通衢大道均堆沙包每隔五百碼即須設置設防空崗位四百餘個
page 8	港紳杜四端昨日出殯盛況
page 8	我國紅十字會捐贈港府救護車八輛藥物九百箱國幣十萬元醫務總監昨已復函申謝
page 8	處置垃圾辦法衛生局　員將提出質問
page 8	法民航機失事法航公司已證實
page 8	陸海通旅店旅客刺傷少女兇手前晚投宿該店召女作陪昨晨突然行兇案發後被拘捕
page 8	深灣海面六賊截劫貨艇貨物銀兩被掠一空
page 8	護士考試揭曉
page 8	三院職工加薪
page 8	救傷隊員出巡市面勸告露宿難民返鄉外僑千餘人昨日離港各醫院準備疏散病人
page 8	英人登記繼續進行
page 8	醫院準備疏散病人
page 8	學生並未奉令疏散
page 8	赴美輪船乘客擠擁
page 8	導遊女被迷竊積匪入獄八月
page 8	去月南渡人數三千三百六十四名
page 8	菲律濱飛剪機今日下午可抵港
page 8	港府實施緊急法例嚴防搗亂份子活動授權警察隨時入屋搜查罪犯懲治並同時公布
page 10	今日精彩棒球賽中華重逢水兵勝負關係錦標前途另一幕港啤戰香港
page 10	南華昨日擊敗工程成績為十七比十一
page 10	籃球戰訊
page 10	游泳對抗成績
page 10	友誼小型球消息
page 10	體協會派出代表將面謁王正廷請示今後會務之改進
