page 2	香港屋租問題三
page 3	政府將發表粵中大批師表
page 3	龍濟光來往津保謀活動
page 3	吳佩孚密匯二百萬付港交李烈鈞楊希閔平分
page 3	黎元洪對張紹曾已露不肯積極維持態度
page 3	張其鍠出京預備赴桂省長任
page 3	十八日特別閣議對粵決由贛南助沈鴻英對閩信任王永泉嚴防臧致平對獨立艦隊召朱泮藻速離廈門
page 3	公使團消息李烈鈞表示不助孫文勸孫回滬免礙統一
page 3	張紹曾密令林俊廷辦理粵桂聯防協助沈鴻英
page 3	曹錕以粵閩戰事需械決購意國存械電蘇魯陝甘分攤二十萬磅收買令林虎集中韶關
page 3	馮玉祥對奉直擬先中立至必要時仍助直
page 3	張作霖主張待粵浙及閩臧致平發動然後派兵入關
page 3	段祺瑞對時　暫不出面三角同盟原議未變俟直系最高問題發生反響時始發動
page 3	保定對制憲借款要銀團月墊四百萬避免鐵路擔保洛陽請先向國內銀團接洽或發
page 3	行內債用途公開回扣歸公財長劉恩源主發二千萬庫券先行制憲再進行借款但國內銀團決定暫不貸款故庫券恐難售
page 3	吳佩孚電張紹曾國會不制憲不議外交重要案反提不信任內閣然則人民豈能信任國會
page 3	奉軍集中綏中
page 3	康有為十八日到洛陽
page 3	張作霖調回北滿奉軍開赴遼西故保定戒嚴檢查郵電
page 3	但懋辛軍退聚滬唐繼堯助械使反攻
page 3	吳佩孚電蕭耀南分軍援黔仿圍魏救趙計
page 3	李烈鈞抵廈門閩南形勢日亟福州城北軍陸續出發
page 3	護閣派十四政團以憲友會為中堅謂不信任制約法無規定如國會通過不信任案則政府亦能解散國會故倒閣派氣勢稍和緩
page 3	閩艦決中立消極拒孫傳芳李國華王獻　在永安接觸孫傳芳令周蔭人前往鎮攝
page 3	浙軍迫長北福寧吃緊
page 3	吳佩孚令趙榮華宋鶴庚楊森合取資瀘盧金山王汝勤擔任夔萬勦匪
page 3	公使團質問如鴉片公賣對中英禁煙條約如何處置
page 3	劉公島問題英委員已讓步僅英艦避暑尚待磋商
page 3	趙恒惕列名西南寒十四日電致京傳趙恒惕李烈鈞聯合圖贛斷北軍後路故洛吳密電蔡成勳注意湘局適周震麟電趙如從孫文當撤駐洛代表故洛電趙在岳州設兩湖巡閱使行署趙特派員謁蕭耀南請幹旋
page 3	杜錫珪電京永健艦調寧未赴滬
page 3	傳熱河朝陽方面直軍準備攻奉洛陽主征蒙係斷奉右
page 3	臂計劃由察綏熱三特別區集中喜峰另甘肅新疆出兵科布多
page 3	宜昌訊但懋辛賴心輝願議和楊森令各派代表到重慶商收束
page 3	漢口傳駐贛七艦與滬艦一致江貞杜艦隊謁蕭耀南聲明係謠言
page 3	施肇基十九日赴美使任
page 3	岑春　泒溫宗堯十八日謁齊　元商粵桂軍事
page 3	滇沈兩軍最近戰訊
page 3	告示照錄
page 3	梧州船中途折回
page 3	鎳幣價格又跌
page 3	許軍開拔之電訊
page 3	許部移防潮汕續聞
page 3	暴風沉船之西訊
