page 1	但澤與歐局
page 2	晉東南血戰經旬我軍完全克復晉城Ｘ三次反攻均為我軍擊退Ｘ佈置進攻西北基礎粉碎
page 2	英國外交政策全文五倫敦國際學會中之英外相演講
page 2	Ｘ機大舉轟炸嘉定全城被燬四分之三日軍誤得情報謂蔣在嘉定故派大批飛機往嘉定投彈
page 2	華北天雨綿天津全區被浸街道水深數尺交通全賴船艇日軍現亦無暇封鎖英法租界
page 2	通山方面我軍迭克要地完全將Ｘ控制
page 2	通許之Ｘ南犯受創
page 2	關於英日談判英外部發表正式聲明拒絕與日談判中國各種經濟問題日將召開重臣會議商應付時局
page 3	意報評論恐嚇波蘭企圖不勞而獲勝利
page 3	武寧戰役中一位英雄
page 3	德蘇再國商務協定簽字德以二萬萬馬克貸予蘇聯蘇以一萬八千萬貨物輸德
page 3	霍士打謂但澤歸德英法不應加以干涉
page 3	英國國會今日開會籌劃應付國際局勢
page 3	國際古物學大會在德京舉行卅四國代表赴會賀浦教授款抑外賓
page 3	英海軍實力準備極為充實戰時全英帝國之沿海防禦數小時內可完成戰時準備
page 3	英陸相與法總統長談
page 3	星洲防禦設備現正加緊進行
page 3	我向英國定購大批鋼軌建築重昆鐵路
page 3	美當局各領袖俱赴鄉村休養美當局態度如此鎮定歐戰或不致短期爆發
page 3	滬英警偽警衝突案滬偽市長竟提出抗議要求工部局懲兇撫恤道歉日Ｘ聲言願為偽市長支撐
page 3	廣州偽維持會報告誘業主回廣州如逾期不回廣州者土地房屋均予沒收
page 3	常玉清確擊斃
page 3	我游擊隊伏擊平湖Ｘ軍
page 3	日組特別委會商議對美政策對美放棄商約準備回答
page 3	志士潛入漢口焚Ｘ軍用倉庫
page 3	新民捐金獻機
page 3	廣州偽當局宣佈收音機須領照
page 3	關於中英借款英方否認成立
page 3	希特勒將在丹能堡發表重要演說德軍百萬集中邊境威脅波蘭英政府將重申支撐波蘭決心
page 4	請求撥款
page 4	嗷嗷待哺
page 4	賑濟計劃
page 4	增城商會為難民呼籲電中央振濟委員會請撥巨款迅予救濟
page 5	Ｘ再來犯睦洲告陷
page 5	官田大火昨晨未熄
page 5	德記輪渡傳說被擄
page 5	我空軍南飛瓊崖轟炸海口一帶Ｘ陣斃Ｘ甚多破壞Ｘ機場機庫
page 5	三江坑尾亦被登陸
page 5	Ｘ陷陸洲今後趨勢
page 5	中山二區加緊戒備
page 5	我戰士馬良被擄寧死不吐軍秘
page 5	Ｘ軍車在邵邊中伏雷被炸燬
page 5	Ｘ由深圳再犯龍岡被我擊退龍橫公路昨日之大戰張陳兩部緊握廣九路中段
page 5	陳慎榮部轉戰東寶
page 5	保安隊分兵襲布吉
page 5	廣九中段在我手中
page 5	Ｘ犯龍崗再受重創
page 5	廣東省行溝通西南各省金融設立分行
page 5	省府紀念週中胡銘藻報省政
page 5	粵黨政軍各界舉行討汪抗Ｘ大會分電各縣市同時舉行
page 5	中華救護隊增組第四隊
page 5	Ｘ再以海陸空兵力犯睦洲睦洲淪陷三江亦在血戰中Ｘ在三江仁和里登陸在山地中爭奪戰甚烈官田全村大火之慘狀行走三埠德記渡被擄之傳聞
page 6	致美不參加侵略大會電
page 6	慰勞委員長及前線將士
page 6	選定大會理事四十七人
page 6	我團隊襲擊Ｘ軍衝入官窯殲Ｘ五六十人
page 6	中山舉行陣亡將士追悼大會
page 6	省府令失業教員集中韶關訓練後分派各縣工作
page 6	財廳各縣征收處清追舊人
page 6	中山增設前山收容難民分所
page 6	低廉價錢的誘惑
page 6	兩分行昨結束
page 6	順德Ｘ軍禁各鄉建築碉僂防我軍反攻時利用
page 6	潮汕我各高級將官昨邀集會商攻防大計我軍昨炸毀浮洋車站殲Ｘ數十
page 6	張發奎痛斥注逆向粵同胞播演詞三
page 6	反侵略會曲江支會召開會員大會詳誌電請英美加強制日選舉理事規定會期
page 7	我國工程專家王金職昨逝世
page 7	去月出入口貿易統計出入口均較去年同月激增
page 7	廉江縣長王廣軒昨病逝
page 7	籌賑新界難民賑聯會今日始開會討論
page 7	九龍衛前圍村五賊劫雜貨店瀕行嗚鎗一響示威流彈擊傷路人一名
page 7	婦人藏紅丸受重懲
page 7	傷人身體入獄三年
page 7	臬庭提審棄嬰案被告謂醫院不允收容陪審員認兩被告罪名成立但請從輕處罰官押候宣判
page 7	兩人棄嬰罪名成立
page 7	Ｘ圖封鎖香港禁寶安鄉民逃入英界英軍事當局發言人力斥其荒謬英Ｘ兩方代表昨會同勘明界線
page 8	華商籌賑會昨會議
page 8	昨又收到二萬餘元
page 8	深水　區義賣成績
page 8	各大行商踴躍獻金
page 8	摩星嶺砲台高射砲隊演習
page 8	江霞公痛斥汪逆一封覆汪希文的公開信
page 8	深圳陷後失蹤之女護士林劍雄已脫險並救得女傭一名男子二名昨駕舟抵流浮山轉道返港
page 8	救傷隊召開緊急會議討論應付非常時期之措施
page 8	南征隊移師三寶壟兩戰一勝一負三比一力挫冠軍隊二對三不敵選手隊
page 8	本星期日足球義賽奧馬氏慨允義任球証並捐出銀笛以作抽獎之用
page 8	強制服役近訊
page 8	香港孔聖會第十屆徵求福照隊冠軍徵得芳名列下正隊長曹福照君經手
page 8	職工鼎決賽成績
page 8	南華會女子部舉辦籃球訓練班
page 8	鐘聲游藝大會今為最後一天秩序更為精彩
page 8	今日籃球賽程
page 8	中華游泳場二次水藝有期
page 8	匈牙利創接力賽跑新紀錄
page 8	義賣獻金絕未稍懈商賑會又收到數萬元深水　區小販募得三萬餘元當地鮮魚販今日又開始義賣
