page 1	貝奈斯與捷克
page 2	我軍進圍靜樂Ｘ斃官兵四十餘人並奪獲軍用品無算
page 2	Ｘ機九架昨襲四會投彈卅餘枚死平民十餘
page 2	Ｘ偽製國鈔千萬元運抵華南圖擾亂我金融
page 2	鄂南我游擊隊進襲大沙坪多寶灣之Ｘ偷渡不逞
page 2	粵北我軍夜襲新民埠Ｘ不備被我擊斃廿餘人
page 2	我蘇中游擊隊截擊Ｘ軍Ｘ縱火焚上興埠
page 2	閩省延平發生火災精華盡付一炬
page 2	晉第六行政署首屆行政會議到決死隊犧盟區等代表開幕後獻旗與蔣委員長
page 2	Ｘ機狂犯許昌豫南一帶兵災慘重
page 2	Ｘ艦三艘進犯海門發炮向市區亂轟下午三時半北駛
page 2	贛Ｘ屢被我孤軍擊潰停止進攻廬山我仍時下山襲擊Ｘ結隊始敢運輸
page 2	法記者夏明夫人由渝抵宜視察被炸災區各界開會歡迎
page 2	沙市美教堂被Ｘ炸燬並燬民房五十餘間傷亡平民五十餘人
page 2	蘇聯照會德國不承認德併捷倘羅馬尼亞德國壓迫蘇將不得不出而干涉
page 2	英內閣舉行重要會議討論歐洲時局情形英將取較強硬態度
page 2	我軍圍攻平湖
page 2	英籍牧師李克在平江被炸斃另一牧師格拉克亦被炸中受微傷
page 2	西共和政府電請國民軍政府議和以冀成立光榮的和平
page 2	冀西我軍收復白堡塘湖殘Ｘ分向滿城易縣潰退
page 2	富滇鍊錫公司改用新法鍊錫
page 2	滇法院偵審刺范兇手
page 2	閩江Ｘ艦他駛
page 2	滬Ｘ在哈納輪捕去乘客三人
page 2	修河北岸戰事激烈吳城湖面Ｘ艦一艘被擊沉瑞武路Ｘ向殷家山等進犯
page 3	羅馬尼亞向英求援
page 3	斯省施行納粹教育
page 3	匈意態度尚未明瞭
page 3	德報著論對英恫嚇
page 3	德承認匈兼併捷土
page 3	英報主張各黨團結
page 3	意報開始向法攻擊
page 3	瑞士決定保持獨立
page 3	法上院財委會通過總理全權法案授特權於總理應付國防需要法總理將發表首次緊急法令
page 3	反侵略會代表將赴美國演講包毛返歐報告我國抗戰頗引起各國人士之注意
page 3	南菲同盟各地施行戒嚴因受德國威脅
page 3	美國加緊擴充空軍在各地徵募青年編航空後備隊
page 3	德軍入捷後捷人自殺甚多其中猶太人不少
page 3	捷前線統將在美組織臨事政府
page 3	美實業界邀請捷克技師赴捷　辦工業
page 3	美外交委會主席畢德門將提出一新中立法案主張廢止現行中立法授總統以特權美對德經濟採取攻勢徵德貨附加稅
page 3	耶路撒冷猶人罷工展期
page 3	各民主國謀大團結應會目前非常時局英法對德抗議為德拒絕德政府召駐英大使返國
page 4	商行防空建設連　首先完成
page 4	伍朝樞夫人昨　義演人員
page 4	中青服務隊短期內可出發昨向各界徵募物品
page 4	改良九龍街燈
page 4	兩女團募捐訊中國婦女會
page 4	孔教學院講學記
page 4	婦女慰勞會
page 4	馬頭涌平民寫昨開放島舍　間即　住滿　人居　凡　人
page 5	來往三埠澳門大新寧渡遇劫脫險般伴奮勇擊賊遂得安全走脫
page 5	西江戰局日趨緊張中我軍團聯合抗戰近情Ｘ機炸肇市七星岩詳誌
page 5	覃元超晉謁鄧龍光
page 5	加深鄉民政治認識
page 5	Ｘ機炸七星巖詳情
page 5	九江ＸＸ被擊唐景南立戰功魚種難於出關
page 5	西江自衛團阻Ｘ兵築炮陣Ｘ建小軍港迫民眾築路
page 5	財部准免稅洋米九萬包台恩新等九縣每縣占一萬包
page 5	十六日金利馬房均遭砲擊
page 5	南路地方長官概以軍人充任縣長將有更動
page 5	各地匪氛猖熾
