page 1	新中國之婦女
page 2	日物資發生恐慌提倡復古運動恢復石洞時間得藉以節省電力
page 2	陳光甫在美進行借款事宜借款根本協定已成立
page 2	北平花市場發生大火延燒五十餘家
page 2	蔣夫人舉辦文學獎金提拔新進女作家
page 2	東北紡織廠即可開工救濟東北難民
page 2	人事行政會議舉行第二次大會通過提案三十三件
page 2	七國立大學院　通電討汪
page 2	天津盛傳華北將有水災天氣漸暖上游冰雪漸溶衛河漳河淇河等已升漲
page 2	滬汪偽組織幹事汪駿被剌重傷
page 2	川臨參會議通過派遣留學生案
page 2	英煤油船被兩德機追擊有一船員受傷
page 2	世界最大郵船伊利沙白皇后號完成秘密開航昨夜可抵紐約係處女航船上並無搭客
page 2	英工黨議員不滿巴勒斯坦政策對政府加以彈劾
page 2	蘇聯重工業工程專家首批已抵蘭州賀耀組繼續與蘇商議中料蘇續有他種方式助我
page 2	前月在滬被綁之吳啟鼎已脫險
page 2	淺間丸九德人被釋離日返國
page 2	中央撥蔡氏治喪費萬元子女教育費三萬元
page 2	日兵車一列在晉中我地雷
page 2	鄂北隨縣南我日血戰粵三水北犯日軍潰退豫省我軍迭挫頑日斬獲甚多
page 3	維伊普拉灣變成一大屠場蘇軍現尚繼續猛攻芬軍不斷堅勇抵抗
page 3	美交外委會昨日開會未討論日美關係問題
page 3	四聯總處推進全國農貸意義與展望一
page 3	日眾議院通過驅逐齋籐出會
page 3	日本企圖早日結束戰事積極改善日英日法關係希望英法兩國出任調解
page 3	羅王將在國會宣佈羅國國策
page 3	荷輪在北海幾遇水雷幸得英空軍救助
page 3	維里斯抵巴黎將與法當局商議各項問題達拉第將解釋其戰爭目的
page 3	日輪寄德郵件在河內被檢查日領事向法政府抗議
page 3	中立國輪船若與聯軍輪船同行德機即進攻中立輪無論是否出於自願但責任應由聯軍方面負之
page 3	不明國籍飛機飛入丹麥領空
page 3	滇越鐵路恢復直通快車各列車已有睡車
page 3	意對英截留煤輪暫取緘默態度候英政府正式答覆抗議書希望獲得一友誼解決辦法
page 3	墨索里尼昨舉一女孫將命名為馬連那
page 3	德政府論波蘭糧食問題華沙方面限購糧食
page 3	羅馬教皇贈日皇古地圖日皇覆電表示感謝
page 3	英禁國人與德商行交易宣佈一黑名單列出百餘行名
page 3	傳蘇芬德意代表商談和平條件現正初步交換意見
page 5	我軍在神灣之抗戰
page 5	三九等區戰情亦烈
page 5	北嶺一帶仍在我手
page 5	日騎日車猛犯三鄉
page 5	橫門張家邊之戰事
page 5	前山翠微失陷情形
page 5	日偽軍集中太平寶安當局嚴密戒備太平日軍擾沙井不逞
page 5	增城日軍增加及其動態日修黃埔鐵路忽然停工增城內日軍之戒備情形
page 5	該路突告停工
page 5	日兵最近動態
page 5	各物異常昂貴
page 5	陳慶雲奉命出國慰僑
page 5	省府更調一批人員
page 5	我勢力伸張至牛崗
page 5	大峒墟日偽軍內鬨
page 5	桂南邕賓路戰事膠著欽縣大寺我失而復得欽防展開廣泛游擊戰及運動戰黃瑞華部擊上思潰退之日軍日艦二十餘艘仍集粵南海面
page 5	獎勵抗日有功民眾
page 5	反攻蘇墟旦夕可下
page 5	交通部制定商電密碼用法省府轉飭知照
page 5	桂洲海尾深夜火光燭天我團隊焚燬日軍杉排獅山日炮兵轟擊海尾
page 5	粵省奉令實施航空教育增加學生航空知能培養未來空軍人才
page 5	昨日中山各區之戰情日軍分路撲攻三鄉圖圍擊我團隊但僅撲一個空我在馬徑深灣等地截擊日軍橫門及三九區各地均有戰事石岐四面已展開保衛戰
page 6	反攻新街戰事劇烈
page 6	龍口日砲轟天獅嶺
page 6	我軍控制廣從交通
page 6	四月一日實行新縣制之實施步驟幹部人員之見 習各縣政費之增加
page 6	廣東綏署十二集團部撫卹將士死傷暫行辦法組撫卹事務委員會專辦
page 6	撫卹暫行辦法綱要
page 6	攻入馮涌
page 6	挺進官窯
page 6	三水方面
page 6	西江日艦
page 6	禪炭線我軍渡河猛攻官窯戰事極烈馮涌日軍被我掃蕩三水我軍出擊基塘
page 6	嶺東各縣米價略跌省府運銷東江之湘米已到米商往各地採購源源而來
page 6	粵傷兵之友社積極開展工作
page 6	惠陽春耕勸用改良種子
page 6	鄧龍光率部參加桂戰有功委座明令嘉獎並記大功一次
page 6	省府重令各縣實行節建儲金有存儲者應行補扣
page 6	陸豐疫症復劇
page 6	日軍再圖北犯粵路新街戰事益烈我軍攻入松埔龍口近郊續有激戰廣從路日交通受制
page 7	漁業研究基金
page 7	規定收市時間
page 7	戰稅用途規定
page 7	金銀場昨募數千元
page 7	酒樓業工友響應勞軍運動金銀場昨募三千餘元商賑會昨募得千餘元
page 7	商賑會上環隊成績
page 7	小販游藝淨得千元
page 7	淡水鮮魚昨日絕市因中山來源斷絕
page 7	酒樓職工響應勞軍
page 7	僑團捐助某部藥物
page 7	英商船部長宣布擴大徵用商船政策以便運輸戰時必需物品殖民地商船亦隨時徵用
page 7	多拉多機中途失事乘客郵件均無恙
page 7	本港婦女界今日紀念三八節紀念大會在加露連山舉行重慶廣播台請王立明演講
page 7	虛報劫案
page 7	二房東被控多租樓宇牟利法官限期將屋交回業主
page 7	貓狗展覽會本月十日開幕
page 7	八賊截劫漁船
page 7	立法局通過開徵戰稅稅金用途亦已規定短期內可實行規定商店收市時間法例初讀通過
page 8	初級法庭提審菜販殺姪疑案鄰人目擊被告與死者鬥爭醫生驗得死者被斫十七刀
page 8	節省陽光之建議一各行商提前收市一小時每日可節省煤斤十一噸
page 8	港澳賑濟會救濟中山難民難民數萬抵澳
page 8	基隆街紅丸案兩男婦祥臬定歉
page 8	蔡元培先生昨日入殮定十日出殯暫厝東華義莊蔣委長派吳鐵城代表致祭
page 8	入殮情形
page 8	各界致祭
page 8	同居人原來是賊上海街破獲圖劫案搜出假槍利刃及塞口物四犯被判各入獄六個月
page 8	定期出殯
page 8	各方唁電
page 8	贈飲美克甯乳粉
page 8	減租運動設計委員會成立決電請業主接納減租向　最高當局請願並請各社團協助彭子燦鄭國屏等十餘人被聘為委員
page 10	體協會執委會議議決要案多項菲女籃來港案商確後接納撥款二百元賑濟粵北難民下屆職員改選定五月中旬
page 10	督憲杯第二戰總會西聯隊陣容排定緊急委會判罰兩球員本年停賽
