page 1	德國戰略之變更
page 2	犯桂日軍已種敗因在戰略上言我已獲有成就日冒險突進將曹致命打擊
page 2	日軍增援再度猛犯蘆包赤泥白泥日軍肅清我向大小梅山攻擊
page 2	固陽西北發生激戰
page 2	我軍襲徐斃日軍官二名
page 2	呂梁山南我軍乘勝猛攻晉西我軍直撲趙城黑龍關日退臨汾西
page 2	桂省府訂定港澳僑胞入省居住辦法規定以龍津鬱林兩縣為入口處初入省境或縣境僑胞均須登記
page 2	雲溪附近日兵車中伏
page 2	信陽附近鐵路被我破壞
page 2	粵各界痛悼蟻光災
page 2	吳光新追贈陸軍上將
page 2	丁逆默村恐嚇滬工商界領袖
page 2	中華日報著論侮辱總理夫人渝輿論界極為憤激
page 2	湘北五學生臨難不苟省府已予褒揚並請國府撫卹
page 2	我猛攻奉新城日軍損失甚大
page 2	中樞各部會人選大致均無更選
page 2	我軍仍堅守南寧且在近郊予日軍重創渝邕間電話仍通南寧失陷說不確犯桂日軍冒險突進必遭致命打擊
page 3	因封鎖德出口貨日本向英抗議荷比兩國亦均提出抗議意照會英法謂影響商務
page 3	軍事委會發表一週戰況十一月十五日至二十一日
page 3	泰晤士報妙喻謂汪為魚今者或已悔恨為餌所誤故極力爭扎以避免入網
page 3	芬蘭當局盼重與蘇談判
page 3	德國鋼鐵大王逃往瑞士
page 3	英駐日大使與日外務次官會談曾討論天津白銀及封銷問題
page 3	駐亞洲美艦隊司令哈特抵菲發表在華觀察
page 3	德威迫各中立國相助逃避英國封鎖德願與各國購大量貨物否則德將加堅水雷戰術
page 3	意繼續保持中立地位法西斯最高會議議決
page 3	德將波蘭俘虜編入德軍隊中違背海牙公約
page 3	泰國黨人謀叛早被政府發覺捕獲叛黨多人
page 3	德機被聯軍擊落二十一架德機損失總數最少百架中有八十五架覆墜法境
page 3	安全區制度德拒絕此提議
page 3	傳孔將辭財長此說難以證實
page 3	羅斯福將向國會要求設緊爭稅應付明年國防經費
page 3	蔣夫人贊揚菲島僑胞愛國親筆致函表示並述前方情況
page 3	羅新內閣成立新總理發表一宣言加強羅國中立地位
page 3	華沙發生暴動十人被處死刑
page 3	荷輪初次實行武裝護航
page 3	傳齊格菲陣線一段德軍撤離因該處發生瘟疫
page 3	美電影工人昨實行總罷工要求增加工資
page 3	滬租界兩華人發槍擊一巡捕子彈誤傷兩途人
page 3	滬金融界騷動法幣價一跌再跌
page 3	捷傳德方施用特製痘菌圖全害捷克兒童
page 3	對照國丸事件日將要求賠償倘應負責之國不肯負責賠償則日將扣留該國在　之輪船
page 5	日三路北犯遭痛擊
page 5	十萬大山形勢險要
page 5	我軍一度反攻欽防
page 5	日機狂炸粵桂各地
page 5	北海情況最近調查
page 5	陽電海面日艦又增
page 5	深圳日軍星夜增援三次北犯被我截擊松元下牛湖間之劇戰日軍稍戰即向後退卻
page 5	台山動員會制定整理戰時金融辦法暗中經紀金銀幣券營利者處罰商店明年一月起一律國幣記賬
page 5	碧良公路日兵營被我團隊襲擊日軍官中槍受傷
page 5	日軍四路犯蘆苞連日血戰日軍側襲蘆苞被我設伏痛擊
page 5	雲南省府組歸僑墾殖會設招待處收容僑胞
page 5	東增寶各偽組織改組日方擴編偽軍
page 5	台山強迫冬耕限期組冬耕委會
page 5	台山推行鄉倉積穀儲糧限下月十日前辦竣
page 5	日增兵九江後我確定戰略防衛沙坪石岩頭我砲兵轟擊河清日軍中山續施急賑與港代表會商
page 5	粉碎其威脅沙坪之陰謀
page 5	準備渡河以犯海口古勞
page 5	流動式向日方陣地轟擊
page 5	中山四區災情最為慘重
page 5	日軍由欽防北犯受阻我日血戰於十萬大山之前我一度反攻欽防痛殲日軍當局必要時統制戰時糧食北海市面最近情況之調查
page 7	史樂斯任郵電檢查處長
page 7	梅樂和昨抵港
page 7	南寧失陷說絕不確港桂匯兌暢通無阻
page 7	潮安救災會集款十一萬賑濟難民昨假勝新酒店歡迎會歡迎馬來亞潮僑代表團
page 7	學生振濟會內部發生糾紛
page 7	禁運資日物品一覽九龍關公署昨日布告
page 7	馬相伯追悼會今日下午舉行
page 7	蕙農畫展開幕
page 7	六中全會通電嘉慰海外僑胞捐輸救國辦斥群奸厥功至偉勝利在望期益奮勉共成大業
page 8	馬頭涌之行下訪問軍人服務團
page 8	組織
page 8	工作人員
page 8	工作部門
page 8	今後的團務
page 8	加山冤家鬥法南南重創九龍五比一華軍勝來寫意七比二米杜息挫光華
page 8	今日甲組聯賽一場東方出戰士葛四時一刻在香港會
page 8	美經濟家抨擊美政府對遠東之失計前此政策為助日侵華無異自殺應速改變態度制裁日本助中國
