page 1	英日關係之檢討
page 2	神岡日軍遭我痛懲潮安日軍蠢動
page 2	晉西南日軍西向竄擾受創五台附近我軍出擊晉南我軍追殲殘日
page 2	餘姚洋面日軍登陸不逞
page 2	桂南日軍犯渠黎被擊退龍州日軍西犯被擊回竄
page 2	滬法界民房被日強搜
page 2	滬一區法院刑庭長錢鴻業遇刺重傷奸徒連開三槍中錢腹部此次被狙當為奸偽所忌
page 2	羅斯福態度倘時局認為需要者將毅然為遠東而戰羅斯福雖聲言決不派軍赴歐但未言明不派軍赴遠東參戰
page 2	日機三批襲川未逞
page 2	蚌埠日特務長被剌殞命
page 2	國府明令褒揚忠烈耆紳
page 2	宜昌南岸殘日殲斃二百
page 2	楊文昌李聯芳智勇兼全軍事當局分別嘉獎
page 2	近衛決澈底改組日本行政機構近衛有指揮政府機關權力海陸兩軍部亦須受其指揮
page 2	我駐國聯聯絡處奉令收束
page 2	本年高考提先舉行
page 2	婦女慰勞會三週紀念擴大慰勞運動
page 2	東京當局大捕英人英大使向日提抗議要求外相解釋英人被捕理由考克斯被後跳樓自殺斃命
page 3	汛美會議全體通過夏灣拿盟約此項盟約將於今日簽字汛美會議工作可告結束
page 3	人間地獄蘇聯刊物描述日人　下之東北毒販散佈各地遭害極眾改變教育摧殘中國文化
page 3	蘇聯海軍作大規模操演本年預算造艦百六十八艘增加海軍力量百份之六十
page 3	西班牙宣傳標語根據佛朗哥演說製成一奇怪地圖
page 3	土派代表赴印度巴士拉係欲利用該港發展土國商務
page 3	荷女皇演說稱決心抗戰到底
page 3	倫敦各界踴躍捐款購機已達二百萬鎊金
page 3	蘇聯發現油礦綿亙數百公頃
page 3	英陸軍部發表傷亡將士報告
page 3	東南歐各國命運已達決定階段希提建設東南歐新秩序由羅割若干土地於保匈
page 3	滬第一法院院長陳劻業被刺受重傷因日偽欲奪取滬特別法院權
page 3	日減少造冰量
page 3	馬彩亭遺囑獻治喪費勞軍
page 3	滬人席玉良突遭暴徒槍擊
page 3	黔省準備實施新縣制
page 3	桂記者會成立
page 3	昆明市商會抗議滇越鐵路停運會員二十人訪法領事商討希望從速恢復該路之運輸
page 3	法將組高級法庭審判上兩屆內閣戰罪謂其　負軍事失敗之責故　等或將受判處死刑
page 3	中央圖書館即將正式成立
page 3	張伯倫入院療病
page 3	蘇紅星報論日南進野心侵華戰事倘不結束日即無法實行南進
page 3	不可縱容
page 3	日本改組行政機構
page 3	德機百餘架大舉襲英倫海岸德機二十架被高射砲擊落英空軍炸擊意的里雅斯港
page 5	遂即乘虛而入
page 5	突向平吉進犯
page 5	撞擊海上日艦
