page 1	論Ｘ人之海上封鎖
page 2	粵省情況
page 2	鄂省情況
page 2	贛省情況
page 2	新牆河北岸我陣地無變動岳陽停有Ｘ艦數十艘
page 2	粵市繁榮移入農村
page 2	Ｘ機一架在晉被我擊落
page 2	我軍進襲合肥在近郊激戰
page 2	中央日報湖南版遷邵陽
page 2	Ｘ擬開放長江容許第三國輪船航行但提出五項解決條件
page 2	Ｘ艦搜查德輪德領事提嚴重抗議
page 2	西藏民眾慰勞團電全國抗戰將士致敬呈獻醫藥慰勞費九千元
page 2	德國企圖與蘇接近
page 2	北平偽政府發表本年建設費預算為二千三百七十五萬元
page 2	滇參議員名單國府明令公佈
page 2	聯共中央委會舉行全體常會
page 2	Ｘ軍官厭戰向我投誠薛伯陵將軍對之極嘉許
page 2	晉南Ｘ受重創
page 2	中央社會部收到藥品多種
page 2	鼓浪嶼形勢復緊張我軍決定總攻武漢鄂中我軍圍鍾祥戰況劇烈
page 3	政界人士評論赫爾發表公函
page 3	史太林研究英法牒文英蘇談判已達最後階段
page 3	巴黎方面將舉行一集會向我表示友好
page 3	德西陲防線缺點甚多亟須另築防線但又需時
page 3	英法學者發起保衛民主大會同情我國抗戰
page 3	羅馬婦女舉行戎服巡行
page 3	英法蘇防衛集團數日內可成立此後和平陣線軍力大為增強隨時可動員者一千六百萬人
page 3	阿拉伯溫和派接納英方提案
page 3	日方宣稱日蘇空軍劇戰蘇機被擊落多架
page 3	台維斯杯網球賽成績德雙打敗于瑞典
page 3	意南勝負未決
page 3	比勝挪威
page 3	中央國府聯合紀念週馮玉祥主席即席報告
page 3	英美法要員集滬商討對日及增強三國之合作
page 3	溫台當局封鎖各江港口
page 3	赫爾發表演說痛斥孤立政策若欲保持和平空言豈能濟事惟與各國合作乃可維護和平
page 4	Ｘ兵到處滿目荒涼
page 4	迭次空襲死傷極眾
page 4	縣民乏食勢成餓殍
page 4	待救難民數以萬計
page 4	滬學生戰工隊昨已離港赴桂
page 4	華人文員協會決組織婦女團
page 4	搶匪光顧煙販
page 4	加拿大僑團續捐鉅款賑災並贈五路軍救傷車輛
page 4	粵女青年會開會員聯誼會
page 4	英艦行蹤調查
page 4	假冒書信圖騙被告入獄三月
page 4	警探大捕賭徒
page 4	警官失車尋回
page 4	柯士甸道小火警
page 4	救護班開始報名
page 4	一路人中血斃命
page 4	田竺僧報告三水災情難民衣令缺乏將成餓殍希望本港僑胞設法救濟
page 5	某軍要談戰事近勢
page 5	各個戰場均成對峙
page 5	收復區域加緊政工
page 5	中山沿海最近情形
page 5	石龍Ｘ圖襲羅浮山不逞Ｘ軍已退集石灘
page 5	犯陽江Ｘ全被擊退擊沉Ｘ汽艇數艘
page 5	Ｘ汽艇犯草鞋洲不逞吳飛巡視中山防務唐家灣Ｘ艦艇再增
page 5	根絕各地私梟決用軍事補助緝私
page 5	李福林將赴南洋慰僑
page 5	省府查禁五國連合鈔票
page 5	中青救護團增編戰救隊
page 5	禁止端陽製粽節衣縮食之一事
page 5	桂省民眾慰勞抗戰將士
page 5	破壞路軌枕木撥充工資擅自竊盜者嚴辦
page 5	軍委會政治大隊工作緊張
page 5	Ｘ機又炸韶關
page 5	我再襲神岡奏捷大岡嶺激戰之收穫我空軍在東江前線活躍
page 5	螺岡墟Ｘ渡河被創
page 5	我飛機隊前線奏功
page 5	再襲神崗我軍奏捷
page 5	大埔Ｘ軍築守望樓
page 5	江會戰事最近略趨沉寂李漢魂將加緊各收復地政治工作
page 6	Ｘ機狂炸肇市詳情Ｘ巨型機九架投彈五十餘枚塌屋四十五間死傷五十餘人
page 6	死傷調查
page 6	被炸區城
page 6	桂洲米荒嚴重中舉辦平糶集善社德及貧民
page 6	花縣前線視察記二在石角致炭步道中
page 6	潮陽縣長鏟除煙苗
page 6	張冠英抵汕督辦捲煙統制
page 6	廣東省臨時參議會首次會議開幕典禮紀盛一
page 7	各界人士踴躍捐輸
page 7	緩拆碉樓三項辦法
page 7	學籌賑會籌組女學團並發動徵募慰勞將士書信
page 7	中市商販請減租金租價物價均昂無從獲利
page 7	派員出發繼續募捐
page 7	佛山船由省載客千餘到港
page 7	寶興輪尚留粵
page 7	洛士利行華買辦確被Ｘ軍捕去該行總理俾特利昨發表談話謂現正與Ｘ當局進行調查中
page 7	博羅籌賑會派員回鄉散賑
page 7	麥基利哥赴滬
page 7	救難會募捐訊
page 7	閨秀定期演劇為兵災會籌款
page 7	百餘僑團將舉行國民宣誓典禮
page 7	吉隆坡華僑服務團昨抵港
page 7	盧伍聯婚紀盛
page 7	四邑米荒仍嚴重僑商繼續舉辦平糶連日沿門勸捐募得七千餘元省政府電示緩拆碉樓之辦法
page 8	燈籠山附近遇空襲
page 8	搭客死傷三十餘人
page 8	街市巡禮
page 8	鶴山縣城現無Ｘ軍
page 8	本港幸免颶風侵襲巨輪多艘在港外遇風特別賽馬改下月舉行
page 8	灣仔駱克道貨倉倒塌傷人
page 8	中華青年會徵求軍人之友
page 8	電車天線中斷英皇道交通昨停頓片刻
page 8	帝航機今到港
page 8	旅港鶴山商會昨日歡送回鄉服務團馮祝萬親臨授旗葉蘭泉監誓李式劍談路遇空襲受傷經過
page 10	小型球協進會昨舉行歡宴會
page 10	友誼排球比賽南粵挫六三
page 10	鑑泉杯賽近訊
page 10	兩項球賽改期棒球阻于風雨籃球因場粉飾
page 10	東方體育會中樂部徵求學員
page 10	申紙毫券穩定桂鈔亦無變化
page 10	南華南遊隊今日大軍啟行由莫慶任領隊球怪暫未偕行
