page 1	從速救濟川甘災民
page 2	楊虎城談鞏固中央服從領袖以期實現抗敵救國
page 2	于學忠談全國一致服從中央已無所謂西北問題
page 2	李白四一就職程潛昨赴桂監誓在桂擬勾留數日即北返如中央再有命或將赴粵
page 2	謀與政黨聯絡
page 2	日林首相將請政黨遴選拓殖兩相此　為綏和政黨與軍部間之敵對企圖減少今後現閣政策進行障礙
page 2	日艦六十餘艘將來青舉行演習我方派定將校多名赴青參觀
page 2	日浪人三千餘名擬在津武裝暴動津當避現正加緊防範市面商店均提前關門
page 2	滬各團體歡餞孔祥熙孔談此次將順赴歐洲各國考察藉悉他人之長為我國建設之助
page 2	各地舉行先烈殉難紀念
page 2	日方在承德組設墾業公司
page 2	韓復　日內南下謁蔣
page 2	農村放款計劃現已次第進行
page 2	精誠團結抗敵圖存楊于昨飛杭謁蔣請示是否赴溪口訪張到杭後始決定舊東北軍移防下月可辦理完竣
page 3	日拒絕主力艦砲位限制美建兩艦裝重砲如實行建造三萬五千噸以上主力艦英亦決同樣建造並裝十六寸口徑大砲
page 3	張繼昨抵西安致察在陝先民陵墓
page 3	孫王參觀美展
page 3	日本青年失業投水自殺因受了走私影響
page 3	內部通令各省禁演賽金花劇
page 3	吳鼎昌定期飛川商談川省建設
page 3	西亂不干涉問題英法商定四項措置辦法尚謂不干涉協定被破壞未有證據待獲得證據時當認局勢極端嚴重
page 3	世界遊歷團昨日乘輪抵滬
page 3	文藝協會昨開成立大會舉簡又文等　理事
page 3	中央各機關定期聯宴喜饒
page 3	池田下月返津
page 3	洛惠渠工程大部告竣
page 3	意處相暫不返鄉專心應付時局
page 3	教電協會滬分會昨日舉行年會
page 3	蘭垣邱祖廟內舊存火藥爆炸倒塌民房三百餘間壓斃重傷者數十人
page 3	馬來亞罷工潮已有解決希望勞資雙方現已商定增加工資百分之十
page 3	日積極設法解決石油問題將在華北吸取原料
page 3	印度憲政爭持問題前途又陷僵局
page 3	鳥錫兩盟聯組偽軍委會德王等任委長
page 3	西政府軍艦砲轟馬拉加
page 3	贛耕地產量統計
page 3	漢民學院院十勘定棲霞山
page 3	捲菸加稅說不確
page 3	財部派員在津設所得稅辦事處
page 3	耶蘇復活節立總統頒特赦令
page 3	太平洋角力準備
page 4	體協會少壯派今日出戰總會隊總會隊雖強勁無倫少壯派亦不易應付上場校際賽香港隊對九龍隊
page 4	　破光蛋
page 4	沿邊而上
page 4	圍攻敵門
page 4	連失二城
page 4	陳德輝卓石金先後立功南華華三比一勝九華會聯絡嚴密進攻　守均極得宜紹漢缺場不出為九華致命傷
page 4	港大週年運動會今午繼續舉行六項預賽一項決賽文華鐵球成績不弱
page 4	東方會征廣州首戰和粵南華兩陳各勝兩球
page 4	普通界籃球賽今晚有四場舉行
page 4	朗星乒乓隊勝震寰
page 4	督憲杯決賽
page 5	林主席昨由從化返省各界歡迎大會記
page 5	歡迎大會記
page 5	徐景唐否認調處營業稅潮
page 5	吳主席來粵續訊先派李大超南下
page 5	孫院長來粵確期關於粵建設消息
page 5	林主席離粵時余總司令送至韶
page 5	建廳長昨宴香港廠商考察團葉蘭泉席間演說貢獻政府三意見
page 5	商事公斷處問題行商請中央黨部令市黨部速解決
page 5	陳誠昨飛抵廣州
page 5	清明節屆鐵路開快車續誌
page 5	四路軍確定裁兵廿一團限四月底縮編完竣被裁各團校官以上仍有任用師部增加參謀副官旋部增設副旅長前日總部開各處編制會議限期月底辦竣
page 6	省營工業管理處之改組訊俟吳主席擔任決定
page 6	絲商請改善貸款紗綢業貸款步驟
page 6	　皮工人又請改組工會
page 6	財部再規定土布出洋免稅辦法批覆土布業公會知照機織土布商標須註冊
page 6	別開生面之車上舉行婚禮
page 6	今日之黃花崗
page 6	鹽商未允接受運署調解停運辦法對加稅案仍決請撤銷孔祥熙過港派員請願
page 6	焚車難屬今日攔輿請願
page 6	比來一病輕於燕扶上雕鞍馬不知
page 6	西北各省建設猛進中央派鄒魯組團視察深入民間考查人民疾苦行期定三月視察後返粵
page 7	劉景清演詞
page 7	增邑增義堂公祭義塚啟事
page 7	拒毒會章程
page 7	世界醫學士公認
page 7	湘鄂贛皖反對洋米免稅本港米商咸抱懼心各米行現存洋米四十餘萬包免稅米穀限額多向安暹定購
page 7	貯存洋米四十萬包
page 7	米穀限額購定幾足
page 7	湘鄂反對米商頗懼
page 7	顏爾露來華觀光下月九日可抵港
page 7	吳健陶南返過港
page 7	口癮易治心癮難除拒毒會決注重宣傳昨招待中西報界請協助進行同情該會者均可加入為會員
page 8	別有天地
page 8	湊足四人
page 8	銷魂蝕骨
page 8	唐庄首飾商業會向港政府獻議防盜辦法稟章已在起草中三數日藏事將派員謁華人代表請代轉達
page 8	農人食河豚中毒
page 8	賭　複雜
page 8	臨時押店
page 8	鋼鐵商爭購舊輪拆卸鋼鐵轉售外商
page 8	路人被撞倒斃命
page 8	澳紳商歡迎新督會景巡遊已定期舉行彩龍醒獅應有盡有大小街道均搭牌樓
page 8	巡遊景色
page 8	遊藝方面
page 8	歡迎程序
page 8	今日賽馬之蠡測
page 8	赴星船票下月實行加價搭客過多船票不易購買到港女工數百折回國內
page 8	各區街市積極建設中有人提議中環增建新市皇仁書院他遷將地址改建石水渠街新街市下月開幕
page 8	灣仔
page 8	中環
page 8	鐸華爾昨日赴英
page 8	其他
