page 1	美日矛盾與中國
page 2	劉多荃抵滬療傷彈已取出經過良好刺劉兇手為劉氏之衛隊被刺原因迄今尚未明瞭
page 2	清水談話川樾六月始可回任日駐華使館參事日高信六郎抵京在用樾歸國期內將代辦大使職務
page 2	立院通過粵路建設公債案債額為獎金二百七十萬英鎊定五月一日按票面九八發行
page 2	公債條例
page 2	海關附加稅再延長徵收一年因國家預算收支不敷歲計虧短至鉅對於原徵海關附加稅暫維持必要
page 2	振委會邀各部會商救宵根本辦法朱慶瀾昨由陝飛蘭勘查甘肅災情歸途將再視察陝豫災情然後返京
page 2	川災各縣分定等第
page 2	川災公債具體決定
page 2	蔣委長電祝于右任壽三原各界慶祝于壽
page 2	曾養甫昨抵滬
page 2	蔣委長離滬飛杭休養楊虎城電蔣懇辭陝省綏靖主任楊駐京代表為楊辦理出國手續
page 3	萬里長征願已酬週覽團抵滇後褚伍發表談話贛省行新政有朝氣湘省工業發達黔省由路建設成功滇省青年活潑
page 3	和知日內赴張家口轉赴察北視察
page 3	劉尚清賀耀組覲林主席致敬請示皖甘施政方針
page 3	緩蒙人士紀念成吉思汗
page 3	鄭州警局破獲匪黨機關拘獲漢奸六名
page 3	美參眾兩院一致通過新中立法折衷法案此項法案再經羅斯福簽署即可成為法律最要之點為承認總統員便宜行事之權力
page 3	蔣委長手輯西安半月記正中書局承即即可出版
page 3	甘介侯晉京報告桂省近況
page 3	國大兩法規修正條文
page 3	西內戰將引起國際嚴重糾紛叛軍飛機轟炸英輪比爾布港內英輪四週俱有炸彈降落此次瓣軍飛機大概俱為德國所製造政府軍飛機炸沉叛艦西班牙號
page 3	西政府軍在　朗哥反攻
page 3	瓜尼加城已落叛軍手中
page 3	許寶驊出險說迄今尚未證實
page 3	孔特使抵捷京
page 3	法外長報告一般外交局勢
page 3	日議會選舉昨日開始投票政民兩黨希望極高
page 3	英日對華合作問題日方態度模稜既未承認亦不否認
page 3	夏威夷飛剪號啟飛來港
page 3	奧外長報告意奧　交
page 3	立法院例會通過國大兩法規修正案將制憲國大與第一屆國大職務劃分取銷代表選舉之圈　權　加指　權
page 4	本港網球水準太低
page 4	原因網球賽會太少
page 4	本港應有女子賽會
page 4	新任職員多是舊人
page 4	今天德權鼎小足球賽十路勁旅出陣傑志傑隊對尖沙嘴隊平陽對育華勢均力敵
page 4	兄弟鬩牆結果小林珍初獲單打網球冠軍弟弟有心奪標哥哥玉成其事最後一盤讓步總成績三對一
page 4	滬漢港埠際小足球領袖杯七月中旬在南京勵志社決賽滬代表唐項　來港任務完畢昨北返本　小型足球會正副會長新往送行今晚月會商球場蓋棚等進行
page 4	本年公開壘球賽參加者共有六隊本星期日有一場比賽
page 4	今日甲組足球南華南對施福雛鳳對奧斯德開到茶薇亦大有可觀
page 4	參加省運會油選手過港晉省大會完畢足球隊在港表演
page 4	今晚南華泳場青藝團義務奏曲會員泳罷可做周郎
page 4	紅星社分隊籃球賽
page 4	友誼排球賽仿林中學勝西南成績三對零
page 4	本港外匯市呆滯
page 4	英美銀價轉趨跌
page 4	八九金價昨報跌
page 4	英美匯兌續報漲
page 4	省法幣先降後升
page 4	桂紙價起後微降
page 4	滬外匯市情報靜
page 4	廣州金融之市情
page 4	網球會年會大告山奴提議舉辦國際杯賽馬場會長連素謂本港網球水準落　有待於後起之秀努力將之提高本年團體網球賽會定五月卅一日開始
page 5	禁煙總監改善粵省禁煙機構辦法省務會議之禁煙事項通告特派員列席磋商
page 5	羅卓英赴韶昨訊
page 5	派車接覃振上省
page 5	河南龍尾導南市昨發生大火詳誌焚舖共二十間馬涌橋小火警
page 5	洋米已由廣九專車運省專車每列共有貨卡十六輛四月份洋米進口數已足額
page 5	四月運米數已足額
page 5	專車運米昨日開始
page 5	改定免稅洋米穀額
page 5	廣州市營業稅額分攤後暗礁尚多甘願負擔之行商實數祇有八十萬尚有一百二十萬發生異議娛樂業因有娛樂捐負擔根本不承認評定稅額五月九日以前到局繳納第一期稅款者不算逾期
page 5	灌救困難
page 5	焚舖統計
page 5	三千萬發展工業借款劉維　赴滬與銀界接商吳主席亦函請滬銀界協助
page 6	各縣縮減處經費聯鄉主任請維持原案再請改善任用書記辦法
page 6	整理全省漁課財建兩廳均有計劃請示中央核定辦程
page 6	河南五鳳鄉昨午又發生械鬥
page 6	催贖回汕規矩堂
page 6	運桂鹽暫免加稅
page 6	限期赴局登記焚車遇難人
page 6	曾代廳長北上前之重要談話
page 6	中山大學法科學院經濟系主任程鴻浩
page 6	廣州市長曾養甫
page 6	台山縣府由王月一日起實裁稅捐九種
page 6	粵漢鐵路全體員工昨發起鑄金鋼呈獻蔣委員長
page 6	省府吳主席視事後
page 6	豁免積欠舊糧
page 6	整理全省沙田
page 6	廢除苛稅雜捐
page 6	整理地方財政
page 6	汕防私會成立後之效果營私貨者多已停業
page 7	死者行為與妓無異
page 7	趙言曾阻杜氏行兇
page 7	偽造供詞以瞞警司
page 7	辯論同伴殺人問題
page 7	麥按察司發表意見
page 7	被告律師盡力辯護
page 7	被告供詞破綻殊多
page 7	一週以前預謀殺人
page 7	陪審員認被告有罪
page 7	黑冠加額宣判死刑
page 7	廠聯會昨召開會員大會第四屆理事會理事已選出
page 7	決議要案
page 7	選舉結果
page 7	劉維熾北上述職
page 7	歐亞航空公司港平線下月可通航華爾泰與港當局接洽圓滿昨晚晉省再與我政府磋商
page 7	在港接洽圓滿
page 7	闢滬德線不確
page 7	省港九大酒家組織食品研究團赴京滬平津各地考察
page 7	殺人焚屍案終結陪審員一致認為罪名成立被告趙煜輝判處繯首刑未判前被告已而色慘白壯斃死人趙氏妻子遵從律師勸告離庭而去
page 8	周主席稱
page 8	棺材老鼠
page 8	維持善後
page 8	病人入院
page 8	　割危詞
page 8	瓊崖心影錄一
page 8	粵港滬團會集出發
page 8	職員行為
page 8	騙取壽衣
page 8	合為一棺
page 8	X光鏡費
page 8	設納言箱
page 8	建設問題
page 8	赤柱新兵營不日興建建築費一百四十萬元
page 8	張遠南來港迎覃
page 8	許啟興長途飛行明日將由河內飛抵本港
page 8	慶祝英皇加冕龍獅已定期點晴
page 8	四泳場今日開放
