page 1	日蘇前途展望
page 2	軍委會委員宋哲元逝世遺言以扶持正義勉勵所屬
page 2	蔣委長夫婦宴孔孫兩夫人
page 2	日海軍集中華南將在台灣會操表示與美爭太平洋霸權
page 2	北平偽教部長遇刺未中
page 2	膠濟路日兵車觸雷炸毀車廂五輛傾覆
page 2	粵各界昨舉行討汪大會
page 2	中聯社易名經過該社純受日人支配
page 2	二月份中國貨經港輸出將達港幣二千萬元
page 2	傅作義率部攻克五原蔣特頒令嘉獎發三十萬元獎勵全體有功將士著各地政府撫卹死傷官兵家屬
page 2	國府不再接收轉捐款由經收銀行直接轉解國庫
page 2	慰勞總會慰勞空軍將士轟炸運城　陽獲致重大戰果
page 2	贛江日汽艇竄擾被我擊退
page 2	醫學會年會圓滿閉幕此次討論議題多數切合抗戰
page 2	桂劃分行政區謀增進行政效率
page 2	豫東豫北我繼續掃蕩晉東南日軍蠢動受創桂南殘日一部被圍贛北我迫奉新
page 3	國際商務引起英日發生爭端兩國現縱外交上謀解決英防日　貨物運德國
page 3	粉碎汪精衛偽組織二
page 3	挪威外交政策決定力守中立極力避免加入戰爭漩渦
page 3	古巴華僑捐獻債息
page 3	南國農產品輸出甚多影響國內存貯
page 3	羅馬教廷不承認南京汪偽政權決繼續支撐重慶國民政府教廷外交代表現亦駐重慶
page 3	德羅兩國貿易增加
page 3	全蘇最高蘇維埃會議通過所得稅等法案又一致通過蘇聯憲法修正案
page 3	蘇電台抨擊日本
page 3	荷德邊界附近荷巡邏兵失蹤
page 3	料西線德軍將開始主力攻
page 3	美社會黨領袖主停購日黃金但不贊成實施禁運
page 3	巴黎警察捕獲共黨多人
page 3	國參會議開始討論憲法草案議長力言憲法須富於彈性尤須注重政權與治權劃分
page 3	法總理雷諾辯釋地圖之謠德傳其有領土野心實則乃一尋常地圖
page 3	英空軍襲威廉哈芬港
page 3	滇主席撥款救濟清貧學生
page 3	鄂參議會舉行二次大會
page 3	西康自玉縣發現金礦苗現正著手探礦
page 3	美參院通過延長商約時效
page 3	聯軍封鎖計劃確收良好效果德國貨物來源已大受打擊重工業缺乏原料不少停工
page 5	突向蓮塘一帶進犯
page 5	古井日軍頻頻出擾
page 5	深灣日軍業已撤去
page 5	急圖恢復岐關行車
page 5	南頭大　陷後災情慘重日軍焚各地屋定之調查偽軍攻入各沙棉被衣物牲畜被掠一空
page 5	廣東郵局招考郵務員五月十九日在曲江考試
page 5	粵軍民合作總站定期成立全粵將設四分站
page 5	容桂各地海面日艦艇動態之軍報最近順德日艦艇多已他去日軍在容桂高價收買繭皮
page 5	軍政部訂定士兵與家屬通訊辦法士兵每月須寄家書一次由各縣府負責收登轉寄
page 5	潮安外圍戰事激烈我軍圍　頂山克蓮湖浮洋文里日陣一度被我突破游擊隊夜襲潮城東津春城樓
page 5	日軍被我包圍
page 5	克蓮湖迫浮洋
page 5	游擊隊襲潮城
page 5	新縣制之十九縣將成立婦女會
page 5	省府嚴令取締散兵游丐
page 5	粵北暴雨潦漲
page 5	貧苦戒吸煙民當局訂定救濟辦法
page 5	日艦艇不斷泊於赤灣等處共目的乃在接載私貨寶安購運免稅洋米之議決
page 5	每夜必有大批帆船
page 5	普遍救濟各地米荒
page 5	日偽軍又向新會蓮塘進擾經我堅強抵抗即又竄退古井日軍亦頻頻出擾深灣日軍亦已全部退去日軍昨已恢復岐關路行車但不搭客
page 6	廣東實行新縣制全部計劃已確定將全省九十七縣分為五等縣長待遇縣府組織亦釐定
page 6	一總則
page 6	二實施及完成期限
page 6	三縣等
page 6	縣政府
page 6	曲江縣實行新縣制李主席何廳長調示縣府人員
page 6	新昌等三埠將設水上警察
page 6	救濟西江難船省府擬定辦法飭第三區妥辦每人日發毫券二角維持生活
page 7	減租運動
page 7	事體重大
page 7	發揮正義
page 7	籌備經過
page 7	分為四點
page 7	呼籲工作
page 7	熱心人士
page 7	各方意見
page 7	兩艘貨艇被賊截劫一艇先後被截劫兩次
page 7	外勤記者聯會首次幹事會議
page 7	徵收戰稅辦法將以上年處息為標準產業部份則照本年新估價
page 7	羅文錦解釋
page 7	會計司解釋
page 7	成立典禮
page 7	留日同學會今日正式成立
page 7	愛爾蘭馬票律郭治夫人獲獎
page 7	長沙灣道茅寮限期拆毀貧民　將無家可歸昨請求當局延期執行
page 7	港九住客聯合會減租運動委員會成立有產業之會員已自動減低租值望其他業主體念貧民一致響應
page 8	歐洲定單應接不暇
page 8	工資之廉無與倫比
page 8	本港織品運星近狀
page 8	運歐貨物須領執照
page 8	永安公司獲利五十餘萬本月九日開派股息
page 8	劫艇疑犯提堂押候本月十聞審
page 8	徵求傷兵之友港女界擴大徵求範圍廣州大學徵求成績良好
page 8	香港防癆協進會力謀擴大防癆運動當務委員昨開第一次會議禁止亂吐痰涎法例將頒布
page 8	法婦女界開慈善賣物會募款救濟祖國傷兵
page 8	第三次特別賽馬成績冷門馬多獲勝彩金甚高第九場派彩銀六千餘元
page 8	歐戰發生後本港工業益形蓬勃歐洲定單劇增廠商應接不暇星雖禁限港貨進口無大影響
page 10	昨日甲組足球賽華軍三路齊捷東方雛鳳光華凱旋南華蟬聯乙組冠軍
page 10	東方僅勝蘇軍
page 10	雛鳳勇克九龍
page 10	光華壓倒若瑟
page 10	今日南南迎警察東方整陣抗香港
page 10	建公杯乒乓賽參加者共卅隊
