page 2	軍政廳
page 3	孫代表陳友仁將到京
page 3	公使團否認張作霖保安總司令
page 3	議員出身之政治犯王揖唐康士鐸光雲錦鄭萬瞻等下令特赦閣議通過
page 3	甘長林錫光改護為署黎元洪拒絕蓋印係張耀曾運動李根源長甘所致
page 3	內閣趨勢仍未定黎元洪諭王寵惠及閣員務抱良心維持一天算一天至不能維持時予與大家同去
page 3	黎元洪擬嚴辦九師變兵參陸處以欠餉關係不能認真決留陸錦自行處理變兵竄至沙河海甸被十三師解除武裝但西北城門仍閉
page 3	十五日憲法審查會討論地方制度多贊成地方分權反對聯邦制十七日繼續討論
page 3	黎元洪電嘉滇唐繼堯廢督並囑轉促陳炯明派代表到京會議統
page 3	吳佩孚轉楊森電謂成都製造廠已入但懋辛軍手現收合第二軍返攻渝城請令孫傳芳接濟子彈參陸處電蕭耀南照辦
page 3	閩李厚基急電政府謂薩鎮冰入閩所帶隨員何遂孫國鎮等皆通緝在案如敢回當懲辦志在拒薩長閩
page 3	聞中東路防軍譁變搶掠車站及附近鄉村攜械紛散並割斷電線阻礙交通
page 3	張懷芝回京報告財長高淩蔚無來京意但一說謂高在津患痢病痊後方來
page 3	陳炯明又有回惠消息省長交葉舉暫攝
page 3	八月十七號北京電
page 3	院電滬何豐林招商局將江海各輪停行雙方無益希設法消弭
page 3	吳佩孚對孫文謂孫如承認法統恢復當予優待一說吳欲藉孫和緩段派減少張作霖勢力故對孫主聯絡孫發表宣言亦含有承認統一意目的在聯直以孤粵陳之勢
page 3	蔡成勳電謂潯陽變兵善後除　各軍捐廉撫卹外嚴懲變兵
page 3	聞曹錕派孫岳赴滬與民黨協商一切已得吳佩孚同意
page 3	財政次長張英華代部俟吳佩孚覆電即下令
page 3	昨眾議院選舉副議長不足法定人數參議院因雨亦不足人數而散
page 3	吳佩孚又電促王寵惠就職另電反對張紹曾謀代揆聞王寵惠得吳佩孚助有不再辭說
page 3	顧維鈞商撥之關餘五十萬總稅務司安格聯已在北戴河簽字財政部向匯豐提款發餉
page 3	陳炯明返省情形再述
page 3	桂省分裂之前因後果馬君武離桂之原因劉震寰回桂之經過林虎圖桂之實情
page 3	大錢債案
page 3	澳大利皇後輪將到港
page 3	本月之刑名案
page 6	洛吳反對唐閣之新政潮
page 6	張作霖截稅問題尚未在疏通
page 6	定例局會議
page 6	褚慧僧臨行談話
page 6	曹錕派員疏通孫中山
page 6	紳商請開放水喉之詳情
page 6	毆差判監
page 6	途遇沉船
page 6	風訊
page 6	被控用假單棍騙
page 6	三年前之命案　題
page 6	坐監好過食人參
page 6	軍火案
page 6	被控私鑄偽銀
page 6	募款改建寄宿舍
page 6	雜誌界之明星
page 6	賭攤被罰
page 6	被控煮煙膏
page 6	被控偷酒
page 6	懷劍案注消
page 7	陳炯明大犒傷兵
page 7	粵軍飛機失慎續聞
page 7	各將領紛紛禁賭
page 7	小紙幣之出沒
page 7	鵝潭　艦陸續選出
page 7	軍事近聞彙誌
page 7	截回被匪騎劫之小輪
page 7	戲院風扇洩電之虛驚
page 7	郵局通告
page 7	香山匪患
page 7	江門輪拖加收客腳
page 7	陳水惠累宗族矣
page 7	槍決逃兵
page 7	槍決盜賣軍械犯人
page 7	商團定期收隊
page 7	航空局添購飛機續誌
page 7	從北縣之賭世界
page 7	　築廣關鐵路近聞
page 7	廣州市之最近情形分錄
page 7	瑣聞一束
page 7	島約馬克價
page 7	日人設資本團經營魯礦
page 7	以旅順為代價之大馬騙
