page 1	蓉案之前途
page 2	綏東日偽軍陸續增加察綏聯絡已被遮斷軍事侵略與經濟侵略同時並舉
page 2	經濟侵華政策已有整個決定
page 2	大批日工程師入晉測探礦產
page 2	綏蒙政會閉幕發電警告德王
page 2	日軍在平漢路實彈習戰驚人
page 2	日運大批彈藥接濟侵綏各匪
page 2	宋哲元對日態度由消極轉趨積極華北大團結已現凝集化
page 2	日外相有田覲見日皇報告應會蓉案方針以取締國民黨活動為中心即行取銷成都國民黨支部在蓉設置領事館尤為必要
page 2	蓉案不至擴大說雙方已有具體決定川樾根據原則入京交涉事件全面可望迎刃而解
page 2	英艦急調　濱　亦駛漢口
page 2	三大鐵路將在株州接軌由上海協和公司承築雙十節前即可興工
page 2	本年八月份日貨輸滬突增共計二萬九千四百噸較上月增三千九百噸
page 2	國選初選開始各方競選甚烈發生強迫投票種說經探詢後均屬無稽
page 2	粵漢路首次通車昨已平安抵省搭客二百餘人
page 2	遼寧義軍謀攻宛東縣城
page 2	蕭振瀛月底赴日觀操
page 2	桂省問題急轉直下居程等完成使命實現和平派李宗仁為桂省緩靖主任白任軍會委員今後桂省一切軍事政治均須統一於中央
page 3	蘭垣大雨白龍江水倒灌縣城沖破東南北三門城內盡成澤國倒塌房屋數十所牆垣倒塌亦多
page 3	滬市天氣酷熱同時黃浦江水大漲四川等路均有水淹
page 3	駐華日新聞記者組織聯合陣線對我施行侵略
page 3	北寧路向滿鐵購新車
page 3	華北私運復熾每日達二三百車
page 3	何成濬赴宋埠向駐軍授團旗
page 3	津浦路南下煤車出軌各列客貨車均誤點
page 3	武籐奉調回國任外務省課長
page 3	抵押權人拍賣抵押物須經法院裁定各界為便利金融流通主張改定簡捷之辦法
page 3	渝築空線定期明日復航
page 3	津北航業公司昨開股東會議決增添股本維持營業
page 3	閩省農業合作會本年首次會議
page 3	閩省德化鼠疫現已完全撲滅
page 3	高考典委會今日舉行成立並召開首次會議
page 3	比使紀佐穆晉京謁張辭行十日搭輪歸國
page 3	永定河水突漲超過歷年最高紀錄
page 3	陝北各縣雹災田禾絕望災情極慘
page 3	皖中疫癘蔓衛生署派員前往施救
page 3	南渝中學新校舍已落成九月十日開學上課
page 3	日本六十老人發明殺人利器
page 3	英國駐華大使應有田外相宴
page 3	英女飛行家飛渡大西洋中途被迫下降
page 3	國聯經委會討論四項要案
page 3	國聯同志會舉辦世界青年大會我留歐學生組代表團行抵日內瓦正式出席
page 3	法敘條約成立法將交還治權
page 3	　陷落後西國叛軍有長驅直進勢聖賽白斯底安居民逃法境倍泰拉比亞城亦在焚燒中
page 4	出發情形
page 4	獎品分配
page 4	頒獎情形
page 4	華人週年水運第一日之成績今日下午一時繼續舉行
page 4	大沙頭觀眾擠擁渡江泳昨日舉行男子冠軍麥偉明女子冠軍陳玉瓊成績皆屬新紀錄
page 5	東區厲行新生活運動以汕頭為各屬模範
page 5	交通事項
page 5	安寧觀瞻
page 5	風俗服裝
page 5	衛生健康
page 5	市營業稅局征收處定期成立財廳昨委三主任
page 5	收回菸酒牌照稅此項係屬地方稅交營業稅局辦理
page 5	　軍陸戰隊昨已出發西江
page 5	　州仍在戰時狀態中桂邊人民須遵行聯保蔣定期召見中學校長
page 5	省府建廳對水電鋼鐵兩廠之籌組進行分別綏急先後先規劃開辦鋼鐵廠水電廠暫綏籌辦鋼鐵廠籌委改選
page 5	和平已有實現之勢劉鄧飛桂到肇折回因天氣突變故折回蔣有親筆函致李白對和平條件之解釋和平尚未實現之前軍事仍不中止佈置張之英赴西江視察防務
page 6	駐市中央憲兵改隸於廣東憲兵部憲兵改編後之分防
page 6	民廳嚴飭各縣長不得擅離職守周景臻電告南路近況
page 6	革命債開始登記
page 6	全省稅捐總局籌備近況
page 6	湘米運粵設湘粵運銷處
page 6	中央對粵國大選舉派員指導視察
page 6	黃埔行營提前舉行紀念週
page 6	謝瀛洲被訴判決自訴不受理私訴亦駁回
page 6	高等第一分院首席檢察官易人
page 6	宣講孔經團近訊
page 6	粵漢路規定客貨價廣州至漢收大洋至樂昌止收小洋
page 6	蔣　文尚在粵
page 6	前警備軍第二團團長吳康楠
page 6	蔣委員長昨派第四軍區司令黃延楨赴港
page 6	賭博自九月一日禁絕後
page 6	　鄉人士
page 6	東莞公會旅行省同鄉
page 6	直通車客價
page 6	防空會改為防空處各縣分支會亦結束
page 7	省港航業之競爭利航輪星期六亦不停航
page 7	粵卜者紛紛遷港
page 7	神秘的微笑
page 7	黃柳霜遊北戴河
page 7	宋美齡病已大愈再留數日即返省
page 7	恩平又發現鎢礦
page 7	澳華僑籌祝雙十
page 7	本港住的問題難解決每層樓房住客達四十人肺癆病數量激增因此港府應廣建平民住宅
page 7	英艦冒險號抵港
page 7	華南輪船　勞　紏紛仍未了
page 7	濠江撈獲一男屍初疑死者為鄭七珠
page 7	集團結婚第二屆將更熱鬧報名參加情侶共廿六對尚有兩對已趁高興大部為教育界中人
page 7	九龍關稅收激增
page 7	爭地盤苦力打架
page 7	汽車輾斃一路人
page 7	王寵惠昨由省來　與李白代表詳商桂省各問題並敦促蕭佛成返粵勷理政務
page 8	中央基金計劃
page 8	政府補助大減
page 8	香港現行計劃
page 8	一兇徒截毆老翁
page 8	四人意外受重傷
page 8	王斧返粵非有任務
page 8	昨日發生兩宗小火
page 8	政府停止補助
page 8	公務員之渴望
page 8	兒童工藝院復課期
page 8	本港公務員渴望英廷採納恩恤金新計劃新計劃　為公務人員利益著想在職人員逝世得領回全部捐款
page 10	警察司購緝逃伴
page 10	漢文女師考驗新生
page 10	港僑中學畢業禮紀
page 10	孔教學院昨日講學
page 10	杜其章南遊已返港
page 10	國民會議港代表逐鹿者大有人在
page 11	東江匪徒猖獗碉樓下貨船被劫及殺人赴碉樓呼救久乃報警船伴一人被殺認得匪兩名
page 11	中山翠亨村紀念中學之風潮
page 11	汕頭日領更調
page 11	風災會募捐賑災記
page 11	民眾昨開討廖大會
page 11	呈請裁減警衛隊額
page 11	廣花路車輾死農民
page 11	大石河道設引導椿
page 11	軍委會限令西北江公路定期通車
page 11	台山各校教職員請縣府清發欠薪未得要領
page 11	羅鬱信邊現境地方安
page 14	所謂確立實是改變日本對華外交政策從軍事的轉向到外交的工作從政治的轉向到經濟的工作
page 14	日軍部積極備戰擬定總動員計劃分清神產業工廠金融等部門其中最注意舉國一致之團結
page 14	日又增強華北駐軍秘密運至榆關登陸砲兵聯隊長鈴木接事
page 15	人員部門
