page 1	西戰場與北戰場
page 2	南昌仍在我圍攻中我軍向西山萬壽宮挺進
page 2	鄂中日軍反攻不逞漢宜路日軍被殲滅大半
page 2	晉南我軍繼續掃蕩連日向長治長子猛攻
page 2	日開放長江目的向美討好希望重訂日美商約芳澤訪美使館參贊
page 2	開封巷戰仍烈
page 2	滬津漢法租界任日大搜民居滬法租界捕去一華人漢法租界被捕者十人
page 2	日機八十一架大舉轟炸四川川東及重慶附近展開大規模空戰
page 2	上次大戰著名間諜照空和尚時局奇談否則將惹起佛祖震怒
page 2	重慶各團體歡迎緬訪華團盛況一
page 2	各界代表歡迎大會
page 2	我採用　蛇戰略將侵桂日軍予以重創邕賓路我獲大勝克崑崙關九塘日軍陣亡或自殺者一千二百名
page 3	侵芬戰事棘手紅軍軍心搖動蘇聯秘密總監赴芬邊境開始肅清出征不良軍官
page 3	芬蘭中部發生劇戰
page 3	德因德艦事件向烏提出抗議謂烏政府處置不合國際法烏外部對此將發表報告書
page 3	英海相邱吉爾報告海軍戰績英潛艇在北海活動甚有成效英國水上交通線仍照常維持
page 3	蘇軍屢攻反受損失
page 3	蘇在北線進攻甚力
page 3	蘇芬兩軍劇烈砲戰
page 3	各線盛雪有利芬軍
page 3	希特勒誘惑印度在廣播上獻媚
page 3	菲律濱巴鐸鎮發生大火
page 3	美海軍部定製大批飛機其中一部運往芬蘭
page 3	美名記者畢朗氏昨逝世
page 3	羅馬教皇將作重要演說
page 3	貨物缺乏人民屯積日本政府已無法應付大阪福岡等地發生搶米風潮
page 3	綏西郵電網已加改善
page 3	阿決拘禁德艦員兵
page 3	英方評論德艦失態
page 3	上海外國航務日佔首位英美每況愈下
page 3	廣州市偽軍一部譁變
page 3	英女詩人汲畢靈夫人逝世
page 3	英空軍大舉襲黑里郭蘭灣雙方參戰飛機數約一百架德機損失十二架消息已確
page 5	江會各線甚少接觸
page 5	順德日偽略有增加
page 5	近來日機甚少出動
page 5	日偽軍有撤退模樣
page 5	我游擊隊昨十九晨攻襲深圳日營南頭偽軍擾烏石巖已被我游擊隊包圍
page 5	東江戰訊正果廟潭之劇烈戰日圖奪派潭被阻于臘脯　正果日軍已遭我包圍
page 5	中山九區團隊截擊勒收禾票偽軍又衝入小黃圃偽營殲擊偽軍四五十名
page 5	日偽大掠中順沙田各圍大良日偽被狙擊
page 5	粵防空處正副處長易人
page 5	天狗大沙等地日艇擾犯不逞
page 5	青年團廣東支團設青年招待所
page 5	東江米荒嚴重省府令禁釀酒
page 5	池中寬派員視察各縣飭寶安縣府保護僑商設立沙魚湧警察所防空室等規定伕轎價格免僑商受勒索
page 5	寶安縣長巡沙魚涌等地召集各鄉保長開會整頓全縣捐稅收入
page 5	周守愚接任中山二區署長兼管該區警政
page 5	香洲前線視察
page 5	小黃圃及桂洲海尾登陸日偽軍現仍未撤退惟所築工事甚單簡有準備撤退模樣袁帶等赴中山三九兩區佈防江會各線連日甚少戰事發生
page 7	男女投店
page 7	布帶勒頸
page 7	慘案發生
page 7	婦慰會賣物會募得義款數千元
page 7	糖商徵募寒衣贈給前線將士
page 7	可疑電話
page 7	飛剪機昨抵港
page 7	紅磡自衛團員文榜被控行劫案詳臬原告陳榮登堂述被述經過
page 7	水雷漂流海面
page 7	崇正總會捐三千元散賑
page 7	青年獻劍團決不向外募捐
page 7	回教青年會響應募衣運動
page 7	民族復興節各界僑胞籌開紀念會
page 7	本港官員追悼公爵夫人艦員
page 7	巨石壓斃兩人
page 7	施食會將施飯九龍貧民之福音
page 7	華機會辦馬票
page 7	節約建國儲蓄券港府禁止發售謂與本港財政法例有抵觸
page 7	油麻地亞洲酒店一少年女客被勒斃同來投宿之男子失蹤疑是兇手警方懸獎二百五十元購緝歸案
page 8	誤觸水雷
page 8	秩序大亂
page 8	賠償辦法
page 8	傷亡人數
page 8	德輪華籍船員自動解職回國
page 8	全港理髮店重編等級公定價目表制止貶價競爭
page 8	救債分會會議
page 8	培正中學五十週年紀念
page 8	高射炮隊演習港督親往參觀
page 8	偽幣案昨判決被告入獄兩年半
page 8	德付道西一人墮樓慘死
page 8	龍鼓灘海面又一貨艇被劫
page 8	衛生局昨會議
page 8	長沙灣劫艇案三犯處徒刑
page 8	聯青社將開年會
page 8	航商洪禹釗病逝
page 8	國際杯中葡之戰雙方陣容排定華軍前線起用德輝文治葡隊戰士聖若瑟佔八人英蘇兩軍實力半斤八兩
page 8	記者足籃球隊今日集中訓練小型球隊出戰告羅士打
page 8	民大為慰勞團舉行足球義賽
page 8	民強會微求消息
page 8	籃球健將婚訊
page 8	英輪沙丹拿在星觸水雷沉沒經過搭客死傷數十人貨物盡沉海底船員幸獲無恙已分別給資遣散
