page 1	和平紀念與戰爭恐佈
page 2	昨日七次訪張晤談我方仍堅持既定方針雙方尚未得到結論將約期再談我駐日大使許世英取消回國說蔣委長要求日方答覆我國反提案
page 2	綏北發生小戰
page 2	偽蒙煙由百靈廟進攻目的在試探綏省防軍實行李逆等部總數三萬并有坦克定為助邊境一帶形勢緊張綏軍已準備拒敵
page 2	宋哲元向記者表示凡所獻替絕無秘密名利岡顧冀爭歷史一頁紀載公正是非數十年後自有定論
page 2	體協會建議設置體育總監負責推進全國體育
page 2	孫科後日飛桂
page 2	禁煙總會重申禁毒處死刑令由明年起吸毒初犯亦概處死刑
page 2	青島白銀南運日方竟欲無理干涉橋本和知聯翩到魯質問魯韓對日真態
page 2	行政院會議議決委命酆裕坤為警察司司長任李友蘭牟仲珩徐繼武為各師師長
page 2	報告事項
page 2	討論事項
page 2	日資本家不顧在華北投資
page 2	各地方建倉積穀辦法要點
page 2	公務員所得稅可達二十萬元
page 2	一日運動保定積極進行
page 2	任免事項
page 2	日大使川樾
page 3	蘇　使鮑格莫洛夫啟程返　述職
page 3	楊永泰墓地已擇定伏虎山廿一日舉行公葬
page 3	邵元沖昨抵漢暢談桂遊印象
page 3	淩鴻勛談粵路工程設備
page 3	叛軍已略形退卻
page 3	政府軍掘壕固守
page 3	馬德勒城危如纍卵官軍下令準備巷戰平民必須組織巷戰隊參加作戰將各屋改成砲壘不恤犧牲固守
page 3	任君建受任濟南市長
page 3	蔣決撥款興修龍門勝跡
page 3	弗朗哥下令緩攻
page 3	駐德西使館易幟
page 3	小組委會決議案
page 3	但澤市民示威運動反對歸還德國
page 3	英對中日問題態度希望中國主權保全不至使英國利益受不良影響
page 3	英首相鮑爾溫演講英對國際間之願望努力打破國際軍備競爭願與各國排除通商障礙
page 3	日法西斯蒂黨員力謀打倒議會政制多數民眾同情政黨擁護憲法與軍人主張成對立的尖銳化
page 3	叛軍尚在河西岸
page 3	意大舉擴充空軍水陸機場增至百卅處加強亞的里亞海空防
page 3	委任統治地委會開會討論日統治太平洋各島報告書日否認各該島上設有陸海空軍根據地
page 3	倫敦財政報評論白銀漲價原因
page 3	孟買印度教徒又與回徒械鬥
page 3	網球名手潘萊改作職業賽手
page 3	麥唐納在宴席上暈倒
page 3	日俄漁約簽字
page 3	奧沃都大公締婚意公主說
page 3	福州台灣浪人謀奪被檢私貨與華警發生衝突
page 4	黑鷹在加時下僅勝南華一球成績三十六對三十四
page 4	徐煒培代表本港明年赴菲比賽
page 4	今日和平紀念日舉行慈善足球大比賽軍聯對港聯四時在香港會
page 4	一席網球經鐵爾登在大酒店的演講
page 4	友誼小球賽彙誌紅白隊再度對壘
page 4	高級學界籃球賽華大慘敗皇仁隊今日高初各有兩場
page 4	南華第十四屆陸運今日決賽十時開始項目共有二十款賽畢即由京警司夫人頒獎
page 4	淩風社對日光隊
page 4	鐵爾登與潘萊
page 4	聽講人的印象
page 4	男女間之歧異
page 4	最扼要的擊法
page 4	網球三大原則
page 4	一　人的錯誤
page 4	鐵梵兩氏球藝
page 4	鐵梵第二戰情形熱鬧過於前日梵又以氣力足獲勝各種擊法比前日完備洋洋大觀旁證誤會頻生成績三與一之比昨赴菲十六日返港作兩場比賽
page 5	桂金融整理近況桂幣決定比率後全省收支均以國幣為本位從前金庫發出之在洋券一律收回粵商人請減低粵幣比率甚難
page 5	中央整理粵海疆
page 5	羅卓英檢閱粵路警備昨乘車北行入湘與湘當局商佈置
page 5	某人運毒品到潮緝私專員之密查
page 5	下河鹽商請願改善常平鹽辦法反對抽費增加成本
page 5	粵兩兵器廠合併訊第一兵器廠長鍾首昌將就職
page 5	商會請廳解釋從新征營稅辦法
page 5	絲業研究所請撤蠶絲改良費
page 5	方便院救濟沙河火後各難民
page 5	議定運貨領證法
page 5	廣州六十餘行商昨請願改組市商會詳情請願呈文照錄
page 6	中醫校拒長潮中學生向教廳請願擬定選校長原則五項
page 6	廣東行商北上請願代表之報告菸行代表之函告
page 6	航業代表之報告
page 6	整理兩廣鹽政訊姚觀順赴桂組鹽務處
page 6	煙民入售吸所吸煙之限制
page 6	財部電汕商會不准撤銷洋米稅求各省切勿遏糶
page 6	外艦進口須先報名
page 6	潮路員工舉行聯保
page 6	汕市擬定冬防辦法特別注重者兩事路工之聯保外艦之進口
page 6	河南警隊長被控庇匪案訊結昨已恢復自由
page 6	省營工業監理及管理省府通過設會與設處監理會直屬省府羅翼群任常委管理處直屬建廳劉維熾任處長兩機關定本月十五日同時成立
page 6	省營糖廠來函
page 6	廣東省府主席黃慕松
page 6	廣州市銀行計劃舉辦大規模工商業放款
page 6	省府之廣東省農村合作委員會組織規程草案
page 6	廣州市長以水電均屬公共事業
page 6	粵海　公會舉行會員登記
page 6	　部派唐惜芬鍾道贊兩員
page 6	粵獻機將行命名禮陳誠來粵接收訊籌款會定本月十五結束
page 7	改建原因
page 7	建設初衷
page 7	該院歷史
page 7	曹善允請各界捐助那打素醫院重建費全部建費約二十萬元現已募得捐款十六萬
page 7	捐款問題
page 7	太平洋航業競爭之劇烈英美日加四國大建新輪以應十一屆世運會之需
page 7	昌興公司增建五輪
page 7	日郵公司先建二艘
page 7	廣九鐵路昨開路務會議李祿超獲架均出席注重調劑匯水問題
page 7	英美公司各具計劃
page 7	北老爺抵港鎖聞
page 7	盼望簽助
page 7	盧夫教士被殺害在西班牙馬德里
page 7	廈市府派員來粵考察教育及慈善事業
page 7	我國擬在澳設法院外部將向葡方提出有磋商預料明年春夏間可實現
page 8	同學們秋深了快些起來參加秋令會向民族解放的路前進找著青年良好的果實
page 8	一夜秋風
page 8	何必這樣
page 8	輪船撞沉一漁舟溺斃一人傷兩人
page 8	教廳視察員抵港
page 8	各界今日悼魯迅
page 8	和平紀念之儀節
page 8	衛生局昨日例會主席答覆洒街問題
page 8	輾斃小童之研究
page 8	籌組香港總工會
page 8	昨日發生兩火警大澳焚屋一間筲箕灣焚一間
page 8	筲箕灣
page 8	大澳
page 8	中航機三次抵港由滬載來搭客四人
page 8	新國家醫院工程明年四月可完竣
page 8	廈門街一婦人暴斃
page 8	廣華職工組仁愛社
page 8	潮商賀林子豐獲獎
page 8	大利輪船女子墮海
page 8	廣州玉展會展期訊
page 8	英皇加冕之影片某電影商已準備攝製
page 8	三善院歡宴各界
page 8	想食平米要待來年省港米價暴漲原因蕪湖暹羅晚造均失收歐洲各國又大量爭購
page 10	初級法庭案彙誌誤殺疑案碼頭苦力李細佬
