page 2	今後之廣東
page 3	　日參議院不足法定人數眾議院議決退回黎元洪辭職咨文
page 3	黎元洪八日起不出席閣議改請閣員進府會餐以代報告
page 3	楊永泰將任山西財政廳長
page 3	國會議員以新閣未經同意先派署為非法紛起質問
page 3	八日王寵惠出席閣議閣員僅外交司法交通三總長財政海軍陸軍均次長代餘未到祇通過前閣未完例案數件
page 3	張耀會昨就職宣言唐紹儀　不來余當連帶辭職
page 3	黎元洪因曹錕吳佩孚反對唐紹儀內閣已派王芝祥赴保洛疏通
page 3	黎元洪辭職書退回公府分　派主張一主再送兩院二主改為通電三　擱置不提再看形勢
page 3	贛人電請公使團將潯城劃入租界使團不理
page 3	南京接南昌電四日中路進佔贛州西路進佔南康南軍潰退大庚信豐瞬　克復
page 3	吳佩孚電魯籍議員謂唐紹儀主滬和會世有煩言張耀曾阻礙川滇粵統一盧信為金星公司職員故不可入閣
page 3	八日閣議決聘本屆改選議員為府院顧問諮議月薪限二萬元由部照撥
page 3	屈映光運動長浙將成事實
page 3	高淩蔚辭財長王寵惠擬以汪士元代張英華任鹽政署
page 3	黎元洪自後不赴閣議回復六年會餐制
page 3	海軍部派薩鎮冰赴閩接洽海圻等三艦北歸聞黎洪元擬俟薩到閩即任為閩省長
page 3	外團以贛事無和　希望決再忠告停戰否則駐贛外僑實行調兵自衛
page 3	憲法調查會定十日在眾院開會由王正廷主席俟調查竣事報告兩院聯合會再開始起草
page 3	滇唐繼堯宣布自八月朔日起滇省實行民治取消總司令由人民選舉省長未選出前　人暫以省長名義維持
page 3	孫傳芳奉命援川一師五六兩團已由巴東進駐茶店子留省砲兵亦預備往宜昌
page 3	十日開憲法會議
page 3	內務田文烈　上辭呈王揆見唐紹儀閣無根將辭職或以目疾告假
page 3	吳佩孚電賀王寵惠願為後援
page 3	有　式提王說有提孫洪伊孫未來由張紹曾代說
page 3	孫中山離粵詳情
page 3	孫文過港之西訊
page 3	港人籌賑汕災之近訊
page 6	　戰　酣中之渝訊
page 6	吳佩孚　意　軍　動
page 6	援贛軍又報捷
page 6	華商總會會議賑災及食水等問題
page 6	銀價
page 6	上海海員罷工近聞
page 6	日水裁軍辦法
page 6	馬克價值
page 6	婢子墮樓受傷
page 6	司櫃挾款私逃
page 6	賭案
page 6	被控搶金鍊判監
page 6	報失鉅款
page 6	深水　劫案
page 7	艦　口中所述孫氏病狀
page 7	孫中山去後之廣州市
page 7	粵軍返省消息彙誌
page 7	報界代表與公安局談話記
page 7	國民外交後援會代表到滬
page 7	佛岡囚張脫獄
page 7	普寧縣長報風災
page 7	　署之炸彈聲
page 7	梁若谷降後通電
page 7	南雄分庭電告北伐軍退走
page 7	總指揮處辦理收束
page 7	鵝潭艦隊槍決員　彙誌
page 7	省華僑會電慰汕頭華僑
page 7	香山沙　之猖獗
page 7	漁戶領受漁票須小心
page 7	請懲辦　贓構陷之駁腳偵探
page 7	潮　電告災情
page 7	旅省潮人籌賑潮面風災紀事
page 7	瑣聞壹束
