page 1	封鎖天津租界與英日糾紛
page 2	英決不肯屈服現正攷慮新步驟以謀打破此僵局
page 2	津租界被封鎖租界內物價高漲海河亦宣佈戒嚴
page 2	Ｘ迫英放棄親華政策津英租界案事態擴大英擬組英日聯會解決天津局勢美駐津總領事允出作英日調人
page 2	英法切密聯絡已決定行動計劃美對津案亦注意
page 2	英各界極憤激有力方面迫政府對日採積極手段
page 2	王外長之談話日實施試探政策列強不宜再放任
page 2	英人攝影被日逮捕
page 2	日以津案作為煙幕
page 2	滬財政商務週邊報評論日無取勝可能中國力量在於廣土眾民此非軍事力量所能打破
page 2	波經濟代表團啟程赴英
page 2	晉南之Ｘ向安邑東潰退
page 2	日提五項要求英租界已作準備英艦運食糧赴津
page 3	英全權專使史特朗抵蘇京即訪蘇外長莫洛托夫進行英法蘇同盟談判
page 3	孔院長向全國民眾播講堅忍抗戰自力更生壹
page 3	全國同胞
page 3	虐害平民
page 3	全國軍民
page 3	侵略政策
page 3	不知審慎
page 3	日本對我
page 3	德國進行吞併斯洛伐克德軍一部現已開抵斯境謀將斯洛為第三保護國
page 3	英大使接得恐嚇電話英總領向日抗議反英運動
page 3	日推進精神動員提倡人民節儉
page 3	希特勒赴貝茲加登
page 3	斯洛伐克機三架逃入波蘭
page 3	英法空軍定期聯合演習參加演習　不下六百架英法高級軍官親到參加
page 3	英國會議員質問中國法幣之貶值原因財相稱中國法幣不準金木受打擊中國貨幣之信用地位絕未受動搖
page 3	塔斯社華記者洩漏軍秘渝軍事當局處重刑
page 3	駐墨黨友部電請下令緝汪
page 3	全藏設壇祝福抗戰勝利
page 3	中央駐滬特派員昨遭暗算其妻傷重斃命
page 3	Ｘ機侵湘轟炸益陽兩次死傷九十七人
page 3	南京毒殺事件Ｘ偽多無生望Ｘ書記　人斃命廿餘　生還希望
page 3	英法庭研究廷格拉被害案
page 3	西軍事代表團抵意商加入德意軍事同盟西政府要人多數反對此議
page 3	浙省匪魁就逮
page 3	贛北戰事無變
page 3	湘北劇戰我斃Ｘ八百餘
page 3	美駐日大使格魯返抵華府述職與赫爾等會商遠東最近局勢
page 3	Ｘ汽艇十餘艘圖在小欖登陸被我痛擊竄回艦上粵北我軍進剿殘Ｘ
page 3	英外相聲明外交政策不變英並無與侵略國造成妥協企圖有破壞現局者必引起武力反抗
page 4	自助社昨已告成立
page 4	熱心家捐地建工場
page 4	第一社出品大展賣
page 4	車輛失事統計去週傷四十八人
page 4	少女盜竊千金
page 4	九龍關新稅費
page 4	求職與報國
page 4	節會舉辦之難民自助社下月開幕慈善家慨捐地皮建工傷難民製品展覽會將開幕
page 5	組織民眾
page 5	演習防空
page 5	澄海戒嚴
page 5	汕頭留市民眾總登記沿海Ｘ艦又略增加警備司令闢謠安民
page 5	瓊崖戰訊
page 5	江佛路戰事忽緊張
page 5	江門方面突起炮聲
page 5	石抱奇赴前線策劃
page 5	Ｘ艇昨又犯我古鎮
page 5	Ｘ在石嘴裝砲控制中山邊境昨晨又向古鎮猛轟我游擊隊進襲江門江佛路Ｘ我激戰Ｘ增援兵
page 5	財廳清查交代不清縣長昨已公布計共五十七人限本年底以前返縣清理
page 5	一頁血賬
page 5	在Ｘ氛包圍中的中山現勢
page 5	中山的現勢
page 5	遊擊隊破壞廣三路Ｘ軍車在小塘出軌　車傾覆斃Ｘ十餘
