page 1	張伯倫之雙重政策
page 2	津Ｘ定今日起實行封鎖英法兩租界英僑極鎮定咸堅決抵抗日人壓迫英議員要求政府準備採報復行動
page 2	偽財政部長陳逆錦濤病逝鮑逆觀澄在鎮江被炸傷
page 2	駐捷法公使揭發德國虐待捷人捷克軍官紛紛逃入波蘭德否認擬並捷波摩兩省
page 2	綏西我軍克土城子
page 2	Ｘ輪衡山丸在滬失火
page 2	南昌Ｘ軍捕法教士謂其藏匿華兵
page 2	謝持國葬
page 2	Ｘ機犯贛轟炸吉安贛縣
page 2	滬傳有人謀刺英使英使館加緊戒備
page 2	魯省我軍重創頑Ｘ
page 2	上等兵雷鳴化英勇殺Ｘ受傷後不願後退拼與Ｘ同歸於盡
page 2	南京　偽中毒案兩人斃命
page 2	Ｘ機慘炸福州
page 2	綸昌工人被偽攔阻復工向各界呼籲求援
page 2	滬杭路上我軍炸毀大橋
page 2	毫縣之Ｘ洗劫美商工廠Ｘ諉為偽所為
page 2	油馬口　Ｘ汽艇衝入封鎖線被擊退新牆河北岸我軍向前推進蔣委長傳令嘉獎晉南將士
page 3	英貴族院辯論遠東問題薛西爾及愛利邦克等相繼演說要求政府更加切實為中國援助
page 3	軍事當局頒佈優待俘虜須知吾人之Ｘ為Ｘ國軍閥與全體士兵實無關係
page 3	優待俘虜須知
page 3	英眾議院議員質問綸昌慘案
page 3	日在菲律濱潛植勢力菲律濱許多工業已由日人控制大沃省農田幾已全為日人管理
page 3	辯論歐洲問題外相作總答覆
page 3	傳沫在某別墅搜獲有關國防文件別墅下並發現一秘密隧道屋主人為一美貌西籍少女
page 3	英國政府宣佈組織海外航空公司案該公司得受政府津貼發展航運將接辦英兩大航運公司各航線
page 3	英皇離美已入加境
page 3	德日接洽強化防共協定之理由日方提案日前已寄到柏林但內容未能滿足德意要求
page 3	中英外匯委會停供黑市外匯Ｘ在車站碼頭搜法幣
page 3	陳介在德參觀工廠
page 3	美大使抵筑日內赴渝
page 3	英紡織業工會抵制日貨
page 3	紐約博覽會開幕于斌主教廣播演講感謝畢德門禁運軍用品赴日希望美人士捐款賑濟我難民
page 3	美國存金超過世界半數
page 3	但澤市波籍關員被捕
page 3	羅外長抵土京
page 3	贛省黨部書記長已易人
page 3	豫財廳長入陝
page 3	英訪蘇專使史特朗昨首途此行攜有英政府新建議之訓令助西慈爵士進行三國締約問題
