page 1	國幣粵幣比率之商榷
page 2	綏東戰雲瀰漫趙承綬電傅告急綏軍五師嚴陣以待晉軍兩師開綏協防
page 2	平地泉發現股匪
page 2	趙承綬報告敵情
page 2	陳樹人談綏東危局
page 2	德王尚自稱愛國
page 2	連日津關　　發現大宗私貨先由香港運大連再由大連運天津
page 2	日商企圖統制華北棉業華新廠又落日人手
page 2	外部統一外交陣線在魯設外交特派員韓復　由青島返濟南在省府召開重要會議
page 2	攻桂大軍將開始總攻擊粵漢路軍運甚忙
page 2	中國對美貿易出超
page 2	長春又一侵華會議
page 2	中央軍事大員抵粵後計劃整理粵省國防
page 2	南洋各地僑紛起購機獻蔣
page 2	衛立煌命各部隊清勦三省散匪
page 2	申江各報評論南方時局
page 2	陳紹寬檢閱馬江艦隊
page 2	財孔召集宋子良等商粵財政問題
page 2	蔣作賓赴廬謁孔商定國選經費
page 2	劉紀文伍智梅昨同乘機飛粵
page 2	日商在津組人造絲工廠
page 2	全國報社統計報社一五零七所通訊社七八八所
page 2	劉建　抵筑謁顧報告防務
page 2	日大使川樾北上聲中盛傳日向魯韓提五條件大施威嚇迫組冀察偽府韓決擁護中央外交政策川樾昨晨已乘大連丸離滬北行
page 3	林雲陔今日到部視事
page 3	德報記者包士和赴蒙視察失蹤該社記者宋和伯再赴張調查蹤蹟
page 3	宋哲元仍在任邱視察
page 3	蔣電六省主席嚴行禁毒工作
page 3	七科學團體年定期在平開幕參加會員達萬餘人
page 3	川建設公債三千萬九月一日發行
page 3	任可澄對新職無表示
page 3	史延程日內來粵履新
page 3	駐朝京總領范漢生昨返國抵京謁外長報告一切
page 3	吳醒亞靈柩過京各界赴輪公祭完畢即啟輪東下滬市府給卹金三千元
page 3	北寧路局訂購新車首批已經交貨
page 3	植物油料廠定期在廬開會商討成立事宜
page 3	閻寶航昨已乘輪南下
page 3	劉震寰章士釗今日赴滬轉粵章對桂事願供奔走
page 3	華北水利會計劃察境工程
page 3	苗培成視察南昌災情
page 3	實部咨請各省市調查麥產總額
page 3	北進耶南侵耶日政策尚舉棋不定各報對有田政策多所批評
page 3	西安政情一瞥
page 3	橫渡錢江游泳賽定十六日舉行
page 3	蘆鹽輸日首批將可輸出
page 3	滬市公民宣誓今日開始舉行
page 3	日組汛太平洋博覽會函請我方參加
page 3	電影股派員來粵攝製新聞影片
page 3	孔祥榕談三省險工情形
page 3	契劫斯德抵平遊覽平各名勝
page 3	西班牙政府軍鞏固奪回各陣地
page 3	世運英拳衛選手阜拉抗議得直將與中國選手再賽
page 3	駐俄大使太田首途返日
page 3	法國擴充空軍已得參院通過
page 3	唐措分孫國封奉派視察粵省教育唐等昨已乘輪南下
page 4	今晚公開籃球補賽陽光甲對華大藍
page 4	西青水藝會成績
page 4	英京銀價無變動
page 4	八九金價昨微降
page 4	省法幣市價略升
page 4	滬外匯市仍穩靜
page 4	各行股票之市情
page 4	南華今晚舉行二次水上游藝會並有音樂助興
page 5	李品仙來粵消息
page 5	組特派員辦事處
page 5	各軍區暫緩成立
page 5	中央軍南下續誌傳桂軍進攻欽廉李煦寰謂係誤傳
page 5	廣州卜筮星相術士請求暫緩執行禁絕案既曰以維民生又曰以維國粹其理由如此其聲情甚哀
page 5	唐海安登報辭職之裡因莫秘書對外間傳言絕對否認現仍繼續刷新鹽政登報辭職係拒絕求差者之作用
page 5	蔣委長昨再召會議決派員赴桂作最後忠告李品仙東下謁蔣之消息軍事特派員辦事處成立
page 6	糖業統制撤銷問題
page 6	九峰橋修復粵路照常通車
page 6	電燈發還商　訊
page 6	瓊崖綏署政務處長辭職
page 6	宋子良改期今晨離廬飛粵
page 6	法官被控案近訊劉軍冠等出洋訴訟程序停止
page 6	中山縣民請慎重縣長人選
page 6	運署撤銷五種鹽稅附加
page 6	軍墾工作繼續進行近訊組織縮少工作仍舊
page 6	主張大洋小洋平換反對計算比率六十餘行公會電呈當局
page 6	中央生員陳立夫等乘坐來粵之中航
page 6	公用局歸併後工務局設第五課
page 6	第八師師長葉壽堯
page 6	市黨部昨十三日上午由新任常委余俊賢
page 6	廣東郵政局定期十月十一日招攷郵務佐
page 6	廣州市長曾養甫昨委麥劍生任財政
page 6	前一集團軍十三師副師長梁公福
page 6	中在校長鄒魯赴德出席萬國大學會議任務已畢
page 6	四路軍總司令余漢謀
page 6	劉維熾談粵省建設之進行各省營工廠擬由建廳直轄糖業統制政府現無撤銷意
page 7	風位報告
page 7	台長談話
page 7	風行速率
page 7	救星出巡
page 7	各輪避風
page 7	風翼過港
page 7	參加星國展近訊
page 7	三男婦服毒自殺
page 7	九龍開公署佈告
page 7	假冒車票案押候
page 7	大學教授之談話
page 7	汽車失事之研究
