page 1	法國情勢之推測
page 2	金沙江查勘試航成功
page 2	德軍仍取攻勢繼續向法壓迫德空軍大炸波爾多羅蘭亞薩仍有戰事
page 2	南僑慰勞團由贛抵粵
page 2	渝市民眾開會慰勞防護人員
page 2	烏拉圭將絕對公開傾向聯軍第五縱隊在烏活動企圖武力奪取政權
page 2	西班牙警當局破壞反動機關捕去黨人多名搜出大批軍火
page 2	美國會通過國防附加稅案
page 2	意空軍炸擊科西加島
page 2	傅逆要求英法意撤退上海駐軍
page 2	澳洲大批軍隊開到英倫
page 2	五月份英國貿易情況
page 2	法總統答復荷蘭女皇相信聯軍英勇戰爭將來必獲良好效果
page 2	埃及現正極力遵守英埃同盟
page 2	陝省各界徵募夏衣運動
page 2	德跳傘部隊首名在英被擒
page 2	加拿大負責收容戰爭俘虜防其在英搗亂
page 2	日將壓迫越南施行四項步驟容許日兵在河內等地橫行檢查越南存貨及監視運輸
page 2	英外次解釋天津協定內容防止恐怖活動維持治安秩序准許偽鈔流通白銀仍暫保管
page 2	襄西主力會戰展開克人沙市衝入江陵荊門附近兩據點為我克復當陽方面戰況猛烈進行中
page 3	英外次解釋西軍侵入垣吉爾經過英眾議員提出各項質問
page 3	國際風雲緊急汎美會議須及早舉行美政府照會德意重申門羅主義史汀　主張採具體辦法助英國
page 3	今夏農產歉收歐洲將有大荒德國必感糧食短絀
page 3	英空軍轟炸德軍
page 3	英國進行與蘇購械
page 3	英國飛機製造超過前線損失英國前途　有希望
page 3	加拿大法西斯黨陰謀奪取政權警當局搜出秘密文件此項陰謀乃完全敗露
page 3	蔣委員長演詞全文二
page 3	英在沿海區域布成軍事地帶德空軍轟炸英東南海岸英人要求政府發械自衛
page 3	東施效顰
page 3	德法談判嚴守秘密條件內容尚未宣露法當局對和戰問題意見不一傳貝當離波爾多謀重建政府
page 5	圖向古井大舉進犯
page 5	江會方面最近情況
page 5	偽軍在婆羅島衝突
page 5	粵參議會第三次大會詢問本省財政金融緝私與省行盈利問題為質詢焦點桂競秋雲照坤即席分別代表答覆
page 5	澄海日軍犯店市被擊退潮汕路日軍加緊戒嚴
page 5	財廳頒發免稅貨轉運證
page 5	湘米陸續南運粵省米荒之解決希望民廳令各縣迅設米倉儲糧
page 5	全省中學下年度之招生教廳核定百零三班
page 5	粵南海面日艦來去飄忽我機出動協擊桂南日軍日方現集重兵於海南島築水上三機場躉存軍實欽城內發生大火日軍內部不穩粵南兩軍嚴陣對峙戰局無變化
page 5	渠黎墟內殲日百餘
page 5	我機頻飛桂南偵察
page 5	欽縣城內突起大火
page 5	蔡廷鍇赴欽東巡視
page 5	南進野心愈益暴露
page 5	日軍北侵潰敗又圖南進我軍乘機反攻日向東京請援
page 5	寶安人民聯請稅局解釋查禁肥料入口原因
page 5	財廳
page 5	省行
page 5	日軍又撤出三江龍泉現集中睦洲企圖再犯古井中山婆羅島偽軍內鬨發生劇戰
page 6	粵北日軍續潰退我將大舉向日掃蕩新街激戰外圍大部已入我手我攻太平場爭奪榕樹浦各地
page 6	新街外圍入我掌握
page 6	順德日偽接二連三之火迸大良加緊戒嚴逢簡爭規械鬥
page 6	小商人借款處經已成立
page 6	曲江縣府展築市郊公路
page 6	中大教育研究所先遷粵北
page 6	省府設所傳習針灸調查各縣針灸專才
page 6	王曉籟視察桂省振務
page 6	四戰區經濟會委員陸續派出
page 6	太平場西北爭奪戰
page 6	粵參議會三次大會通過重要提案六十五件舉凡教育經濟民政興革事項均有讜言偉論確定改進對策
page 6	整飭民政
page 6	粵教育廳舉辦國民教育師資短期訓練先召集各訓練所教育長受訓
page 7	米石出口昨已弛禁
page 7	當局禁米出口原因
page 7	赴法屬輪如常開行
page 7	節建儲運教社兩組舉行出發典禮兩組共一百卅餘隊王正廷郭泉等演說
page 7	記者圖書館徵募運動展期
page 7	航行須防水雷海軍部警告航商
page 7	王曉籟昨返港談視察各地經過
page 7	港府擬採毅然步驟減少本港人口將委晏禮伯等組織特委會研究有效辦法供政府採行
page 7	美國朝野對我深切同情抗建前途更覺樂觀潘光迴返國之談話
page 7	二期儲糧行將實現
page 7	米石來源不虞缺乏
page 7	請王正廷演講
page 7	赴法屬輪船照常開行越南米石源源運港楊永麻謂港政府已准運米出口第二期儲糧計劃短期內可完成
page 8	嚴重之至
page 8	現在情勢
page 8	偽幣案昨判決兩被告均入獄
page 8	本港防空服務員已有六千餘人港九各區設警報機十四具各水塘防空設備經已完成
page 8	某人誣告
page 8	內有傳單
page 8	印警攜違法文件蓄意擾亂治安麥按察司認案情重大判處有期徒刑十五月
page 8	旅港英人熱烈輸財救國數日募得六十五萬匯豐於仁各捐十萬
page 8	對英捐輸增十萬鎊
page 8	立法局昨通過再助英廷戰費十萬鎊防止轉嫁戰稅法例亦通過三讀會輔政司解答關於學校新例之質問
page 8	官立學校不受限制
page 8	防止轉嫁戰稅法例
page 8	擅用私刑誤殺疑匪榜人馮滿入獄兩年
page 8	法名記者赴菲
page 8	何東捐款建衛生研究院
page 8	安立德昨赴滬
page 8	海賊劫貨船十人慘遭焚斃疑犯五名在澳被捕
page 10	去週棒球糾紛案港啤抗議無效結果維持原判勝利仍屬中華
page 10	南華會友籃球賽展期止截報名
page 10	海浴消息兩則華人游泳會
page 10	學界排球各隊最近形勢
page 10	長洲東莞小學校水運會之成績
