page 2	改進僑民教育之意見四
page 3	王承斌首先電賀孫閣
page 3	保派要求孫閣以張志潭長內務孫未允
page 3	陸錦赴津與津派接洽辦時局問題
page 3	眾院通過孫閣及高淩霨兩電將由津拍發
page 3	外部函日使請告台灣銀行勿承受廣州市產
page 3	曹錕十日接見香港來京之沈子良
page 3	川軍但懋辛猛攻合川璧山勢甚銳袁祖銘集兵江北往援閩訊周蔭人與孫傳芳交換意見後對浙兵事已和緩崇安孔昭同旅及浦城張峻峰旅均暫退建甌上游
page 3	閩垣煙館增設二百家每燈官月抽五百元海軍支應局強設雞鴨稅商民反對無效將罷市
page 3	孫文所擬粵浙奉吉滇黔聯盟吳佩孚派員破壞接洽
page 3	汝州被老洋人攻甚急
page 3	鄭士琦熊炳琦為民十議員包圍已允特電府院不主國會改選
page 3	代閣挽軍警長官留高淩霨王克敏至陰歷年底始辭一說高淩霨王克敏吳毓麟決下台惟孫寶琦亦未敢遞就職
page 3	孫寶琦同意案咨文由馬驤攜津蓋印因眾議院印信被吳景濂攜津
page 3	孫閣忽產生聞係憲政黨議員自拆高淩霨台藉報改選眾議院之憤
page 3	王克敏懇馮玉祥代維財長職馮未允
page 3	議員向孫寶琦包圍自索總次長及院秘書長者甚夥孫擬法長梁啟超財長熊希齡內長王毓芝交通仍吳毓麟外長有任顏惠慶說
page 3	法使九日單獨照會爭金佛郎案
page 3	公債不能補抽係因京政府提用整理內債案之鹽餘交通收入所致絕非盡因粵關事影響
page 3	京奉路洋段長在唐山站被軍人毆傷
page 3	滇軍問題與東江形勢之緊張滇軍風潮尚未澈底解決十壹日又停開廣三車
page 3	朱世桂部繳警區槍枝
page 3	擬以黨會代國會產生總統
page 3	統一財政之棘手
page 3	擬收傭工稅之駭聞
page 3	本港地震
page 3	逆子毆母
