page 1	浙東勝利之意義
page 2	我決繼續抗戰和謠絕對不確日本政府永無誠意言和只係欲挑起我內部分裂
page 2	合肥我軍殲日四百
page 2	滬大美報宣告停版因該報銷路太少並非受日方壓迫
page 2	美大使胡適將不更變
page 2	日擬在滬法界檢查郵件
page 2	中國抗日仍靠蘇美援助同時保持英法德意友誼
page 2	上海領事團昨日舉行會議商討消滅上海之恐怖活動將授予特權於工部局辦理
page 2	豫省召開國民教育會議
page 2	步槍擊落日機甘鶴林獲獎兩千元
page 2	滬商方某被擄
page 2	天津白銀昨又移去一批
page 2	魯南大雨廿二縣成澤國
page 2	蘇省分期實施新縣制每期六個月第一期正待著手
page 2	委內士辣代表提議成立互助協定汛美會議各代表表示驚異此一提案未列入議事日程
page 2	各地僑胞紛電委座致敬
page 2	港獻劍團抵渝
page 2	日機大舉襲蓉被我空軍擊退有日機十架以上受傷蓉市民房數間被炸燬
page 2	中英兩國同一立場
page 2	巧婦難為無米炊
page 2	英王喬治六世召開樞密會議
page 2	日外次官谷正之已辭職
page 2	我購澳洲貨物可用金鎊支付不必以硬幣支付貨款
page 2	晉東我軍攻克武鄉襄河東岸我軍活躍浙東日圖在蟹浦登陸被擊退
page 3	英將竭盡方法加強空軍力量美供給英機每月可三千架英飛機出產能力逐日　強
page 3	締結協定兩國軍事合作重建一新基礎
page 3	軍委會發表一週戰況七月十四日至二十日
page 3	新越督抵任後緩和日本與原開首次會議
page 3	羅土易貨辦法開始實施羅以煤油易土羊毛
page 3	關島設防案引起各方注意將成下屆會議爭論焦點結果視乎遠東局面而定
page 3	挪威克港之戰德軍損失重大大驅逐艦七艘被擊沉海軍人員斃命者二千
page 3	卡壁蘇砲台仍被英軍圍攻索馬利蘭意前哨站被襲意機又襲亞力山得里亞
page 3	遠東情報局聯絡各地宣傳採集資料傳播消息
page 3	德國肆造謠言英國無須正式否認
page 3	美紅十字會組獻血團準備將來美國參戰以供接血　治傷者
page 3	羅首外兩相出發赴德
page 3	巴黎商店工廠多已恢復業務商人居奇圖利被判入獄法政府遷都問題未解決
page 3	希特勒召回駐土大使
page 3	近衛內閣會議決定國防政策內容包含四項原則下星期將發表國策
