page 1	蘇俄進出國聯之回顧
page 2	晉南我軍作積極婦蕩夏縣東南連日有激戰
page 2	鄂中我軍渡襄水出擊沿漢宣路向前掃蕩中
page 2	湘北我軍向岳陽合圍另一路向平樓洞猛攻
page 2	贛北我軍向德安挺進我精銳部隊進迫南昌
page 2	日政界漸多主張開放長江但軍部表示堅決反對外務省不欲有所討論珠江日定明日再行封鎖
page 2	傳顧孟餘已抵重慶表示反汪態度
page 2	北平日偽計劃實行統制糧食
page 2	日人製造謠言誣法大使要求使雲南中立派
page 2	滬租兩巡捕案今日可獲釋出但在未獲釋放前將循例受假審訊
page 2	鄭螺生在怡保病逝
page 2	王纘緒已抵前線指揮
page 2	國聯會秘密會議顧維鈞概述抗戰情形並謂行政院仍應處理我國聲請
page 2	渝各機關歡宴緬訪華團
page 2	蔡元培撰反侵略歌用滿江紅詞調甚為慷慨雄渾
page 2	侮辱英警日人日方將之釋放
page 2	芬蘭體育家百分九十從軍以好身手保衛國家
page 2	在滬美領事夫人被日哨兵掌摑日當局昨道歉
page 2	吳孔交情早經密切孔請吳南下未果吳函孔請勿為念
page 2	晉南我積極掃蕩日軍鄂中湘北出擊均順利贛撫河大軍全線出動反攻南昌
page 3	德艦外部受傷情形
page 3	英國人士甚為興奮
page 3	德艦俘虜已被釋出
page 3	美國人士極為關切
page 3	英輪九艘曾被擊沉
page 3	英國海軍未用毒氣
page 3	海戰原因德艦乏糧
page 3	顏露爾謂美國不應退出中國美為維護其自身權益計必須支持中國獨立地位
page 3	柏林市面煤炭缺乏在此嚴寒季候居民甚感不便
page 3	我軍衝入杭城與日偽軍作激烈巷戰偽機關十三處被我搗毀
page 3	多爾衛扎爾維已被芬軍克服蘇軍三團幾全被殲滅大戰有隨時爆發可能
page 3	芬蘭依然繳納美國債務
page 3	日一部重要領袖主張憑票購物俾得調劑供給
page 3	津美商會董事部與美大使會談
page 3	西線兩方發生激戰
page 3	傳筱庵已失歡於日人行將提出辭職
page 3	英法經濟協定於美權利無損
page 3	英航空母艦橡樹號到角城德謂該艦被擊沉不確
page 3	盧森堡介於兩大之間但邊界並無防禦工事邊界兩方區域工廠工作甚忙半個歐洲鋼鐵都在此間製鍊
page 3	英加派大艦赴鳥嚴密監視德艦鳥政府限德艦停留四十八小時英照會鳥政府請依法扣留德艦
page 5	桂省大軍夾擊邕寧
page 5	望泥崗我圍殲日兵
page 5	欽防我軍同時反攻
page 5	安舖漢奸造謠搗亂
page 5	日艦增加砲轟北海
page 5	張炎召開軍事會議
page 5	寶安日軍多他調昨派偽軍犯羅田公明墟日圖打通寶太路不易得逞
page 5	桂學界倡議捐助國防個人負擔有限政府集腑成裘
page 5	陽江軍民夜襲南鵬島
page 5	粵路南段日軍傷亡重大我機又襲廣州
page 5	寶安五區捕獲走私人犯
page 5	日艦昨窺神泉碣石灣被炮轟
page 5	瓊崖近況我游擊隊襲海口市萬寧各鄉被日焚燒
page 5	日軍在萬頃沙勒收田租綠林客收費護割日艦砲轟王馬廟
page 5	中山縣長暫時仍不更動本報特派記者昨晤張惠長據言其本人仍未接奉命令順德增到偽軍中冊已嚴防江會睦洲最近戰事轉沉寂
page 5	江會睦洲戰事轉寂
page 5	順德偽軍又再增加
page 5	九江日偽砲轟海口
page 5	吳飛最近將返中山
page 5	我大軍繼續反攻欽邕公路全線混戰武鳴賓陽我大軍即可會師邕城我軍渡過平銀江猛攻大溝日軍漢奸散播謠言圖亂我後方秩序
page 7	英賑華會募捐會昨日召開結束會議一年來捐款共得六萬餘元
page 7	中青籌賑會舉行遊藝大會
page 7	昨晚兩處火警
page 7	中國婦女會餐舞抽獎揭曉
page 7	本月份刑事案高等法庭昨判決八宗三海賊行劫遭擒被判入獄
page 7	明日防空演習居民注意警報放發
page 7	婦女慰勞會慈善賣物會昨日開幕伍朝樞夫人主持隆重揭幕禮各界人士到觀禮者人山人海
page 8	五具屍首四具燒傷
page 8	廣利隆購保險千元
page 8	張瑞香係死於意外
page 8	一場火警死者八人
page 8	英財相函謝何東爵紳
page 8	英財相謝函
page 8	羅總督謝函
page 8	全港自衛團明年元旦舉行大檢閱地點在加路連山南華球場
page 8	九龍關新稅費
page 8	上海永安公司改向美國註冊
page 8	淩道揚演講我在西北之經驗西北各省近年農產品豐收陝西省共闢棉田百萬畝
page 8	粵救護會函請繼續捐助
page 8	華英中學員生購買節約儲蓄券
page 8	鑑泉太極拳社徵求第三屆社員
page 8	律師通訊處成立
page 8	今日甲組兩國軍渡海應戰頑旅界限街場南南逢警察九龍球場東方遇九龍
page 8	留港滬籍足球員聲明不願往滬作埠際賽愛國不敢後人決無單獨行動意向恐引外間誤會故陳衷末以表心跡
page 8	記者體特會陸運展期舉行乒乓組今日編記秩序初級太極班開始報名
page 8	澳門恒昌輪易主
page 8	中央儲蓄會第四十五期開彩結果特彩九九三七號彩金三萬餘元
page 8	法庭研究大道西火警案是役共死往客八人張瑞香實死於意外
