page 2	對日交涉大警告九亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	曹琨接棄舉電稱陳炯明舊部已布置完備
page 3	許崇智李烈鈞鈞臧致平會同閩南民軍
page 3	宜昌電楊森轉勝
page 3	孔毓錦招川軍十餘營
page 3	外訊但懋辛確降石青陽
page 3	赴粵旅費王寵惠四千元李茂之陸興祺司徒　各千元均七日出京秘書楊天驥隨行
page 3	吳佩孚招袁祖銘赴洛袁部
page 3	將為吳收容
page 3	政府允撥林俊廷印花稅款一百萬元
page 3	吳佩孚催發表楊森督川劉存厚川省長並請接濟沈鴻英子彈
page 3	陳席儒代表李方謁黎元洪
page 3	廣西高審長任藍呈祺高檢長任葉鏡湜
page 3	顧維鈞允長外交仍須通過國會方就任但張紹曾因日牒關係欲先派署九日將下令顧就任後施肇基赴英使任刁作謙升美使
page 3	劉冠雄電辭粵閩海疆巡閱使黎元洪張紹曾均電慰留
page 3	周蔭人部向王永泉借三山駐紮王不允孫傳芳因王永泉臧致平均變態由邵武折回資溪
page 3	楊森七日電即日入重慶但懋辛集中瀘州仍謀反攻
page 3	安格聯七日南下動身前廣告對公債基金仍負責
page 3	丁槐電京孫文表示要對等議和
page 3	沈鴻英電吳佩孚言許崇智有回閩態度粵局已變已又力薄故不敢輕舉
page 3	孫傳芳擬編王永泉一師臧致平二師王獻臣三師使互相牽制又留周蔭人制王永泉孫自赴閩南拒許崇智聯絡陳炯明舊部及沈鴻英
page 3	張錫元電庫倫恰克圖陷危極乞速援
page 3	王正廷由洛陽七日到南京晤齊燮元
page 3	醞釀中之粵省政局太子派與資本團結合元老派謀復政權
page 3	秘密變賣公產之各說
page 3	北軍已抵韶關
page 3	丁槐已租定駐港居址
page 3	卑刺路芬輪船員風潮續聞
