page 1	巴爾幹風雲又緊
page 2	慰勞會電委座致敬昨　舉行秋節全軍大會呈獻月餅代金一百萬元
page 2	川紳慨捐軍米委座電省傳諭嘉獎池錫應霍雅晴獲五等獎章
page 2	皖省展開寒衣運動
page 2	軍委會發表一週戰況九月八日至十四日
page 2	湘普遍推行節儲運動
page 2	羅定李清標送子從軍軍區傳令嘉獎
page 2	各地踴躍捐獻月餅代金
page 2	粵各界積極徵募寒衣
page 2	美下議院完全通過徵兵法案陸軍部定購大批軍實海長諾斯談防禦問題
page 2	陝臨參會三次大會閉幕
page 2	羅為邊境事件答覆蘇聯政府謂蘇聯政府應負其責羅新內閣已宣布成立
page 2	英國嚴重危機已過
page 2	羅向蘇聯強硬表示
page 2	日機兩次襲渝
page 2	菲輪震旦號曾被英艦搜查捕去一意籍工程師
page 2	貝當政府下令開投共黨產業所得用以救賑難民
page 2	我襲宜興斬獲甚夥晉城以南連克據點
page 3	倫敦上空發生激戰
page 3	英倫東南部的防禦在德軍準備總攻英倫聲浪高漲的現在英倫的保衛力量是為世界人士所極開心的本年八月事一日所出版這一期的密勒士評論報轉載了泰晤士雜誌一篇專論英倫東南部防禦力量的文章材料頗豐富頗足為關心英倫防禦者研究的參考特節譯之
page 3	德機三百兩襲英倫
page 3	德機襲英工業組織
page 3	美意人士觀察戰局
page 3	加拿大下令徵兵
page 3	一批意籍俘虜運抵印度
page 3	行政院糾正回人稱謂概稱為回教徒不准再稱回族
page 3	辦聯加緊完成軍備實施八小時制改革紅軍內部
page 3	美下議院議長孟克特昨逝世
page 3	英航務部向美定購貨輪多艘訂明即時交貨
page 3	英海空軍猛攻法比沿岸德艦艇打擊德軍企圖渡海計劃
page 5	主持侵越軍事
page 5	廣州河南日憲兵連日檢查良民證居民六十餘人被拘去
page 5	社教團在清遠
page 5	邕欽邕龍兩線
page 5	驅附日軍
page 5	日威脅廣州灣
page 5	惠僑港商會派員回惠籌組平糶處賑濟災民準備基金共五十六萬元分購港湘白米運入平賣
page 5	崖門日艦減少情勢弛緩前山馬騮洲日軍昨繼續撤退中新軍事長官昨在前線會議
page 5	日軍百餘增防順德團隊在大良散傳單
page 5	興寧商業近況
page 5	桂參會電各縣參會協助徵募寒衣勸導民眾躍踴捐輸
page 5	陸豐災情嚴重縣民電請救濟
page 5	粵教育廳試辦流動學校先由　江縣著手
page 5	日毒氣隊三隊已開到粵南日陸軍參謀部長已抵達潿州島趕修邕寧機場作犯越空軍根據我軍突擊邕欽線東側克復那禾
page 6	加倍嚴密
page 6	無證被害
page 6	粵臨參會通過協助民營工廠辦法省政府飭屬遵照施行
page 6	社會服務處獎勵辦法中央飭各省執行
page 6	克復程洋岡大黃坑
page 6	潮澄戰事迭起我軍攻克程洋崗大黃坑我游擊運用靈活戰術連日出擊潮城日軍精神物質均受重大損失
page 6	開平縣長確定施政方針積　增加生產儲糧備荒
page 6	鹽田方面
page 6	東江防務
page 6	游擊活躍制日死命
page 6	粵財政廳實行會計獨立
page 6	粵黨部發動農會公耕運動
page 6	日軍增到寶安後水陸交通加緊封鎖我方貨運仍然不受影響寶安稅捐直接派員片收陳驥巡視惠寶各地防務
page 7	遍體鱗傷
page 7	斧有血跡
page 7	死者身世
page 7	苦力被刺
page 7	寶安縣府改良港鯊交通
page 7	當地鄉民紛紛遷徒
page 7	九龍城區蔓延最烈
page 7	九龍城竟成疫區染霍亂症死者日眾殮房伕役忙箇不了鄉民紛紛覓地他遷
page 7	大批鮮魚到港市價仍極昂貴
page 7	迎神超幽謂可消災
page 7	白米源源運港米價連日報跌
page 7	回粵義民即將動程第一批定星期三日出發
page 7	本港移民計劃米杜布錄十已呈政府審核
page 7	港澳救濟會免費學額增加招考中學生七百名
page 7	魯警墮車斃命英警被控犯誤殺罪
page 7	開始報名
page 7	投考須知
page 7	輪客投海自殺
page 7	紅磡基利士台昨晨發生謀殺疑案一老翁倒斃路上遍體鱗傷屍旁有一利斧亦滿染血跡
page 8	省救護會港分會匯款救濟受傷難民劉景清籲請各界多助藥品
page 8	工合運動與殘廢者
page 8	潘序倫昨演講我國新興的會計職業
page 8	商業通濟會昨歡迎新同人
page 8	販賣人口疑案被告無罪釋放
page 8	嘉屬商會撥四萬元購米準備救濟放鄉米荒
page 8	中市有人跳樓當場重傷殞命
page 8	衛生局議員提議改良清糞手續之計劃定下星期二日提出討論
page 8	市虎噬死小童
page 8	住戶報告失竊
page 8	殷商贈送霍亂散
page 8	張忠義奉召飛渝將轉黔推進節儲運動本港僑胞認銷儲蓄卷極踴躍僅基督教徒已將達一百萬元
page 10	昨日足球友誼賽東方僅勝警察三比二渡海旋凱南華不敵聖約瑟
page 10	王棠銀牌籃球賽後日揭開序幕住聯與精武打頭陣
page 10	中西棒球義賽中華隊大勝投路沙戰績為十四與九之比
page 10	學界水運會各部職員選定
page 10	夏令籃球戰績
