page 1	論法國之獨裁
page 2	我軍不斷出擊贛北全線戰果十日來斃日軍八千鹵獲步槍三千餘支
page 2	蘇聯將向土國又提出新要求預料土蘇將恢復談判土仍欲維持和平關係
page 2	晉南我軍向日猛擊
page 2	三年來日軍死傷一百六十萬人我軍實力已增至五百萬人
page 2	第四七二次政院會議議決要案多項
page 2	桂　我軍克龍雞塘粵東　連克據點
page 2	平新民報主筆被刺斃命
page 2	滬英輪恢復越南交通
page 2	渝英大使行館被日機所破壞
page 2	英國實力充足後備兵增至百萬以上必能擊破來犯之敵軍
page 2	蔣廷黻談巡視七省經過
page 2	法將改為極權制度國家貝當上將任獨裁首領實權則操賴伐爾之手
page 2	日本趨炎附勢企圖拉攏意德佐籐到訪柏林
page 2	里比亞沙漠大部為英控制雙方部隊頻發生衝突意軍勢孤軍心甚動搖
page 2	綏省施行強迫誤字運動
page 2	津法租界與日成立警察協定維持法租界治安
page 2	加拿大增厚國防添置　防事務長
page 2	諾　二氏委任尚未通過美上議院休會
page 2	駐荷美使撤離
page 2	不自由無寧死
page 2	門羅主義真假之分
page 2	軸心國家在歐洲圖樹門羅主義齊亞諾在德會商
page 2	日本勞聯會議決自動解散
page 2	日反撲黃陂被擊退當陽西北斃日甚眾宜昌強渡日軍復被我痛殲中
page 3	直布羅陀英艦全部出港佈陣馬田尼格島被英軍封鎖法主力艦幾已全被解決
page 3	蔣委員長發表二告全國青年書認識時代堅定信仰確立革命的人生觀
page 3	驚天動地
page 3	主義信仰
page 3	三民主義
page 3	西洋各國
page 3	理想人生
page 3	一德一心
page 3	包頭日憲兵拘捕大批華人其中九名被包圍
page 3	日汪談判舉行兩次會談逐項討論細目
page 3	德機襲擊英倫連日漸見積極或係天空閃電戰之序幕昨日德機被擊落十五架
page 3	日因憲兵被捕事件向美提出抗議美海軍司令官士柏克表示日方之無理抗議將被拒絕
page 3	赫爾解釋門羅主義真義凡係真正之門羅主義不含有軍事侵略性質
page 3	邱吉爾將正式邀約勞特喬治入閣各黨派亦希望勞氏出山張伯倫已屢次提出辭職
page 3	美海軍擴充經費案已攻下院通過將來此項計劃完成之後美海軍成世界最強者
page 3	安南王被刺消息至今尚未證實
page 3	挪威受納粹主使邀求挪王退位挪王對此予以不理
page 3	傳瑞挪丹德四國將締多邊協定瑞典外部加以否認
page 3	英拒絕日方要求後日又要求英再考慮日又向英國施行恫嚇手段謂如無結果將採有效行動
page 5	東圍　陷斗門緊張
page 5	小托亦已相繼失守
page 5	睦洲增　古井吃緊
page 5	台山擴大平糶督令屯積者散發餘糧如超過應存數量粵在限期內平糶
page 5	我機迭飛入廣州市區投下大批宣傳品在黃埔投四鉅彈
page 5	封鎖南頭邊界之日軍撤退後偽軍填防勒抽貨物護費我團隊開到鹽田控制日偽軍後方
page 5	廣州灣情勢漸趨安定盛傳日檢查員經已乘機到灣此次商場損失超過百萬以外我當局飭令各縣保護逃難僑胞
page 5	法兵巡邏加緊戒備
page 5	封鎖寸金橋之情形
page 5	商場損失超過百萬
page 5	當局擬定疏散路線
page 5	我機隊嶺東揚威龍湖河面擊沉日艇
page 5	鯊魚涌秩序漸復東江交通尚感困難指揮所昨責令團隊維護商旅安寧港方頒佈限制該方民眾入口新例
page 5	寶安日偽衝突訊
page 5	白蕉陷後小托東圍相繼失陷日向睦洲增兵千餘古井吃緊　魚沙我日仍在相持中澳門與四邑交通全停　
page 6	日貨運經瀾石被截焚
page 6	新會俘虜解抵粵北
page 6	西樵游擊隊風雨夜襲官山
page 6	桂開征遺產稅
page 6	桂南我軍分路東進粵桂邊區醞釀大規模激戰瓊島日軍　援欽縣已開到蔡廷鍇揮軍截新日軍歸路
page 6	襲擊良慶獲大戰果
page 6	維持戰時金融糧食
page 6	西江各地萑　遍佈日軍收編土匪組禺南聯防會及所　護航隊
page 6	省立農工職校遷往樂昌
page 6	赤溪府科員投筆請纓殲日省府傳令嘉獎
page 6	桂南我軍挺迫邕寧
page 6	十萬大山戰事再起
page 6	實施新縣制之準備
page 6	寶安淪陷區的近況
page 7	推行節約儲蓄運動
page 7	孔誕紀念改用國曆
page 7	組保衛團維持治安
page 7	是年可免水荒已得雨水七十六寸
page 7	戰時後援會昨日會議決舉辦彩票籌款助英國擴大宣傳運動藉增收入
page 7	港法僑未開會
page 7	後備警增加值勤時間各店戶應效政府機關設置沙包警探又大搜秘密會社捕廿餘人
page 7	防空演習停止舉行
page 7	大隊警探搜捕歹徒
page 7	防範歹徒來港活動
page 7	美機遇風遲到
page 7	西人被控私購金銀貨幣
page 7	代購股份糾紛新豐洋行得直
page 7	諾爾頓來港行期仍未　定
