page 2	對日交涉大警告七亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	對日二次牒文將提出聞已劃開旅大二事
page 3	張紹曾擬編蒙防軍四師欲造成新軍閥
page 3	議員提查辦中行當局案
page 3	府保洛均贊成王正廷長外交王一日由保赴洛再來寧滬尚須赴奉謁張作霖商對俄辦法
page 3	曹錕欲外交系代向外交界聯絡促成選總統三十一日盛讌王寵惠顧維鈞王顏三十一晚返京赴外部議覆日牒稿京聞日美藍辛石井協約取消取廿一條及旅大運動更猛進
page 3	英法日美各使告華銀團代表願助鞏固內債無攘奪基金意
page 3	商聯會三十一日會議決主張向國際法庭控日佔中車領土並反對財部停各公債抽籤促議會制憲收開濼煤礦自辦
page 3	黃郛辭職已准但黎元洪須已定繼人方允蓋印
page 3	吳佩孚電王汝勤助袁祖銘如黔兵入境速給械收編
page 3	吳佩孚函趙恒惕速取銷自治以明未改態附南否則鄂增兵岳州
page 3	蕭耀南奉吳佩孚電令駐宜昌督戰蕭因託詞避壽赴蒲圻閱兵秘約楊森攻分水藍文蔚迎降楊頃在雲陽萬縣間劇戰王汝勤部全入川助戰宋大沛旅在萬縣聲援
page 3	皖武庫砲彈移儲砲營三十
page 3	一日忽轟炸斃兵工五十人傷二十人
page 3	王永泉臧致平復合暗拒孫傳芳
page 3	內部請修自闢商埠章程
page 3	外部電駐日代使抗議日警捕毆學生案
page 3	曹錕欲顏惠慶長外交顏言現非上台時
page 3	三十一晚兵警共圍財長劉恩源宅索餉劉親函中交四行墊付現款始散
page 3	不信任案連署者多自撤消因張紹曾力向議員疏通故多軟化
page 3	沈鴻英拒絕京令之原因
page 3	許崇智已抵三河壩
page 3	出賣農林試驗場巳成交
page 3	新委瓊關監督未能接任
page 3	滇軍收入之豐
page 3	京令下後之借款影響
page 3	沈軍尚留高塘一帶
page 3	劫案未成槍傷兩伴
page 3	貴生輪遇火
