page 1	粵鹽加稅平議
page 2	蔣錫侯開弔蔣委長親主兄喪軍政要人先期集奉分往祭奠蔣錫侯靈柩今日安葬桃坑山
page 2	林相邀兒玉對閣員報告來華視察經過並懇談今後對華政策之根本方針
page 2	美艦十四艘將駛青島集中
page 2	劉湘接受解決川事六項辦法賀國光由渝飛蓉訪劉湘商談實施手續促其實現
page 2	德在萊茵區域建築防禦工程與法瑪奇諾防線對峙
page 2	林主席過漢赴潯過漢時民眾夾岸歡送者數十萬人南昌各界加工蓋搭牌樓準備歡迎
page 2	朱紹良晉京請示治甘方針
page 2	交部公布旅行電報規則中文每字國幣四分英文每字國幣八分
page 2	我籃球隊在日勝關西大學隊
page 2	南京英使館址正擬撥款建築
page 2	陳中孚乘長城丸東渡約留一月返國
page 2	匪偽連日在嘉卜寺會議謀再犯綏計劃已決定察北匪偽調動極忙有向西活動分為傅作義得報綏防緊急將返綏座鎮
page 3	財實兩部重審洋米入粵案決定緩發免稅護照俟程天固來粵調查後再定程昨已乘康脫盧校號南下
page 3	程潛向中央建議撥款助桂改善幣制先組織發行準管委會分會檢視全省存銀數陳報中央
page 3	德經濟部長訪比目的欲向比購非洲比屬剛果產銅比國鑒於德國整頓軍備不遺餘力故對於售銅與德之議頗躊躇不決
page 3	大角乘艦赴漢檢閱在漢各日艦
page 3	于學忠部牟師過徐赴蚌
page 3	吳稚暉赴杭途次受傷
page 3	外交部部令發表楊雲竺代駐日大使館參事邵毓繼任駐橫濱總領
page 3	劉蘆隱案下週即可開審
page 3	邕永公路完成
page 3	津海關增設分卡緝私
page 3	唐有壬案續審
page 3	海亨輪　走廈菲船員增加工資
page 3	美國實行睦鄰對墨取銷不平條約
page 3	西政府軍採取攻勢前線已有進展佔領多拉斯重鎮
page 3	國際會議總委會通過廢除各國在埃境領事裁判權
page 3	英保守黨議員質問幣制政策張伯倫答政府現無意以英鎊維持黃金定價
page 3	艾登下週赴比商討英比兩國協定
page 3	英在西領海內不負保護商船責任英工黨將提出彈劾政府案西叛軍又宣佈比斯卡海灣等處敷設水雷英反對派認內閣所採決定助成叛軍氣燄
page 3	各地鹽政機關一律依法改組撤銷運使運副等改稱鹽務管理局
page 3	基隆英兵被辱案台督致函道歉此案已算了結
page 3	米春霖十四日上午十一時
page 3	在津浦線德州查獲之運毒浪人六名
page 3	黃紹雄十三日由漢飛抵滬
page 3	中央社十四日南京電外交部川康特派員吳澤湘十三日由漢東飛
page 3	建都南京紀念定十八日舉行
page 3	日政府向政黨挑戰林相籲請人民作公正選舉政友會極憤慨發表宣言要求內閣立即辭職並謂此次解散議會揆諸政治常識實屬費解
page 4	奧斯德過難關此後對冠軍問題決於對雛鳳之戰昨戰四比零奧隊大勝華塞斯
page 4	普通界籃球賽南華南僅勝陽光乙組華人壓倒西南
page 4	學界排球賽報名今日係最後一日
page 4	網球賽因雨未舉行
page 4	兩棋王鏖戰六局周德裕勝利得金章四總成績三勝二和一敗
page 5	吳主席昨在歡迎大會報告今後施政方針
page 5	粵路公債基金會報告
page 5	洋米免稅入口未實行米商今日謁吳請設法並分電行政院財政部斥四省米商阻撓無理
page 5	抵省情形
page 5	潮安菴埠台醫病斃案近訊林文豐案之尾聲
page 5	保安處教導隊各官佐昨已委出
page 5	吳主席昨日抵省詳紀歡迎大會之盛況
page 5	歡迎大會
page 5	在芳村沉沒米船昨已絞起
page 5	財廳昨日更調人員原任科長改充參議宋子良有再辭職說
page 6	限制複評辦法
page 6	番禺大山鄉杜珠被刺後其婦攔輿告狀代夫鳴冤
page 6	廣東省銀行發展業務近訊改善行員待遇規定行員須買保險一千元
page 6	日艦廿餘艘將在閩粵海演習
page 6	湯澄波談救濟蠶絲業步驟
page 6	市商會通告行商繳首期營稅
page 6	四省會議研究所得稅粵代表提案之原文以有所得稅無營業稅為口號對申報處罰與稅率均請改善
page 6	河南公和鄉長李大同
page 6	廣州航政局
page 6	澳洲扶輪社遊覽團一行廿五人
page 6	粵視　機定五月五日舉行獻機命名
page 6	繼任第九旅長李江
page 6	夜長夢多營業稅複評問題異議者不願甘居被告地位不向營業稅局上訴寧願照新章直接納稅銅鐵業又反對評額過高某巨商之妙論評議會部定限制複評辦法
page 7	修理碼頭一年一度
page 7	全船沉沒損失甚重
page 7	婦孺之輩仰天求救
page 7	夜星搭客驚駭萬狀
page 7	閃避不及禍乃開端
page 7	搭客擠擁幸告無恙
page 7	舵工報告肇事經過
page 7	吳鐵城昨晉省履新劉維熾李煦寰等隨車同行歡送者百餘人均依依惜別
page 7	所以得人贊
page 7	啟節情形
page 7	惜別依依
page 7	花車上之吳主席
page 7	歡送人物
page 7	焚屍慘案詳臬定讞高等法庭下月開審
page 7	電池工廠
page 7	市政衛生局例會通過電池工廠明年搬遷案牛奶銷毒問題亦有討論請發牌照者一律被拒絕
page 7	抵省酬酢
page 7	繡旗飄揚
page 7	九龍各方面
page 7	香港及海底
page 7	銀禧水塘落成後本港水荒竟仍不免居民用水又將要受嚴厲限制水務當局擬請撥款再建一塘
page 7	澳扶輪會觀光團昨日赴廣州遊覽
page 7	牛奶銷毒
page 7	天星公司兩小輪相撞夜星小輪遇撞沉沒遇事地點距離港碼頭五百碼全船搭客二百餘人幸能脫險
page 8	新進議員宣誓就職
page 8	郝督頌揚戴賚政績
page 8	各項議案均獲通過
page 8	港府預算節流為主
page 8	香島發表犖犖大端
page 8	勗勉局員摯誠相見
page 8	港督發表建設新策
page 8	興革香島民負增加
page 8	津貼預算有增必要
page 8	鄰邦友好力謀增進
page 8	八年來本港衛生之回顧衛生醫官韋靈彤報告書
page 8	醫藥潔淨兩局改組
page 8	世界不景民生狀態
page 8	世界民航設站香港
page 8	市民健康應謀保障
page 8	衛生建設成績優異
page 8	整飾市容以壯觀瞻
page 8	四海之內皆兄弟也
page 8	對諸同寅表示感激
page 8	臥轍攀轅終難挽留華紳商恭獻去思頌以郝督比擬黃雋以郝夫人比孟光
page 8	去思頌原文
page 8	蘇門答臘政府引渡虧空疑犯案初級法庭昨開始審訊
page 8	立法局會議郝特傑臨別贈言發表建設新香港之計劃明年預算案加入非官議員意見計劃整頓市容清除市區之污點推行建設新計劃民眾負擔有增
page 10	三男女食魚中毒
page 10	英軍官因病自刎
page 10	保兒會定期賣花
page 10	提肯任海軍司令
page 10	衛生司時症週報一週內　生痘症十八宗
page 10	惠陽商會之新職員
page 10	英艦冒險號將赴菲
page 10	日人途中暈厥遇救
page 10	警司購緝傷人兇犯
page 10	瓊崖考察團已定期出發滬團員十六日乘輪南下
page 11	免稅米無人證明汕米業機關呼籲
page 11	包庇賣煙疑案
page 11	荒地造林之爭
page 11	鹿步夏園爭圍械鬥
page 11	五區開保安會議
page 11	修北堤募捐成績
page 11	潮汕防止奸梟活動粵閩駐軍聯合防剿檢查戶口注意居留汕市迅即舉辦聯保
page 11	營業稅申報再展期
page 11	大同鄉之三宗劫案
page 11	開倉庫辦平糶辦法
page 11	集資開懇官荒種蔗
page 11	業民請准田畝複評
page 11	縣中學增設高中部
page 11	整飾市容厲行清潔
page 11	江門商會定期開會
page 11	完成五區軍用電話網分設各地專線
page 14	建築動機
page 14	僑商籌款
page 14	津日和知參謀官舍內日特務員槍擊參謀神田參謀被擊兩槍傷勢甚重兇手吉村係偽滿顧問已被捕
page 14	測勘路線
page 14	日人代辦
page 14	購地糾紛
page 14	洋股風潮
page 14	冀察嚴厲禁毒焚燬毒品三千餘兩毒犯六名伙旨斃命
page 14	場內佈置
page 14	到場人員
page 14	潮汕鐵路過去及現在狀況壹民十一由日人手中收回辦理不善傳將收歸國營
page 15	焚毒情形
page 15	六犯伏法
page 15	川省賑會調查全川百廿五縣災情連旱數季秋穀歉收春耕無望民食告絕
page 15	重災縣份
page 15	次重縣份
page 15	輕災縣份
page 15	主席致詞
