page 1	德果將發動反攻乎
page 2	參政會奉議長核定川康建設期成會規則指定邵從恩等十四人為會員
page 2	長沙會戰概述
page 2	黔青年踴躍從軍某某師管區特傳令嘉獎
page 2	滇主席龍雲關懷民食令建廳組消費合作社
page 2	導報著論駁斥須磨美人注意遠東何煩須磨勸告
page 2	恐遭日軍污辱闔家投河自盡精忠義烈精神驚天地泣鬼神
page 2	粵婦女會發動徵募寒衣
page 2	重慶仰光線定期月杪成立
page 2	各傀儡集青島舉行聯合會議
page 2	薛岳飭屬優卹湘北義民
page 2	艾登發表演說英國內部團結各自治領土自動參加戰爭將派大員赴倫敦磋商合作
page 2	贛北我軍冒雨分路向武寧圍攻鄂南通城方面日我對峙白螺磯日軍向臨湘潰退
page 3	張伯倫在眾院報告週來戰況
page 3	外籍記者視察湘北觀感
page 3	美中立法案可多數票通過議員拉福列提議加一修正案可否參戰應由全民投票決定
page 3	羅斯福總統有連任可能
page 3	芬蘭以南海岸線放置水雷
page 3	英蘇雙方磋商貿易問題兩國商務談判昨日開始進行含有政治意味意義極為重大
page 3	德國英僑百餘被德當局扣留
page 3	羅馬教皇仍作和平祈禱
page 3	土伊等四國將開時局會議巴黎人士極為注意
page 3	英國違禁品種類單蘇聯表示不滿謂其有違背國際法英方對此予以反駁
page 3	張伯倫好整以暇唱黑人精神歌
page 3	德蘇商定支配截奪軍械擬將來供給中國換取中國之礦產
page 3	英議員質問英艦退出長江之問題邱吉爾當即提出書面答復謂係因中國其他地方較有用處
page 3	傳蘇將向瑞丹最後通牒要求兩個港口歸蘇海軍管治
page 3	英輪兩艘又被擊沉
page 3	英國扣留外輪共有五百餘艘搜查違禁貨物
page 3	英法勞動團體組織聯合陣線抵抗希特勒主義
page 3	火石城號德籍船員獲釋美籍船員尚無消息
page 3	英國輿論一致斥里賓特羅甫強詞奪理狡卸責任戰爭戎首罪仍在德
page 3	汪逆又向中美日報搗亂
page 3	英禁白銀入口目的保障金鎊地位亦可予日本以打擊
page 3	德法宣傳戰德軍利用播音機法軍報以機關槍
page 3	希物勒召開軍會準備全線總攻波蘭德國大軍全部移至西線一俟總攻令下大戰立即爆發
page 5	日軍再向睦洲增兵
page 5	九江方面時有砲戰
page 5	日軍重視採取守勢
page 5	江會日軍敗後日偽軍官大批被懲江會日軍總司令易人
page 5	蘆西線我軍衝入西南我軍增開三水前線日偽增援防我反攻
page 5	港滬運菲豆類須具有證明書
page 5	難民赴菲應辦手續
page 5	存港澳輕稅鹽斤改征坐配稅行銷內地
page 5	瓊島日軍增加
page 5	澄海屬蓬洲被偽軍劫糧食
page 5	菜販憤斬日軍老叟撈暇被日軍擊斃
page 5	粵北日軍增援圖以攻勢防守陣地日兵千餘集中廣從線我圍攻新街衝入日營
page 5	從化日軍續增千餘
page 5	我軍出擊新街激戰
page 5	省行台山支行發給登記證利便僑胞匯款接濟家屬
page 5	寶安黃背嶺被焚續詳廣九路以北各山頭哀鴻遍野急待救濟
page 5	各縣設立宣傳委會
page 5	江會兩日來已無戰事新會境及九江時有砲戰日軍採取守勢未敢輕於進犯日機向我陣地施用爆擊戰策
page 7	米糧統制辦法
page 7	港海軍魚雷艇爆炸十兵一名受傷入院療治
page 7	更改標準時間
page 7	德以軍火助我說不確外電所傳全屬無稽
page 7	邊境安謐如常日軍增兵說不確
page 7	菲島防務鞏固美洲灣大批戰機增防
page 7	糖商長期義捐又匯出一萬元
page 7	志切救國少年逃出家庭致書母姊謂到昆明去
page 7	突告失蹤
page 7	致諸姊　
page 7	致母氏
page 7	華商總會反對所得稅呈文送出呈文要點分三部痛陳利害已由華人四代表轉呈當局
page 7	立法局昨通過必需商品貯藏法例米糧統制辦法亦已訂定陽光節省案通過初讀會
page 8	溺斃三人一人受傷
page 8	航主談述失事經過
page 8	蘇州號輪趕到救援
page 8	法官賀士頓親出破獲勒索小販案魯警鄒德元有主使嫌疑收規者獲釋為官方證人
page 8	東華三院去歲收支統計廣華及東華東院均入不敷出
page 8	隆源金山莊劫案詳臬六　告僅一人直認行劫
page 8	誤殺疑案注銷礦場管工獲釋
page 8	三賊圖劫警官住宅老婦呼救賊棄械逃遁
page 8	五賊截劫路人捕獲疑犯一名
page 8	貨艇被匪騎劫
page 8	旅港順德籌賑會派員出洋籌款
page 8	夏令籃球賽進支數目公佈
page 8	友誼球賽消息
page 8	港澳埠際小型球賽定週末在修頓園舉行雙方代表隊已產生
page 8	　下時　員　客均已離船救生艇一艘被浪擊沉三人殉難
