page 1	米內內閣之命運
page 2	中條山日軍潰退山外進擊壺關我軍勢如破竹
page 2	蒙藏委會會長吳忠信抵藏藏中高級官吏郊外歡迎民眾觀者如堵情況熱烈
page 2	浙省日電犯鳳凰山與我發生激戰
page 2	汪精衛昨抵青島梁王兩逆將續到
page 2	鄂省本年度施政計劃決定五項原則
page 2	高宗武陶希聖發表汪日協定原文其條件之苛酷勢難接受尤甚於民四之廿一條款
page 2	陶高致報館函
page 2	陶高致汪等原電
page 2	魯南我軍圍攻臨沂
page 2	鄂中全線大雪鄂南我殲滅日軍數千
page 2	川女團體組家庭宣傳隊分赴鄉村宣傳兵役
page 2	粵省府撥款犒軍
page 2	試航機自蘇返德
page 2	崑崙關血戰紀詳二
page 2	西線天氣奇寒前哨仍極活動
page 2	陝西慰勞團撥慰勞金勞軍
page 2	為檢查郵件事英覆美牒內容英認為檢查郵件不違背國際公法
page 2	意將實行計口分糖辦法
page 2	貴婺川縣民爭相自動請纓達二千一百餘人
page 2	幾個血的故事
page 2	粵我軍三路衝入增城郭塘殘日向新街逃竄東江方面我克復西塘大黃
page 3	邱吉爾希望中立國參加聯軍作戰各國聯合行動抵抗侵略戰局前途將有一番改變
page 3	巴爾幹集團在醞釀中羅南外長會談意見已趨一致
page 3	美國會中人漸多贊成抵制日本畢特門禁模運日提案可望獲多數議員贊成
page 3	美上院度支委會通過國防補充經費案共二萬萬五千一百八十餘萬元
page 3	匈國實行限制鐵路運輸
page 3	比已局部取銷禁士兵告假令
page 3	菲二屆國會今日開會
page 3	新政府成立前所急望於日方者
page 3	日方答覆
page 3	日支新關係調整要綱
page 3	調整日支新關係之原則
page 3	日支新關係調整要綱附件
page 3	日新內閣今日開會討論內政問題日政治團體不滿米內
page 5	再犯荷塘戰事極烈
page 5	竟將梁夏兩村焚燬
page 5	偽軍攜械向我投誠
page 5	中山灣仔昨日大火
page 5	東江我軍全線出擊一度攻入增城詳誌日歸路被切斷增城旦夕可下增從線我圍攻福和亦告得手
page 5	衝入曹村
page 5	全線反攻
page 5	猛攻福和
page 5	直迫西門
page 5	蔣委長一度巡抵粵北指示各將領殲日大計粵北作戰將領許多受獎日軍動向改重西江南路
page 5	瓊島捷音我攻克大路黃竹又將嘉積包圍
page 5	廣州日軍加緊防空設備頒佈防空條例
page 5	東江輪渡聯合營業
page 5	財部防止私運特種物品核定限制區域辦法
page 5	澄海偽軍營被游擊隊焚燬
page 5	日軍搜東滘鄉指為匿庇游擊隊鄉民無辜被蹂躪
page 5	民政廳長勉地方吏民書
page 5	劫後地頭城二
page 5	蟻光炎被刺殺案暹法庭判被告刑期詳誌陳王兩犯應處死刑另有原因特予減刑
page 5	西江日軍增援防我反攻
page 5	日偽軍再犯荷塘我軍增到反攻再將其擊退日我死傷百餘梁夏兩村慘被焚燬中山灣仔大火難民無地棲身
page 7	不堪騷擾一度停業
page 7	在馬騮州遭遇日船
page 7	五艇被焚死卅餘人
page 7	克復後之石岐市內秩序漸告恢復數萬難民亟待救濟
page 7	陸上交通無甚阻礙
page 7	市內難民亟待救濟
page 7	美麥豐收麵粉源源運港美政府恢復出口商津貼
page 7	寶血醫院新院開幕大部建費由隱名慈善家捐助
page 7	粉嶺馬票開彩首名八二四四號
page 7	婦慰會募捐訊
page 7	英艦拘捕日輪德乘客被捕各客均適合軍役年齡
page 7	英戰時慰勞會開路舞會籌款
page 7	九龍城農戶籲法政府救濟
page 7	馬騮洲海面日海軍焚劫五貨艇貨物被掠淨盡五艇均遭焚毀般員卅餘人殉難僅一人脫險
page 8	教師聯會呈請改善教育新例
page 8	留日學生主辦街頭抗日詩畫展覽會步行二萬裏作文化長征將取道川滇桂等省來港
page 8	少女食魚中毒
page 8	救傷技術比賽港青年會獲冠軍
page 8	五賊截劫貨艇
page 8	本港書店組織同業公會
page 8	學賑會歡送赴渝獻劍代表
page 8	港府利用囚犯從事建設工作
page 8	旭和杯海軍染指絕望南華旗開得勝五比二德輝建奇勳
page 8	男女籃球義賽定廿四夕舉行娘子軍星島戰南華男子僑星對抗星島
page 8	記者公會足球義賽華聯對赴滬埠際隊定月底在加路連山上演記者陸運大會同日舉行
page 8	港府禁私攜刊物出口後運內地報紙大受阻滯僑港報販商會請檢查處予以便利當局允派員在九廣車站提前檢查
