page 1	急轉直下之英蘇法談判
page 2	謎一般的歐洲新風雲是否將發生現尚無若何風雲發生之壯兆但歐洲危機四伏則　為事實
page 2	法將實行新家事法鰥與寡獨均須納稅生產子女予以獎金
page 2	馬步青捐廉興學政院明令褒揚
page 2	開封返英運動勢極囂張對於西方各國僑民不分皂白一律仇視
page 2	中蘇借款必有其事但數額尚難證實
page 2	Ｘ機兩批夜襲重慶
page 2	英海陸空軍下月演習
page 2	昆明全體學生向英美分別發表宣言希望美國更進而取積極態度要求英國繼續發揚傳統精神
page 2	反侵略西安分會舉行成立大會
page 2	滬Ｘ軍部報道班造謠謂英蘇領館已合作對日
page 2	廣州Ｘ軍又準備今晨起大搜查
page 2	美海軍李海上將報名海軍費力美國海軍進攻力量強大世無其匹必能擊敗任何其他海軍國之艦隊
page 2	蘇聯高級軍官乘機失事羅難
page 2	英波貸款協定將于日內簽押
page 2	英海軍機隊將飛希土兩國
page 2	英皇接見外相
page 2	美國當先氏白銀提案否決倫敦銀市已略有起色
page 2	日對庫頁島問題採取緘默態度
page 2	法總統夫婦將聘問盧森堡
page 2	傳英大選將十一月舉行
page 2	豫南毛集藍店
page 2	軍息晉東南之Ｘ
page 2	卅日上午三時我軍於收復鳳角後
page 2	Ｘ機十八架
page 2	豫南我進迫明港鄂中再攻抵潛江晉南夏縣附近我反攻獲勝
page 3	東京大規模反英巡行參加巡行者五萬人
page 3	活躍在火線上的朝鮮義勇隊中國抗戰勝利之日就是朝鮮革命成功
page 3	英法蘇先舉行三國參謀談判英法軍事代表團將赴蘇三國政治談判繼續進行
page 3	英日談判中貨幣問題實佔重要之地位
page 3	菲華僑請英堅持立場維護九國公約
page 3	日本輿論界恐嚇英方謂必要時中止會議
page 3	英下院討論外交問題已擬就一共同和平計劃準備向各國獨裁者提出
page 3	印度一部英陸軍調防馬來係一種戒備行動
page 3	羅匈邊境發生衝突事件
page 3	二四襲賽公橋Ｘ兵開小差
page 3	陣地上唇槍舌戰
page 3	但澤問題如獲解決戈林則將赴英訪問與英當局進行經濟談話
page 3	一參加通　攻擊戰
page 3	東京談判繼續舉行日已表示讓步放棄先解決天津白銀問題主張昨日談判僅討論天津警察問題
page 4	中大服務團贈券展期揭曉
page 4	各界賑聯會會議紀去年會務報告書出版將分贈各界人士察閱
page 5	昨日所得戰事情況
page 5	大崗之Ｘ已退麻子
page 5	Ｘ艇在東利涌觸雷
page 5	Ｘ在大尖峰築砲壘
page 5	疊石全分鐘Ｘ艦已退
page 5	Ｘ機不斷徘徊各地
page 5	Ｘ艦又炮轟唐家灣
page 5	運輸處設各地站所舉辦水陸負責聯運船隻汽車一律施行登記重新編配以利戰時運輸
page 5	粵南當局準備　變採取各項必要措施多餘糧食即移安全地帶免役緩役壯丁維持治安
page 5	加速禾稻收割
page 5	嚴密防空組織
page 5	動員免役壯丁
page 5	加緊疏散人口
page 5	翰屏捐廉賑恤淡澳難民各界追悼死難同胞
page 5	瓊島我軍克復新市民眾歸來辦善後
page 5	Ｘ圖在大　登陸被我團隊擊退
page 5	四邑交通線之近況航行經過石牌江背須避免Ｘ之砲火線
page 5	物資過法境免征通過稅
page 5	昨日Ｘ機飛炸廣九路各地續詳Ｘ機十四架投彈百餘枚布吉新崗兩地受災最重
page 5	Ｘ機六架首炸新岡
page 5	續向布吉投彈數十
page 5	李郎平湖同時受炸下午Ｘ機再炸各地
page 5	越南華僑縮食隊在邕贈醫施藥緬甸華僑隊在北江服務
page 5	粵北各界慰問出征軍人家屬
page 5	橫門戰事仍甚劇烈我據白米山控制Ｘ所踞陣地Ｘ艇昨在東利涌觸雷沉沒張家邊大王頭未發現Ｘ蹤
page 6	欽廉海面Ｘ艦交織
page 6	Ｘ艇百艘結集海口
page 6	Ｘ機首次轟炸茂名
page 6	僑委會訓令僑報雜誌送檢
page 6	Ｘ機連日襲桂邕柳損失調查
page 6	桂省各縣劃設聯合農場
page 6	李漢魂報告改革政務缺點
page 6	粵北各地早稻豐收當局分飭各縣厲行冬耕
page 6	涂思宗發令各縣肅奸自衛
