page 1	第四戰區將士電請緝汪
page 2	鄧錫侯等由蓉乘機赴渝晉謁當局述職及請訓
page 2	漢口偽軍發生變亂
page 2	中航公司增闢渝貴航線
page 2	中陽之Ｘ有犯柳林模樣
page 2	速戰速決乎中國事變已轉入變長期戰爭此種工作非經一二百年不能完成Ｘ軍參謀部高島大佐之戰事論文
page 2	匈捷舉行停戰談判但捷炮隊仍向蒙加爾轟擊
page 2	日報謂美牒無補於事對日滿中組經濟集團事毫無影響
page 2	晉南之Ｘ西犯被我痛擊
page 2	日軍費枯涸發行大量公債
page 2	戈林被邀前赴南國行獵
page 2	美駐華大使詹森飛抵意京
page 2	波德兩國外長使行秘密談話
page 2	美政府務求達到改修現行中立法目的決以全副力量與國會相週旋俾克有較大力量應付獨裁國
page 2	滬租界董事局去年工作概況
page 2	豫北之Ｘ虛張聲勢連日調動繁忙
page 2	南潯戰事轉趨沉寂
page 2	九江河清之Ｘ已向予江移去北海附近集有Ｘ艦甚多
page 2	陳誠薛岳等三十餘將領電呈總裁請對汪制裁第四戰區全體將士亦發出通電請中央緝汪明正典刑以肅紀綱
page 3	英商討論在華利益
page 3	美地平沼未敢奢望
page 3	名歷史家威爾斯詆希特勒與墨索尼里謂希為瘋子墨為狂妄之徒
page 3	日本企圖恢復南美貿易先謀物品交涉
page 3	荷進活中一幕情殺悲劇
page 3	西政府軍開始退卻
page 3	羅斯福審核國防咨文美國輿論多一致表示擁護羅斯福外交政策
page 3	法總理抵多倫召集軍事會義
page 3	日美敵對關係新因素日擴張對拉丁美洲各國貿易
page 3	加拿大國防預算數達五千萬元
page 3	張伯倫等取道法國訪意
page 3	巴力斯坦會議各方代表舉出預料初步談判可望月杪舉行
page 3	金鎊價格高漲
page 3	英軍事當局派遣檳城駐軍
page 3	增強民族的動力以德智體三育培養青年尤須注重音樂教育功能
page 3	英海陸空軍實務增加其中以空軍進步為最速
page 3	吳鐵城過衝赴桂
page 3	英令財部建議迫日改變態度之步驟美國方面亦正考慮對日報復方法德各報推測日新閣政策將無變更
page 4	英政府獎勵盡職警員
page 4	國反侵會編撰遠東叢刊出版
page 4	義勇軍大檢閱
page 4	文員會聘請顧問
page 4	上月赴南洋人數
page 4	青年會新文字班上課
page 4	國醫聯會換發會員証書
page 4	港府新委任令
page 4	九龍關公佈關金伸算價
page 4	在江蘇酒家破獲牌九賭局拘賭徒卅九名
page 4	黃紹雄電謝婦慰勞會
page 4	業餘聯誼社定期舉行成立大會地點在孔聖堂請陶行知演講
page 5	增從間大戰情形另詳鬱洞Ｘ軍犯劉莊太平場Ｘ退鳳尾
page 5	陳李兩師增從殲Ｘ
page 5	鬱洞殘Ｘ犯吊眼　
page 5	太平場Ｘ退移鳳尾
page 5	粵路南段我有進展
page 5	廣三路游擊隊活躍
page 5	我　部署反攻三水
page 5	西江各縣重申禁賭功令
page 5	潿洲島Ｘ登陸強迫組維持會北海仍甚安定
page 5	犯寶安沙井之Ｘ被擊退是役斃Ｘ三十餘Ｘ遣下搶劫之糧食甚多寶安已無Ｘ蹤傳Ｘ蹤傳Ｘ在南頭固戌登陸不確各機關積極辦理善後賑款一萬元之用途莞城Ｘ混亂之情形擾寮步鄉被我擊退
page 5	莞城仍屬混亂
page 5	Ｘ擾寮步情形
page 5	難民賑款分配
page 5	寶安發國難薪
page 5	我軍進攻菉蘭情形
page 5	粵漢南段我軍進展昨攻三江官窯吉捷Ｘ向廣三路後撤我軍乘勢追擊中
page 5	三水Ｘ軍渡河被擊退續詳全境Ｘ兵不過三千無法集中進展馬口Ｘ浮橋被炮壞現圖進窺北岸
page 6	財廳嚴禁干涉地方財政
page 6	鶴山自衛團隊反攻九江之激戰情形何柏擔任前鋒深夜襲Ｘ擊沉Ｘ艇多艘斃Ｘ卅餘
page 6	夜襲Ｘ營並擊斃漢奸楊某
page 6	東路我軍反攻急進Ｘ徬徨中濫殺難民
page 6	各縣公路破壞後五邑交通情況新鶴公路仍可通車
page 6	通令搜集銅鐵舊器及鎗炮矛西江行營飭所屬遵照
page 7	寒風冷雨中新界難民急需救濟未搬往深圳者尚有五千餘人光華中學學生今日再往施賑
page 7	兵災會收到捐款報告
page 7	澳門賽馬澳輪改時開行
page 7	汎美巨型機寶寧號將開航
page 7	紅十字會收到大批賑品
page 7	昨日溫度最低五十二度
page 7	三大銀行發行紙幣數額
page 7	憲報公佈醫院購置毒藥品辦法須得海關當局核准始能購買
page 7	露灣附近海面兩漁拖被Ｘ艦焚劫船主脫險返港報告捐失約值萬元
page 7	扒船兩艘被Ｘ焚燬
page 7	鮮拖兩艘被劫一空
page 7	天主教神甫救濟惠陽災民
page 7	中央撥款二十萬振濟粵省各地難民孔院長電留港各中委負責施振馬超俊電告粵桂各地振災情況
page 8	本港去年外匯基金增七十萬鎊
page 8	潮州商會明日派員募捐
page 8	裝較水管工匠須向政府領執照
page 8	紅丸犯受重懲
page 8	五行商會響應還債運動
page 8	今日各界團體舉行春節聯歡
page 8	九龍德明中學昨請陶行知演講
page 8	麥　奴道橋改進
page 8	醫藥會售旗籌款
page 8	長期購債彙誌
page 8	許世英函復學生救濟委會
page 8	婦女會主席昨日啟程赴越聯絡各地婦女一致效力祖國
page 8	林西河堂
page 8	王曉籟等昨晨返抵本港
page 8	港九住客聯會昨招待新聞界
page 8	南約理民府前日開投公地
page 8	參政員陶行知談我可動員千四百萬人有此大量兵員足以長期抗戰
page 8	英振華分會昨收捐款千元
page 8	太平紳士離港須先呈報
page 8	學賑會服務團第一團抵前線
page 8	Ｘ留港中委均反對汪氏和平建議
page 10	日飛機肆意轟炸
page 10	游擊隊奮勇抵抗
page 10	東西北三路圍攻
page 10	三和港犧牲慘重
page 10	海門縣傳已克復
page 10	論抗戰建國中的建設事業
page 10	民生問題與民生建設
page 10	生產建設與國防建設
page 10	蘇北我游擊隊發揮威力克海門攻啟東啟東唯一空地北新鎮燬於炮火日軍到處屠殺貧民並肆意縱火
page 11	今日尋杯足球賽甲組光華對蘇皇軍另有乙組兩場丙組一場
page 11	女普籃賽戰績廿八比十三培道痛擊南華廿六對四二華僑不敵梅芳
page 11	記者公會主辦之足球義賽游藝大會秩序豐富並舉辦小獎券伶星足球隊陣勢已擬定
page 11	明星名媛勸銷獎券
page 11	賑難盃賽報名展期
page 11	圈球友誼比賽訊
page 11	大會節目異常豐富
page 11	甲組足球聯賽東方僅勝香港三比二大檯客先勝後負九龍克米軍海軍挫警察
