page 1	西班牙內戰之教訓
page 2	駐渝日艦派隊登陸示威
page 2	松村糟谷查勘被燬商店
page 2	日僑遺骸今日舉行火葬
page 2	國府發布重申睦鄰命令
page 2	王克敏談短期內不赴平
page 2	桂軍入粵佔據北海蔣仍隱忍希望和平成功
page 2	孔祥熙談毫券與法幣比率毫券價低於粵有利並以日金港幣貶價為佐證
page 2	日政府與資本家互急華北棉業權政府主張在津設機關統制購買資本家均表反對力主自由競爭
page 2	韓復　昨抵青
page 2	日將藉蓉案為發端採取強硬態度償侵華大慾日外務省川樾訓令交涉蓉案條件海軍省決派大批軍艦來華向我壓迫駐渝日艦陸戰隊登陸演習示威
page 3	駐豐台日軍舉行秋季演習並在津建築飛機場
page 3	大赦草案已由法部擬就副本交宋慶齡核閱
page 3	浙江警官學校歸併中央警校李士珍已赴杭接收
page 3	德三飛返嘉卜寺積極編練日兵由某方軍官擔任教練
page 3	吳鼎昌赴漢視察合作事業吳譚在贛視察所得印象甚佳
page 3	故宮博物院發現失寶舊案計有綠寶石一塊道光寶銅片二塊
page 3	南京美使館落成美使館 即南遷
page 3	鄂東災情嚴重中央撥款急賑
page 3	全國警界捐款購機獻蔣
page 3	華北奸商向日訂購私貨竟達百餘萬元
page 3	宋哲元昨南赴苑閱軍
page 3	黔省各縣宣誓公民統計
page 3	政院審查各省建設工作特組織建設審委會
page 3	賀匪犯岷縣中地雷受重傷
page 3	無法投遞郵電改進處理辦法在平滬粵設辦事處分別處理無著郵件
page 3	節約運動實施方案全部審查通過
page 3	閩侯縣國大代表候選人已決定
page 3	航空建設協會委員人選決定孔祥熙為主任常委周至柔則為總幹事
page 3	駐華英大使啟程來華履新
page 3	懲治盜案暫行辦法施行期間二年
page 3	滬四團體推選候選人
page 3	鳳翔林則徐紀念堂舉行落成典禮
page 3	內政部發表外人入籍統計共七十三人
page 3	滬漢無線電話完成九月一日開放每三分鍾收費三元
page 3	臨時高考報名人數統計達一千七百餘名
page 3	李翰華到署接篆視事
page 3	馮玉祥赴南昌
page 3	西國叛軍飛機飛到西京上空示威伊倫城又發生大激戰
page 3	英國調停失敗
page 3	廢帝突然失蹤
page 3	蘇俄派使駐西
page 3	波蘭陸軍總監米格里赴法國一般人頗為重視
page 3	許承基在瑞士擊敗英國選手
page 3	國交討論會續開圓桌會議日代表主張修改九國約
page 3	蘇俄答復國聯主張充實制裁力量
page 3	據可靠探報日向韓復　提出要求
page 3	蔣委長廿九日電令
page 3	日陸海空軍秋季大演習
page 3	日關東軍參謀長　垣
page 3	錢宗澤二十八日晚由鄭赴粵
page 3	紀佑穆任期屆滿
page 3	國府廿九日令派　炯錦為甘省普考試務
page 3	牯嶺電話國府文宮長魏懷
page 3	何鍵電告暫留粵
page 3	國府廿九日令
page 3	川樾由青抵滬召開駐華南日領正式會議京滬粵漢等地日領及太田均參加
page 4	南華南遊隊返港乘安徽輪今晨抵　該隊南征成績尚佳
page 4	英京銀價昨轉跌
page 4	世運花絮錄一八月七日儲安平自柏林寄
page 4	域多利亞游樂會下月舉辦全港水上運動會羅蘭士已開始練習冀保持其本人紀錄
page 5	糖商赴省府請願撤銷糖業統制詳情
page 5	軍當局注意潮汕國防汕頭飛機場將改組中央航空分站令八十師以兵為工修築防禦
page 5	廣州長途電訊重炸機昨飛赴南路大小洋比率之財廳要員談柳州再頒布戒嚴條例
page 5	警備軍特務團團長交卸之情形
page 5	唐海安奉召今晨飛牯謁孔
page 5	憲兵改營近訊
page 5	桂軍突撲南路西路又告緊張中央軍兩師急調廣寧粵漢廣三兩路昨日軍運仍忙但戰事雖爆發而和平尚未絕望
page 6	陳漢光辭職不准
page 6	許崇清電飭撤銷瓊崖督學處
page 6	一雞死一雞鳴汕外人走私仍盛
page 6	新舊印花問題汕商又將有請願
page 6	禁賭期屆之廣州市酒樓受大影響禁賭條例全錄
page 6	廣九局總務處長由馮伯勵兼任
page 6	司法長官宣誓就職盛況中央派黃慕松監誓司法院長居正訓話
page 6	宣誓
page 6	訓話
page 6	答詞
page 6	財廳令禁稱省毫券為法幣
page 6	請掃除河南土偶
page 6	農稅局被留委員移押憲兵司令部
page 6	財廳裁稅捐加二專款昨已發出佈告
page 6	河南區所通令保護農業
page 6	尼姑案之偵查
page 6	某　關傳出消息張發奎前廿八日由閩乘機抵省
page 6	四六九旅長鄧志材四七零旅長利樹宗昨由防次返省垣晉謁余總司令報告一切
page 6	陳誠昨下午五時在空軍會議中央在省將領
page 6	譚道源成光耀以各項軍務多待與第四路軍聯絡
page 6	社會局長劉石心以各學校散處市內各地
page 6	中央海港檢疫處處長伍連德博士特定於三數日內南下來粵
page 6	粵省國術界同人
page 6	西江輪船公會請桂當局撤撫河水雷以保民命而弭危險
page 7	唐海安昨來港兩廣鹽運署將改組
page 7	潮商挽留李漢魂
page 7	五毫子一百磅
page 7	英人不加入義軍巴度苗之批評
page 7	一批法幣將運滬
page 7	黃紹雄昨晚已乘輪返省據謂桂局尚有和平希望
page 7	港府覆航業公司無干涉顧用船員
page 7	園林監督之通告
page 7	英皇批准之新例
page 7	胡文虎今日赴星
page 7	大借款案之呈文將由羅旭和代呈政府
page 7	母子三人同中毒
page 7	射擊會籌建會所
page 7	陳濟棠決今日放洋黃麟書等同行莫漱英留英留港蕭佛成昨往訪祝旅途順利
page 8	嫖客奪私娼金飾同夥三人被捕入獄
page 8	七妹上堂
page 8	典當金鍊
page 8	華民政務司署去年工作一保護婦女工作成績極佳更練辦理案件亦稱滿意
page 8	水務局修海底喉
page 8	被告作供
page 8	鉅竊案兩犯入獄
page 8	港政府之委任令
page 8	三工人意外受傷
page 8	小孩誤飲電油受傷
page 8	英皇書院童軍赴澳
page 8	港府將俯頻輿情修改華報檢查則例輔政司謂羅文錦提議過遲是次定例局會議未暇細查
page 10	衛生局定期會議
page 10	開投公地之通告
page 10	西南學生考入中大
page 10	窩藏十八歲少女法官判入獄九月
page 11	東江貨船又被劫
page 11	卜筮星相以各鄉為
page 11	陳漢光限散兵回籍
page 11	風災後縣長請籌賑
page 11	陽江縣府防止四區械鬥
page 11	恩平又發現大堂坪金礦
page 11	佛山民眾請減警捐
page 11	匪徒攔河截劫船渡
page 11	征收地稅發生糾紛
page 11	縣民反對抽收穀捐
page 11	七堡河面兩輪相撞大新寧輪被撞沉輪伴三人受傷
page 11	海豐速記二五住戶與社會組織
page 11	源潭各機關劃一物價及募夫
page 14	賀耀組歸國到滬談中土邦交情形土國朝野對我深表同情
page 14	抵滬後寓新亞酒店
page 14	假期三月並擬續報
page 14	土對我國極表同情
page 14	土國外交商務情形
page 14	中上商約正在談判
page 14	否認駐上使館撤銷
page 14	德法問題的觀察
page 15	主文上訴駁回
page 15	理由
page 15	送子讀書
page 15	聽經為名
page 15	軍用槍彈
page 15	告國人書
page 15	為父報仇
page 15	犯罪事實
page 15	捨身復仇
page 15	軍事裁判
page 15	打死人了
page 15	代為自首
page 15	四五分鐘
page 15	施孫結仇無真是非可言施從濱有可死之罪孫傳芳無擅殺之權
page 15	東南　暑勝地莫干山訪問記二柏油馬路出汗之日正是山上黃金時期
page 15	美國教士首先發現
page 15	山中生活歐化甚濃
page 15	避暑士女生活一斑
page 15	妖姬蠢奴山靈竊笑
page 15	名流信佛和尚講經
page 15	山容如畫變幻無常
page 15	施劍翹刺孫案上訴最高法院予以駁回仍處施劍翹有期徒刑七年情可憫恕惟自首不能成立
