page 2	局部和議
page 3	孫寶琦呈請將曹陸經手參戰借款懸案准予撤消
page 3	京政府咨催眾議院解決孫閣同意案
page 3	廿三日開裁員特別閣議
page 3	孫文派駐莫斯科之委員朱有生等廿二日回國
page 3	湘訊趙恒惕允北附但請勿易各職官免湘人責問十九日托馬濟與蕭耀南商聞馬濟主維趙地位
page 3	蔡鉅猷部周朝武請降以保存蔡鉅猷生命財產為投誠條件趙恒惕不理
page 3	沈鴻英率部抵永州分駐東安零陵道縣將分道入粵桂
page 3	川訊周西成石青陽部分向梁山大足退卻援川軍左旅攻合川右路攻忠州中路攻培陵戰甚烈
page 3	吳佩孚購內河船二艘備援川用
page 3	閩訊盧興邦將出師樟湖阪斷福州延平軍事聯絡周蔭人告急福州延平軍事聯絡周蔭人告急
page 3	國務院通函京內外各機關准日使照會震災時中國圖書損失殆盡請補助
page 3	交部將自動護路計劃通知葡使請緩提護路案葡使允轉使團
page 3	葡使將於三星期內返國來年八月回華關稅大會俟葡使回任後舉行
page 3	閣議擬路案決實行催唐在禮就職
page 3	孫發緒內定長皖裁員辦法
page 3	除實缺外餘皆裁汰欠薪發無利庫券願回籍者發免費車券
page 3	二十晚國務院咨眾議院催投孫閣同意案
page 3	民治通信社京津晚報因登閣員受賄被封京報界集議援助被封兩報社擬向平政院控某當局
page 3	軍事處諭警廳從嚴取締載載不利直方消息並將外埠駐京記者真姓名住址存案備查
page 3	津平市局拒民人兌現軍入則否
page 3	廣州戰局之最近形勢西江風雲同時吃緊
page 3	公安局令商團造報鎗 械數目
page 3	北軍有再來攻粵訊
page 3	扣留莫雄張國楨
page 3	開審謀殺許劍魂命案
