page 1	希特勒再試和平攻勢
page 2	羅斯福氏結束演說
page 2	韋爾基氏結束演說
page 2	滬法租界兩法院仍照常辦公兩院立場堅定始終不變負責人表示謠言不足信
page 2	韋竟強調決不參戰
page 2	上海美僑多數擁羅
page 2	英大使岳父比拉氏昨抵滬對中國人生活彼謂甚感興趣
page 2	陳公博確任滬市長
page 2	荷印不願附麗亞洲經濟集團荷印人民委員會主荷印維持獨立
page 2	日副軍需長在虹口被擊傷
page 2	桂邊平而關日肅清浙東我向蕭山推進
page 2	大別山西日軍受創
page 2	晉南公路被我控制
page 2	鄂南日軍兵車中伏
page 2	豫北我軍捷報頻傳
page 2	川康經濟建設委員會開會蔣委員長訓詞
page 2	諒山日軍繼續撤離往海防轉乘日艦離境傳我軍襲擊越邊阜平
page 2	桂臨參會開幕
page 2	貝當政府　牒美國欲保留西半球屬地法駐美大使談屬地政策不變大選揭曉後美將有斷然處置
page 2	戴古否認辭職
page 2	滬市豬肉價漲市難知肉味
page 2	美國大選昨晚開始投票據測羅斯福佔優勢美國會暫休會大選揭曉後續開遠東時局緊張滬美僑主羅連任
page 3	希臘軍艦一隊由薩第港出動襲加拉麻士河意軍
page 3	希機械化兵團兩路進攻哥加意軍一團已被擊潰
page 3	希臘艦隊勝利擊沉意艦兩艘英艦擔任指揮作戰
page 3	倘英大舉援希意有慘敗可能意對希軍估計太低
page 3	英機飛意施威襲擊那畢勒斯英軍四萬在希登陸
page 3	美紅會開支鉅款救濟我國難民派兩輪載運大批藥物來華今年底可抵仰光轉入我國
page 3	南非洲總理主張派軍助英參戰戰爭重心移到中東東地中海戰雲怒捲
page 3	意間諜在美較德間諜活動反　活動調查委會將　最　表其內幕
page 3	佛朗哥嚴守中立拒絕德軍假道英西關係冇良好發展現正商訂一商務協定
page 3	西政府突宣布接收坦及爾區
page 3	挪威卑爾仁港發生大火傳係挪威人縱火目的在困擾德軍
page 3	土政府頒布後備兵徵集令
page 3	倫敦突襲復起若干個區域落炸彈
page 3	英空軍炸大陸各港口
page 3	桂林倡食糙米
page 3	英首外兩相相繼報告戰局英海軍準備打擊意艦已規劃應付長期作戰
page 3	意潛艇偷出直布羅陀在大西洋及北海與　魚雷艇合作
page 3	意希大戰開展中蘇聯仍維持中立德當局否認將提和平條件意希陸海空大戰均已開始
page 5	前山日軍全部撤去
page 5	日軍集中石岐唐家
page 5	日機飛都斛投數彈
page 5	四六區交通管理處訂定商旅須知詳載東江各地交通費用旅客可免伕役苛索之苦
page 5	運輸路站
page 5	電民船價
page 5	伕役價目
page 5	韶關大火焚妓院卅九間妓女七百餘安全逃出東河現僅餘妓院六家
page 5	起火原因
page 5	單車乘客
page 5	轎輿價目
page 5	交通里程
page 5	損失重大
page 5	當局善後
page 5	粵省推行公醫制度曲江茂名興寧設衛生院
page 5	四邑黨政軍聯席會議議決補助軍糧整理團隊厲行剿匪恢復兌昃推動冬耕公耕各項問題
page 5	華南日海陸軍改組計劃海軍司令部歸指揮部節制
page 5	邊省境內攜鈔限制辦法超過三千元要領護照
page 5	惠陽青年踴躍從軍
page 5	前山婆蘿島睦洲已無日蹤傳江門日軍亦準備撤退日商大部離境傷兵已下日艦岐關公路傳今日正式開放
page 6	欽縣我軍
page 6	龍門港口
page 6	不得要領
page 6	北海情勢
page 6	增城附日軍大隊長被扣
page 6	赴湘日記九
page 6	粵工業建設在復興中機器電池肥皂藥棉廠已成立
page 6	上川島附近漁民擊沉日艇大略　日艦兩艘
page 6	寶安日軍趕築公路由廣州調來伕役數百沙頭角日軍仍未撤退
page 6	黃麟書等視察豐順山塘
page 6	寶安匪盜猖獗
page 6	全國高等考試正月廿一日舉行
page 6	欽北我軍收復望海嶺欽城風鶴頻驚維持會解體瓊嘉積附近劇戰我克由竹營
page 7	中英美人士追悼重慶號殉難機師肯特靈柩前晚運抵本港魯美音遺體將在渝安葬
page 7	居民聯會會議通過要案四宗
page 7	九龍巴士互撞禦者搭客七人受傷
page 7	伯特羅克勒斯輪被德潛艇擊沉該輪重萬一千三百噸行走歐洲香港間多年
page 7	衛生局昨例會清糞工人之呼籲
page 7	代督檢閱警察本月十三日舉行
page 7	海旁設運棺站利便運棺赴新界
page 7	養和醫院護士行畢業禮史美夫人頒發證書
page 7	中國救濟會徵求護士服務
page 7	第八批義民今晨首途歸國
page 7	山口攜眷返日
page 7	移民法例將實行港政府徵求華人意見該例副本得送交華商總會研究此舉關係我僑胞甚大不宜漠視
page 8	竊防禦物匪徒歛跡副警司沙捕頓之談話
page 8	俾歐由滬返港
page 8	唐拾義追悼會在積極籌備中
page 8	私鎢源源到港每日均有一千餘擔
page 8	下堂妾索首飾老翁劉公漢又被控
page 8	又一字花師爺出境一仍扣留候命遞解
page 8	　高三　入　七旬老女拼命抵抗救命一聲驚動鄰人宵小逃遁腰包無恙多年積蓄幸獲保全
page 10	中國青年救護團擬辦足球義賽廿七日由華聯隊對抗港聯隊各華會須接來函後始能討論
page 10	居民聯會主辦國際長途賽跑大會職員名單不　發展
page 10	中青週年水運項目止式　定
page 10	協會水運停辦
page 10	學界籃球聯賽明日截止報名
page 10	友誼籃球戰績
page 10	梅芳女校開陸運
page 10	大眾會設音樂部
