page 2	時局解決之途徑
page 3	美京電遠東問題十六號由九團代表組委員會討論議題由分任委員起草施代表演說發表中國對遠東問題態度力主維持開放門戶主義取消涉及中國各秘約嗣後各國有此等條約務當公開中
page 3	國應有土地完全政治司法獨立中國不願以土地給予或租借與外國各種特別權利　在外國掌中者應重加考察中國現受之政事法權行政等限制應　律撤銷中國對遠東將來局面願與萬國協商之我國代表發表意見後日本代表方面未致辦答美國代表對我所提遠東各　表示義助山東問題與租界問題未提及擬留待下會討論日本代表乘裁減軍備問題在美京鼓吹美國減裁夏威斐律濱各島軍備英日盟約將亦提
page 3	徐世昌囑高淩霨維持司法教育各部高允於月內先發欠
page 3	馮玉祥請辦京陝航
page 3	十五日閣議財政無切實辦法陸軍海軍司法三部長將再　
page 3	閻錫山助太平洋會經費
page 3	齊燮元電復靳雲鵬謂餉械缺乏僅能維持蘇省治安無力出兵援
page 3	張作霖　日之間三電索餉並詢靳雲鵬能否擔任維持
page 3	日人對於魯案　決提　次
page 3	交通部令路郵兩　赶籌十五萬維持　
page 3	張作霖近與皖系接近迭派人向段祺瑞示意但段不為
page 3	南苑駐軍聞因欠餉甚巨有不穩訊
page 3	高淩霨派羅鴻年向總稅務司安格聯要求援助整頓財政
page 3	陳光遠派員在直隸招兵
page 3	天津中交銀行日來有停兌謠傳十五晚至十六日半兌現者甚為擠擁
page 3	張作霖電東路自管願擔任護路今　
page 3	高淩霨每到部即夫部員多不到
page 3	靳雲鵬如汪士元入京商議魯問題
page 3	孫文擬遷總統府於桂林
page 3	省長與新縣長磋商要政記
page 3	汕頭市政風潮再誌
page 3	又有請撤消四邑聯防之提議
page 3	限制擺　小販
page 3	英人賑濟英德災民
page 3	風報
page 3	何福君往滬
page 3	鳥約丸擱淺續聞
page 3	法艦到港
page 3	香港臬署報窮案
page 6	煙酒借款之
page 6	靳內閣
page 6	　事問題　　沉默　　
page 6	四國聯合艦　始　
page 6	維持中法銀行近聞
page 6	英艦　　
page 6	上海理髮匠要
page 6	滬　　　
page 6	德國財政　
page 7	陽春人請將徐東海所
page 7	提議籌辦平糶以救旱災
page 7	請設北江水警之難行
page 7	東莞人呈控護沙營續誌
page 7	羅定兵匪劇戰紀
page 7	李福林返省
page 7	前山水陸防務之佈置
page 7	取銷番平鐵路領　
page 7	審計範圍之規定
page 7	商團出巡
page 7	坊眾紛紛籌禦火災
page 7	祠堂稅辦理不善之控訴
page 7	請撤換文昌知事續聞
page 7	電台令限制豬船鐵　
page 7	連　盜賊遍地
page 7	鬱南散兵土匪之為患
page 7	雷匪亦分兩派
page 7	省銀行請撥地建行之措詞
page 7	瑣聞一束
page 7	有乖倫常
page 9	嗚乎中國之財政
page 9	吳佩孚抵漢後之軍事會議
page 9	吳佩孚氏之態度
page 9	被控有三合會書
page 9	傭婦被控
page 9	德商商標之新規定
page 9	赤俄赴美總代表抵京
page 9	稟請翻審
page 9	控接贓案判監
page 9	南華比賽足球
page 9	孔聖會桌球部展期競賽
page 9	挾款潛逃案
page 9	偷籮判監
page 9	緝私差改換西裝
page 9	重懲摸西婦金鏢
page 12	鍾秀南請取銷軍米出口
page 12	中西鞋行工潮均解　
page 12	地方自治討論會第一次會議
page 12	省議會開會不成
page 12	商會聯會關心英德火災
page 12	孫文赴桂林之所聞
page 12	教育聯合會致總稅務司
page 12	縣財政局長須繳
page 12	新縣長暫　
page 12	廣東禁煙會定期成立
page 12	江肇早渡遇救脫險
page 12	現象報傳單照錄
