page 1	日軍圖由南路攻廣西
page 2	重慶官方意見六中全會收穫有兩大成功一為決定明年召集國民會議一為改組國民政府行政機關
page 2	政院會議通過各項要案
page 2	冀西北日軍被殲滅旅團長阿部被我擊斃阿部甫陞中將日軍頗為震悼
page 2	滇教廳失火被焚一部案卷被焚
page 2	全黔婦代會明日在築開幕
page 2	湘北大捷影片期於年底完成
page 2	中法教育基金委會我方代表連任
page 2	鄉寧退汾城日軍即可全部殲滅黑龍關外圍據點被我收復我軍在阜城以北伏擊日軍
page 2	杭州附近我軍攻閑林埠
page 2	晉西初雪
page 2	日機大學分批襲桂南寧被炸數小時遷江落彈數十枚
page 2	傷兵陳儀亭精忠愛國臨死遺囑以所積蓄博贈我方抗戰將士
page 2	各城市推行憲政運動
page 2	戰時社會事業人才調劑協會昨在渝舉行成立大會選出許世英陳立夫等為理事
page 2	租界稽查員被拘案引起複雜問題日謂該兩名華籍巡捕謀刺大道政府官吏
page 2	南極探險家定期再往南極
page 2	圖犯南寧日軍遭遇第一次嚴重挫敗在大寺以北兩軍發生主力戰日軍敗退大寺遺下死傷數百
page 3	日蘇開始商務談判此舉政治意義大於經濟　義
page 3	瑞士公使向德抗議謂德軍所發炮落於瑞士國境
page 3	德潛艇在北海隨便放置水雷歐洲商船多艘繼續遭害英輿論界因此痛擊德國
page 3	羅斯福夫人請胡佛主持賑濟難民胡佛對於賑濟工作甚有經驗美國許多賑務需胡佛總其成
page 3	德要求羅幣貶值
page 3	土陸軍統帥離英返土商討軍事任務已畢
page 3	對布拉哈暴動德取嚴厲手段槍決者百餘人
page 3	法方軍報前線寂寞
page 3	夏威夷禁日輪運貨
page 3	駐羅馬日大使訪意外相交換時局意見
page 3	蘇聯實際態度逐漸趨向於嚴守中立因蘇斷定英法必獲勝利
page 3	丹麥海岸設水雷封鎖線
page 3	前任捷總統廣播演說
page 3	德國皇室亦擁護希特勒
page 3	英帝國空軍訓練計劃即可以全部解決
page 3	甘地出席全印勞工會議對于印度前途將有重要決定
page 3	倫敦燕梳公會修改戰險費率
page 3	德輪安特克號逃出勞比都港配足全副武裝逃時冒充英輪
page 3	滬江大學未向日提出賠償要求寧願暫保留要求賠償之權
page 3	哈特離滬南下
page 3	巴黎仍然戒嚴
page 3	菲島全華女子隊勝港女籃球隊二十四對十九
page 3	加籐訪英大使
page 3	九江日軍出擾被我擊退
page 3	暹僑在滇籌設華僑中學
page 3	美副國務卿威爾斯斥日虐待美僑空言抗議已不復發生作用美對日態度將採強硬政策
page 5	鄧世增電當局報告
page 5	我依計劃退出防城
page 5	日犯欽縣被殲極眾
page 5	合靈兩縣開聯防會
page 5	日軍退到南頭下艦
page 5	我便衣隊抵達市南衝入大塘南石頭兩地翌晨撤退俘獲甚鉅
page 5	粵省府派員急救欽廉難民
page 5	廣九路昨已無戰事我軍在黃洞鳳崗大捷日軍退回南頭下艦而去
page 5	黃洞鳳崗我軍大勝
page 5	舉辦民校千班教廳指定本年設校地域
page 5	省府主席李漢魂興辦粵省農田水利續訊農林局恢復工程系羅致水利專門人才
page 5	順德我團隊衝入陳村兩墟
page 5	日機偵察南頭大　轟炸船艇七艘
page 5	台山國民兵團各官佐已派定
page 5	台山白石角海面漁船轉擊日艇
page 5	韶關開始分區檢查日貨
page 5	日艦徘徊中山疊石二區婦孺先自疏散順德日軍幾已盡退新鶴路戰我有進展我反攻睦洲時偽軍遭日軍擊斃
page 5	順德日軍幾已盡退
page 5	新鶴戰事續有進展
page 5	睦洲空虛施行反攻
page 5	日軍陷欽縣防城我軍增援截擊戰事至烈我當局聲言放棄欽防無影響戰局鄧世增電呈張司令長官報告戰情
page 7	名花墮溷
page 7	玉殞香消
page 7	感懷身世
page 7	愛觀粵劇
page 7	各界公祭吳光新將軍報國尚多未竟志危時痛失老成人
page 7	金錫儀突奉召返英任殖民部經濟局要職
page 7	出力輸財抗戰救國華僑功不可沒僑委會訓令海外各主管機關蒐集事實誌諸史乘以勵來茲
page 7	九龍關之佈告水銀珠砂仍禁出口
page 7	海盜又劫貨艇地點在三門關海面掠貨物約值五千元
page 7	華警被控藉搜身行竊案押候星期五日審訊
page 7	別有幽情暗恨生歌姬花影恨仰藥自殺遺書謂久歷風塵已心灰意冷發覺過遲施救乏術玉殞香消
page 8	金銀運輸
page 8	封鎖影響
page 8	德貨絕市
page 8	美居首位
page 8	露救會年會紀普樂主張增設灣仔宿舍
page 8	港九分區舉行日間防空演習油麻地區演習日期已定演習時禁車輛行人來往
page 8	隆源匯兌莊劫案判決猶子串劫叔父處徒刑四年首次三各被告入獄三年半
page 8	第一虎戲團明宵開始義演為兵災會籌募棉衣
page 8	佛門頭海峽將禁船舶行駛
page 8	擴大所得稅研委職權輔政司昨日正式公佈
page 8	劉法孟奉召飛韶
page 8	記者公會主辦第一屆陸運大會章程
page 8	公開排球補賽秩序重編
page 8	太古華體會陸運定廿六日舉行
page 8	昨日學界籃球賽民大慘敗皇仁今日高級兩場
page 8	今夕公開籃球勵行戰關光
page 8	歐戰影響下十月份對外貿易仍增出入口統計較去年同月增千萬德貨絕市美日貨乘機大量傾銷
