page 1	兒玉對佐籐之建議
page 2	林主席昨離桂赴湘桂省民眾十五萬人列隊歡送何鍵赴衡恭迎陪同遊覽南嶽
page 2	京中各部會長擬赴甬祭蔣錫侯蔣委員長電魏道明務請婉謝
page 2	存津私貨驚人數目總值三千餘萬
page 2	全運籌委會昨開首次會議議決要案多項
page 2	皖湘贛三省米商擬組赴粵考察團實地考察以謀解決洋米免稅糾紛
page 2	粵新任主席吳鐵城昨離滬南下滬全市歡送盛況為歷來所未有到碼頭歡送者有許崇智等多人
page 2	馮玉祥由巢縣赴杭州祭蔣後回京銷假
page 2	英皇定期頒給加冕勳章
page 2	輸日蘆鹽簽訂正式合同
page 2	大角離滬西上檢閱沿江駐軍
page 2	日確定對內對外方針林內閣發表新措施對外實行舉國一致外交政策對內推進舉國總動員之準備林內閣財政經濟政策將以全力擴充日滿之生產力
page 3	國貨聯營公司舉行創立大會選舉吳蘊初　十人為商董推選吳鼎昌為公司董事長
page 3	張群將赴日商談調整中日國交日外務省表示歡迎
page 3	經濟建設運動中絲茶火柴捲煙等將實行統制煙酒公賣本年內或有實現可能
page 3	朝日新聞機神風號飛抵倫敦飛行時間祗九十四小時零十八分抵倫敦時歡迎日僑情緒異常緊張
page 3	土總理將赴南國京城
page 3	艾登私人秘書被任孟買省長
page 3	平新　界昨歡宴傅作義傅定日內返綏
page 3	羅斯福否認變更黃金政策
page 3	沙土謁王教長商談蒙教問題戴鈕設宴歡迎
page 3	華南米業公司定期開創立會
page 3	陳中孚定期赴日考察
page 3	在津中日紗廠將有劇烈競爭
page 3	久大精鹽公司在海州設分廠
page 3	印度沿海日本輪船大增英輪公司極感不安
page 3	首都法院公審剌汪案犯
page 3	偽匪集中察北準備再犯綏遠
page 3	鮮人走私槍傷腳夫案津當局提抗議要求日方懲兇
page 3	德有自由黨出現散發小冊反對國社　義主張廢止經濟自給處足　策反對政府派兵援助西國叛軍
page 3	重光葵由柏林抵巴黎
page 3	美新機二百餘架定期集中演習
page 3	許閣森傅思德昨分謁王外長
page 3	外次陳介現已打銷辭意
page 3	西政府軍前線大有進展大學堂區叛軍被圍
page 3	兩公債還本抽籤
page 3	汪主席由滬抵京
page 3	尼古拉親王敝屣尊榮為美人愛請深摯足與英遜上
page 3	許世英決下月返任許談欲改善中日關係須具三種精神第一為互忍第二為互信第三為互助
page 4	今日甲組足球頗重要東方會對奧斯德如奧隊失敗南華南好夢重溫工程　斯　作乙組銀牌決賽
page 4	第八屆市校運動會昨開幕九十五校參加運動員達六千餘人曾養甫致開會詞並為黃慕松默哀男中一百公尺等五項創出新紀錄
page 4	德權鼎昨開賽培正平陽得勝
page 4	英美銀價昨轉漲
page 4	南華游藝部組織本港工廠參觀團本月十七日下午出發
page 4	八九金價仍報跌
page 4	省法幣市道極靜
page 4	桂幣市昨日報靜
page 4	本屆甲組特別　牌賽南華南昨奪得錦標　比零勇挫華塞斯蟬聯三屆冠軍美夢
page 5	洋穀米免稅入粵各行商請迅定證明機關湘米運粵已減少
page 5	李基鴻昨晨抵省定十六日就職
page 5	調節會會務暫仍照常辦理
page 5	劉維熾談水電廠鋼鐵廠之籌辦水電廠決借外資舉辦
page 5	水電廠
page 5	鋼鐵廠
page 5	綏署在惠建機場並設東江長途電話
page 5	孫璞等赴港迎吳
page 5	二次全國美展廣東出品多落選南京某執委來函
page 5	曾養甫到財廳接事記改期開會討論財務
page 5	接事所見
page 5	撤回印信
page 5	訓話大致
page 5	保安司令部在河南設立醫院
page 5	各科會報
page 5	閩建廳長奉命來粵商粵閩間各種聯絡昨日分訪各當局
page 6	廣州堤邊遷艇案各貨客艇又請緩遷無業可營事少生命危險實大
page 6	對海味捐之解釋財廳昨日批示　罰比前為重
page 6	廣州市公共汽車勞資糾紛一部解決被解僱工人領回補工了事張香圃接納工人要求無故開除者仍繼續交涉
page 6	大會結果
page 6	交涉圓滿
page 6	警局　分消防區
page 6	七十八行商聯敵請商會減徵會費
page 6	李卓元談憲兵無改團說
page 6	河南小港等業戶召開聯席會議因田畝評價過高事
page 6	建廳派司徒錫出席全國糖業會議市頭廠長已改委
page 6	運汕洋米繳按餉
page 6	美海軍上將抵省拜會當局記
page 6	潮安菴埠台籌醫生病斃案遺體已田福音醫院剖驗證明係屬病逝並無其他可疑
page 6	擴充鹽警
page 6	勸諭復運
page 6	解剖檢驗
page 6	國籍問題
page 6	雙方意見
page 6	全案大略
page 6	昨晨白鵝潭發生撞沉米船案損失米石二千一百一十包
page 7	米　請願
page 7	孫璞談話
page 7	三賊深夜劫灰窯
page 7	身懷水泡餅
page 7	通濟艦日間北返
page 7	雅爾露昨日晉省
page 7	擅駕裁判官汽車駕駛不靈將車撞毀
page 7	找換商圖騙紙幣
page 7	西人船員醞釀加薪限於華南沿海及長江各輪發起要求加薪者為上海總會原因鑒於各公司營業已好轉
page 7	英皇定期頌發加冕紀念章本港官　獲獎者六人
page 7	九龍漆咸道闢公眾遊眾遊樂場植時花果木供遊客賞玩設石椅桌俾行人憩息
page 7	陳其尢昨已返港談　江攷察之經過
page 7	優生學會之年報
page 7	免稅洋米入粵問題吳鐵城抵粵可解決各省米商反對不致發生影響港米商謁吳諸願代表已選定
page 8	魚欄夥伴
page 8	女郎重傷
page 8	第三次特別賽馬之成績博彩者眾各場彩金甚高騎士梁祥成墜馬受重傷
page 8	英巡艦一艦抵港
page 8	歐偉國昨晚赴滬
page 8	三人意外受車傷
page 8	三月份赴星人數
page 8	刑名案定期開審
page 8	鐘聲泳場開放期
page 8	跳樓自殺案兩宗魚欄夥伴頭穿肢斷即斃遺　祇世界不景已死數字威　頓街一少女跳樓受重傷
page 10	港政府之委任令
page 10	截劫案原是虛報店伴賭敗虧空公款
page 10	英皇批准之新例
page 11	鄧彥華決整頓南海教育該縣教育較梅縣文昌猶有遜色
page 11	汕營稅爭執案局長晉請示解決辦法
page 11	限令煙酒商換牌照
page 11	禪商請求免驗賬簿
page 11	小童拾喜炮被炸斃
page 11	食鹽加稅案潮橋運商請保留稅款
page 11	粵路小坪車站附近發生謀財害命案被殺者為退伍理髮兵
page 11	壯丁隊停訓半個月
page 11	博羅珠連山發現瓷泥
page 11	恢復各地公安分局
page 11	限期改選商會職員
page 11	繼續購米舉辦平糶
page 11	捕獲松崗大批賭徒
page 11	河南莘莊五鳳兩鄉因爭地發生械鬥附近各鄉之戒備
page 14	津海關規定檢查私貨辦法私貨登記期展至五月九日止各　界　商號亦在檢查之列
page 14	日本在我東北推進鋼鐵工業現狀積極國需準備各種會社紛立
page 14	中韓義軍
page 14	趙尚志部
page 14	趙尚志部遊擊抗戰北黑線日軍潰敗朝鮮革命軍擊斃偽少校日大尉陣亡士兵死甚眾
page 14	塘沽協定縛束下灤東富源日削日方強取豪奪不休華人實業鮮克自保
page 15	蘇高法院檢察官公訴沈鈞儒等之起訴書二顧留馨任頌高亦被公訴
page 15	所犯法條
page 15	湘西苗民暴動形勢日趨嚴重苗官煽惑苗民反抗余範傳各方咸望陳渠珍出任調停
