page 2	再論中葡交涉三　人對澳計劃之準備　對葡失敗之原因
page 3	曹張吳聯電京政府贊成國是會
page 3	張作霖將入
page 3	日參　　　日赴外部謝問日皇　狀並未涉及外交
page 3	靳雲鵬昨入府祝壽徐世昌面勸任事靳言須候曹錕張作霖會商後　
page 3	徐世昌靳雲鵬決留顏惠慶改派周自齊繼任總代表惟周不允又薦施　
page 3	曹錕電請撥十萬元犒賞前敵　
page 3	顏惠慶再電伍朝樞敦勸謂宜以國事為重務請　
page 3	高淩霨長財政已得各方同意行將實
page 3	曹錕決先赴天津候張作霖　
page 3	張勳巡閱蘇皖贛已內定因齊燮元反對甚力決先任為贛督再發表巡閱命
page 3	馮玉祥電保胡景翼為陝西第一師師長
page 3	吳佩孚電告秭歸巴東克復川軍已逃回川境
page 3	王占元昨由奉天返天津
page 3	張紹曾電勸吳佩孚勿侵川境恐兵連禍結非廬山會議所宜吳覆稱鄂西恢復即停兵
page 3	曹錕電姜桂題檢閱陸軍
page 3	請白直始姜準日內赴保定籌商
page 3	潘復昨與阿　脫在財政部簽押煙酒借款美金一千四百
page 3	顏惠慶又薦陸徵祥任總代表徐世昌電滬徵求陸氏同
page 3	王正廷到京係就中國大學校長
page 3	馬福祥運動新疆督軍現已成　
page 3	綏遠都統一缺將畀許蘭洲
page 3	本屆國會議員要求速開會內務部長齊耀珊請示辦法徐世昌謂時局未定宜　
page 3	滂江以北電杆多被軍隊燒毀一時難遽修　
page 3	庫蒙華人旅行禁令已解除張庫進出貿易歸華商與美商　
page 3	魯案決提出太平洋會已電令施肇基顧維鈞籌備
page 3	曹錕通電各省區勸令認籌太平洋會經費接濟赴美代表需
page 3	孫文赴桂再誌
page 3	趙恒惕尚未電覆沈軍繳械事
page 3	香港亦有證券交易所
page 3	又報地震
page 3	風報
page 3	汽車傷人案判罰
page 3	蠶桑獲利與戲行之關係
page 3	縫衣匠罷工風潮已解決
page 3	桂省收束軍事之佈置
page 3	中葡交涉近誌
page 3	銀價
page 3	屋宇限制住人之消息
page 3	拾得金鍊金錢之轇轕
page 6	新比照演長畫
page 6	優天影班開演良劇
page 6	李則香省釋
page 6	太平洋　　
page 6	川直和議之真相
page 6	摸　案稟　　
page 6	比月公司失贓案判結
page 6	傳染症報告
page 6	傷人入　
page 6	改良港口之所聞
page 6	馬克又再跌價
page 6	上西里西亞問題已解決
page 6	有　運軍火入滬求售
page 6	解決奧匈爭端之條件
page 6	美京發現劫銀行案
page 6	美京會議結果之預測
page 6	懸賞徵求條陳樹膠　
page 7	瘋軍四出擾人之詳　
page 7	有舉周震麟長湘者
page 7	新寧鐵路股東呈請改選總協辦
page 7	分發南海之醫生尚未得　
page 7	孫文果欲以周震麟長湘耶
page 7	樂昌贛軍種種不法
page 7	瓊屬土匪　猖　
page 7	市借債　　尚未批准
page 7	組織市立銀行近聞
page 7	廣州市屋租增漲之一證
page 7	大地獨稱樂土
page 7	新興樵婦被擄案再詳
page 7	岑濤又被省議員攻擊
page 7	提防散兵冒名劫掠
page 7	處分妄報官產　例
page 7	舉報官產例誌
page 7	組織四邑公會之籌辦處
page 7	火警又聞
page 7	安置南洋老弱華工
page 7	破獲北路匪窩
page 9	湘軍又將實行攻鄂
page 9	緝獲暗殺王文華案要犯
page 9	奇特之劉湘軍
page 9	川鄂戰局將告結束
page 9	曹吳之報捷　
page 9	澳門華人國慶紀念補誌
page 9	騙子一個官兒
page 9	工廠被控打架
page 9	被控偷牛皮
page 9	被控賣生豬肉
page 9	傷人案判結
page 9	反對畜婢會徵求會員
page 9	香港影畫戲院影長畫
page 9	來函錄要
page 9	被控虐　再押候
page 9	督憲夫人巡視醫院
page 12	司興　
page 12	善長不知食貴米
page 12	請議裁撤巡迴教授
page 12	省報之中葡交涉案近訊
page 12	司法囚人請求一律赦　
page 12	公用局覆九善堂院函
page 12	黃春霖抗
page 12	孫文出席國會紀事
page 12	徵求棉服濟貧
page 12	醫署辯無瘋人之　
