page 1	論節約救國
page 2	蔣委員長離粵飛京即日抵南昌短期內仍來粵
page 2	平市日兵肇事毆傷法兵
page 2	刺汪案疑犯郭宇平無罪交保釋放
page 2	各地華僑購機募捐成績
page 2	我國金融界注意佛郎貶價
page 2	黃紹雄昨抵滬據談桂局安定白氏未容出國
page 2	桂省洪水為患
page 2	林主席出席紀念週報告
page 2	財政部解釋所得稅細則
page 2	所得稅開征在即各方積極籌備進行林主席孔祥熙在中樞紀念週謂所得稅為現代最合理稅制
page 2	日外相有田發表對華重要宣言聲言將取斷然步進電機取斷然步驟為根本之解決中日關係好轉或惡化全繫於目前之交涉
page 3	萱生案破獲後滬當局搜索餘黨該黨活動範圍遍全國目的在造成中日嚴重局面刺汪案領袖人物出一源
page 3	法幣貶值後歐美各國急圖應付
page 3	李桐華晤李青選會商緝私辦法冀察稽查處範圍限於查緝軍火等
page 3	京防空協會舉行徵求會員大會昨舉行開幕典禮
page 3	雷震抵京談粵省教育情況量的方面甚發展質的方面須改進
page 3	平漢路局長陳延炯昨返漢
page 3	義教幹部講習班昨補行開學禮
page 3	國聯會選舉非常任理事
page 3	蘇俄黨獄株連
page 3	林雲陔葉夏聲等昨補行宣誓禮
page 3	中央各機關薦任科員辦法國府令飭各機關遵照
page 3	華北日軍變季演習刻已積極準備
page 3	西國內戰劇烈亞爾卡沙已解圍叛軍獲救後追擊敵軍
page 3	法財政委會通過政府貨幣法案贊成者佔多數票
page 3	日藉口蓉漢各案要求駐兵長江日政府迭開運載華會議海軍省決取強硬態度日艦日兵陸續到滬集中形勢嚴重
page 4	一位英國小姐介紹
page 4	第一日比賽情形
page 4	李氏健身學院將開週年紀念會李劍琴擬約利奧再比賽
page 4	我　世運選手歸來華人體協會舉行熱烈歡迎會昨經通函各團體學界報界參加
page 4	鍾聲舉行海浴遊河十月四日正午往青山
page 4	大眾社新職員選出
page 4	我國足球隊在英戰詳情上輿論界一致推許英國人大為驚奇
page 5	中野案可由省方解決刁作謙明日約晤日領交換意見淩士芬因途中風阻昨晚始抵省
page 5	廣州長途電訊行營職員昨亦北返第七隊飛機回漢口桂解嚴後梧州情形
page 5	已稅棉紗織成品出廠辦法土布公會請展期執行派員赴統稅局請願
page 5	粵路軍運繁忙廿一次車在白石渡相撞雙方均已收掣無大妨礙修理後至昨午始抵廣州連日乘車北開之忙碌
page 5	宋子良昨午赴港
page 5	菸酒牌照稅仍由財廳辦理該稅係為　方款
page 5	財政當局開征所得稅之利害談利有五點害處亦成問題某經濟專家談
page 5	兩粵安定大軍北撤中蔣委長昨飛京詳誌出席紀念週後起行劉建緒已中止來粵
page 6	水利局之新組織楊局長之計劃談
page 6	利旅開抵增城後定期檢閱所部
page 6	市禁煙會昨開成立大會各委宣誓就職
page 6	與雀牌有關之營業務欲使雀命復活竟欲利用新生活為續命湯擬將東西南北改為禮義廉恥然則一二三四亦可改為孝悌忠信乎是真滑天下之大稽酒樓茶室請市商會援助
page 6	機工會組織清查前任收支委員各支會整理員憶派出國大工代表已推定
page 6	粵省商界請維持停兌紙幣并議決舉行辦法多種分呈層憲呼籲請救濟
page 6	廣東兵器廠長黃濤自奉委為一五七師長後
page 6	省會公安局長李潔芝
page 6	粵省于去年間
page 6	中山大學校長鄒魯可于今廿九抵港
page 6	甘勱初部調駐虎門江防陸戰隊第一團奉令調駐東圃一帶
page 7	來　送行
page 7	羅氏任務
page 7	匯率問題
page 7	金市上升
page 7	勸君莫負此佳節
page 7	鄒魯明晨可抵港　教育界開會歡迎
page 7	本港國選候選人產生程序仍未定
page 7	懷孕婦幾在公堂上產子
page 7	工界捐款購機之進行機器同德兩會捐冊先後發出祗向會員勸捐預料成績必優
page 7	港僑獻機會電請總會展緩截止收款日期獻機會冊明日可發出
page 7	再醮婦竊款潛逃到署自首昨晨控案
page 7	元朗墟昨晨大火朱廣記餅店全間被焚損失數千元幸無傷斃人命
page 7	正遊睡鄉突告火警
page 7	樂天酒家幾被殃及
page 7	焙餅起禍損失數千
page 7	海壇輪血案續審
page 7	羅渣赴滬宋子良昨來港　行即晚階鍾鍔乘輪返省外傳宋氏辭職說不確
page 8	早有此意
page 8	貨運問題
page 8	擬造新船
page 8	港商請減稅呈文週內分呈各部院
page 8	本港田料商人赴省請願撤銷田料統制昨日蔣院長北返故未獲見請求撤銷田料統制之呈文
page 8	冷吾幫辦年老告退
page 8	幼女戲水溺斃缸中
page 8	小童嬉戲撞傷陰部
page 8	九歲小童險死車下
page 8	後備警察華隊消息
page 8	兩個男子深夜跌傷
page 8	酒店竊匪再獲一名
page 8	三院總理援例恭辭
