page 1	日本阿部內閣之運命
page 2	汪組新政權計劃只阿部一人贊成華北日軍甚反對
page 2	粵北犯日軍向廣九路退卻清遠我軍兩路渡江出擊殘日倉皇奔潰無法突圍
page 2	粵東日軍潰竄潮安
page 2	粵北我軍殲日經過
page 2	鄂中日軍地圖只畫戰區因四面受襲無分前後方
page 2	我軍數路進攻信陽
page 2	晉南我軍迫近翼城
page 2	邕欽線我軍續克重要據點
page 2	國際現勢與中國七孫院長在三團體歡迎會席上演詞
page 2	大蜀山日軍全部覆滅
page 2	鄂南我軍奮勇衝入蒲圻鄂中我採取大　圍戰略日軍受我威脅似作潰退
page 2	長江下遊開放無確期日海軍省發言人對外記者稱長江開放須視當地情形而定
page 2	向傅儀任為陸軍中將
page 2	博愛西北日軍被我包圍刻正聚殲中
page 2	無錫偽縣長被剌斃命滬杭火車觸地雷
page 2	贛北我軍衝迫瑞昌西郊
page 2	日阿部內閣即將辭職繼任人選仍在物色中汪偽政權計劃將與阿部同崩潰
page 3	國會議員紛紛討論日美商約應否續訂
page 3	英轟炸機九架襲擊希利哥蘭施爾特島上空展開激戰至少有四十架參加作戰
page 3	前外次甘介侯對美廣播演詞苟欲重睹世界和平曙光必先撲滅侵略者之火燄
page 3	倘美實行建艦不獨日本關切即其他各國亦甚關切
page 3	美可在太平洋屬土設置防禦工事雖屬有違九國公約禁例但九國公約經被人破壞
page 3	西線方面炮戰劇烈
page 3	匈若被蘇侵略意允武力援匈但芬蘭若能持久抵抗匈尚不虞蘇即來威脅
page 3	大隊蘇軍已被包圍勢將全部被殲
page 3	英陸相將出席國會解釋辭職原因張伯倫準備戰爭到底計劃動員全國之財政經濟富源
page 3	烏盟兩女王近將赴渝
page 3	正太路日兵車觸我地雷斃日軍數百人
page 3	全國童軍徵募寒衣總部已收到七萬元
page 3	淩家橋日軍竄犯未逞向杭州方面潰退
page 3	德當局注意研究經濟機構問題同時亦極注意德蘇關係亟欲與蘇解決各項問題
page 3	邕江南岸我軍克復吳村
page 3	民廿五自由公債舉行抽籤退本
page 3	許世英昨返港
page 3	緬中文化協會已在仰光成立
page 3	滬英法庭判死刑案一宗三十餘年來以此為先例
page 3	加與美商討運貨赴歐辦法
page 3	日要求法政府禁滇越路運械
page 3	甘省推行節約建國儲金
page 3	遼縣日軍受創
page 3	粵參會商　織慰勞團
page 3	蒙滿勘界委會舉行第十次會
page 3	英輪橡樹林號被德機所擊沉
page 3	史汀生主張禁械接濟日本日軍在華現已開始陷入泥淖並不贊成美國此時出任調停
page 5	突攻杜阮
page 5	日軍死傷
page 5	寶安善後之要點清除奸徒收編偽軍幸縣長對本報記者之談話
page 5	赴南頭視察
page 5	先注重清奸
page 5	日軍增到河口我便衣隊混入西南散放傳單
page 5	傷病日軍源源運返廣州運入市區時掩蔽甚密施行戒嚴防行人窺見
page 5	上川島漁船又遭日艦砲轟
page 5	應設法安置
page 5	發現日艦
page 5	順德沙頭容奇兩地日偽軍動態之情報防我團隊襲擊不斷宣佈戒嚴
page 5	二區游擊隊襲擊高塘日營日運輸車被炸
page 5	中山登記桐油
page 5	三埠澳門渡在　魚沙被劫續聞擄貨船火輪各一艘匪徒被擊斃廿餘人
page 5	粵北我軍繼續南攻從化山地戰續殲日軍克古田攻石坑日退集官村我衝入清遠城與日軍肉博
page 5	從化我軍連克要點
page 5	粵路正面連日戰況
page 5	清遠縣城兩軍混戰
page 5	新會游擊團隊改組國民兵團周漢鈴任區副司令
page 5	寶安稅捐處著手辦理結束
page 5	日軍犯杜阮遭我夾擊潰退日軍一度增兵容奇昨晨又向江門調去
page 7	在港繼續發售
page 7	內地積極推動
page 7	許世英昨抵港準備參加紅十字會會議
page 7	琴齋書舍同人書法展覽今日起在金陵酒家舉行
page 7	婦慰會演劇籌賑桂省難民
page 7	蕭越在港逝世
page 7	警官被竊手鎗
page 7	馬會套頭彩票現已開始發售
page 7	華南災情仍極嚴重英賑華會決繼續募捐羅文錦籲請各界努力捐助現存賑款僅五萬九千餘元
page 7	日海軍又肆虐焚燬漁船貨艇數十艘
page 7	中醫藥聯合會十三日舉行成立禮
page 7	國際聯青社昨開週年大會
page 7	張寶樹追悼決在鐵崗聖保羅堂舉行
page 7	節約建國儲蓄券獲准繼續在港發售惟港府規定每張須貼印花一角最後勝利在望僑胞應努力購銷
page 8	搜攻可疑紙幣真相原來是日本軍用票攜帶者竟為中國人
page 8	繼鄭宗輝之後少年楊寶祺忽告失蹤父母居美兄弟兩人留港攻讀楊失蹤之日衣袋內不名一錢
page 8	父母返美兄弟留港
page 8	弟忽失蹤急煞哥哥
page 8	九龍巡理府繼續研究上海街火災起火地點為打棉胎工場工人羅林述起火之經過
page 8	港越埠際足球賽實現希望甚濃駐港法領事亦樂予玉成能否成行日間可有答覆
page 8	緊急小組委員會昨判罰一幫犯規球人李碩友證據不足受警告作了傳林明麥基被控案押候審訊
page 8	澳記者體育團不日來港報聘
page 8	農曆元旦足球義賽華聯陣容尚未編定須俟總會批覆始能挑選
page 8	柴灣海面貨艇遇劫榜人貨客被拋下海中三人失蹤料已溺斃僅兩人脫險另有兩貨艇在萬頃沙海面遇盜
