page 2	譚趙又以吾粵作戰場
page 3	東江戰局之過去與現在
page 3	高淩霨請假
page 3	盧永祥自印印花稅票中央令浙省郵局禁售
page 3	廣九路借款到期息六十三萬無著
page 3	熊克武調資中駐軍赴簡陽防陝陽由保寧窺成都
page 3	唐榮陽投趙恒惕後迭立戰功趙令開赴援粵歸馬濟調遺
page 3	周朝武子被唐生明部擊散周攜妾逃洪江妾難步履周揮淚槍殺之隻身而逃
page 3	王永泉派員在蒲田限年內
page 3	收煙捐八十萬如遲欠則拘禁又槍斃鄉民示威將激成巨變
page 3	王永泉因迫攻安溪永春不下反大捐折昨令王永彝緩進
page 3	唐紹儀謂中國亂象須廿五年始定如曹錕吳佩孚分裂吳將聯馮玉祥抗曹
page 3	葉恭綽到奉晤張作霖進行三角同盟
page 3	六日溫宗堯晉謁曹錕
page 3	吳佩孚電王承斌催開灤運煤備溫樹德艦隊用
page 3	吳景濂派謂甘石橋派發款倒吳如臨陣發餉又似倚官壓民
page 3	曹錕擬咨眾議院大略謂孫閣不決代閣諸感困難其意在為派署孫閣張本聞係高淩
page 3	霨主稿蓋明知孫不允派署俟孫辭時即謀自行派署現吳景濂已定八日再議閣孫案
page 3	牟琳蒲伯英均欲為眾議院長故極力攻吳景濂
page 3	五日丹代辦訪顧維鈞談大北水線登陸問題
page 3	比使見顧維鈞詢對賠款改金辦法究如何顧答尚待考量
page 3	英使照會外部再催威海衛約簽字
page 3	外財兩部擬聯組清理外債委員會
page 3	六日午王克敏宴八校教職員及顧維鈞與名流調停八校與使領爭費事王聲明教育費另有著落且謂俄賠款俄表無權支配學界勿上當
page 3	王克敏咨各機關實行裁員否則本月政費停付
page 3	邊守靖晉京與吳景濂商勿借金佛郎案攻王克敏但王對財部官田案亦須持平辦理
page 3	皖教育廳長已定謝學霖
page 3	齊燮元韓國鈞電財部稅務處稱明年酌加出口棉稅充提倡植棉費
page 3	江寧當局不堅持滬電局長權洋員贊成鍾文耀當局意藉鍾拉攏唐紹儀
page 3	東北兩江軍事最近消息
page 3	始興方面仍有戰事之所聞
page 3	粵軍攻入兩陽續聞
page 3	西報論孫文強攫關稅事
page 3	外兵護關說之存疑
