page 1	蘇俄外交政策之演變
page 2	希特勒發表告國人書謂波拒絕和平談判故決向波實行戰爭
page 2	英海軍實行全部動員陸軍亦動員後備兵空軍限制民運飛行
page 2	但領袖宣言實行歸德但澤憲法宣告取銷以後全歸德國管治
page 2	我國公債一律上漲
page 2	汪逆在滬西召集偽會
page 2	羅氏　懷德波戰事
page 2	英國實行檢查電報
page 2	瑞士已下總動員令
page 2	意國尊重瑞士中立
page 2	德與英法電話不通
page 2	巴黎加緊疏散人口
page 2	倫敦加速疏散人口
page 2	波大總統告民眾書
page 2	英國採取預防辦法
page 2	各國貨幣極為動搖
page 2	德禁飛機飛經領空
page 2	歐洲戰幕揭開德軍分三路進攻波蘭華沙城兩次被炸城內發生火災英法決盡對波義務下總動員令
page 3	為津四華人案郭泰祺向英提出照會勿以之在繼續談判前交與日方
page 3	我大批白銀運往美國價值一千萬元
page 3	德要求全文
page 3	鄂中之Ｘ稍有增加
page 3	尼赫魯不赴桂林昨由成都返渝俟期啟程返印
page 3	募寒衣運動九一開始期月內募足寒衣三百萬件募集代金香港定為五十萬元
page 3	晉南永樂一帶發生激戰
page 3	滬各團體聯電向蔣致敬並力斥汪逆
page 3	國斯福為平民呼籲請英法波德意等國勿轟炸不設防城市
page 3	閩海Ｘ機輪流窺炸
page 3	蒙滿邊界劇戰又復展開日方宣稱大舉圍攻蘇蒙軍蘇蒙軍已放棄第一路防線
page 3	希特勒預留遺囑倘有不測之變戈林繼任元首
page 3	我軍破壞神岡獅嶺工事福和墟之Ｘ待援
page 3	北　繼續舉　反英運動報紙竭力鼓吹並應反對蘇聯
page 3	蘇聯國會通過德蘇協定傳蘇軍事代表團將赴柏林蘇外長演說攻擊英法兩國
page 4	西婦放風槍轟擊磨刀工人謂　工人擾其午睡
page 4	潮僑學會招待暹羅華僑代表
page 4	宵小入屋行竊盜金飾共值數百元
page 4	汎美機未抵港
page 4	九龍船塢火警一棚廠被焚
page 4	港府考取文員今日舉行初試
page 4	馬領恢復辦公領署設德輔　中
page 4	中太服務團獲軍委會嘉獎
page 4	商賑會定期結束八一三獻金運動約得國幣四十萬元今日先匯獻三十萬
page 5	大戰前之Ｘ軍動態
page 5	游擊隊截擊Ｘ工兵
page 5	昨晨布吉展開血戰
page 5	我團隊反攻容桂之劇戰發生火頭十三處
page 5	深圳已有傀儡出現
page 5	犯澳頭Ｘ已退東涌
page 5	我軍分路夜龍馬口黃塘楊梅已無Ｘ蹤
page 5	振刷百粵民氣委員長飭切實辦理政工人員根絕惡習
page 5	菴埠附近連日仍有激戰
page 5	省府通令公務人員刻苦自勵
page 5	粵省府查禁Ｘ佔工廠產品
page 5	省府嚴令限制兌換毫券
page 5	我軍反攻江會戰訊井根木塱據點我已復佔中山當局昨公佈會城Ｘ況偽挺進隊何某部赴援睦洲中山整理金融續訊
page 5	先後收復井根木塱
page 5	當局公佈會城Ｘ況
page 5	偽挺進隊增援睦洲
page 5	中山已安注重金融
page 5	戰地記者昨紀念記者節
page 5	我反攻寶安戰事昨已開始布吉發生大火展開血戰
page 6	新街血戰
page 6	攻入高塘
page 6	九江我便衣隊兩次圍攻河清Ｘ偽軍傷斃Ｘ偽兵百餘名偽商會職員被轟炸
page 6	瓊Ｘ犯五指山被我誘擊殲Ｘ三百餘人
page 6	各部隊機關需用舟車辦法須向運輸處商請征用
page 6	粵省民政概況舉辦縣市長訓練改善遊擊區縣府組織促進地方自治厲行禁煙普遍衛生設施
page 6	地方行政
page 6	地方自治
page 6	衛生設施
page 6	全省禁政
page 6	戰時國民總隊部縣長不得命令
page 6	粵振會政治部會訂難民回籍之處理辦法
page 6	北路戰事漸緊新街高塘兩軍爭奪極烈禪炭線方面之戰訊
page 7	粵衛生處長請留港醫師從速返國昨招待駐港救護委員報告傷病軍民之痛苦
page 7	中振會常委黃伯度昨抵港謁許世英報告賑務
page 7	港府昨恢復電報檢查一切電報不得採用密碼
page 7	悼死濟生萬善緣法會定明日開壇七晝連宵由許世英等主祭各界附薦先人者極為擠擁
page 7	婦女慰勞會寄出衣藥多批
page 7	各界輓聯摘錄
page 7	我空軍昨飛廣州大炸天河機場毀Ｘ機十餘架Ｘ大起恐慌彈聲隆隆佛山輪客均得聞
page 7	旅客跳樓自殺
page 7	英賑難會祭文
page 7	港府為適應戰時環境採用歐戰時立法程序立法局通過香港法例修正法草案修正防止迫遷法例亦照原案通過
page 8	象棋名手奪鼎賽董文淵勝馮敬如
page 8	兩個記者會昨紀念記者節
page 8	鴨寮街命案昨日續審証人述慘案發生經過死者方生為一測量師
page 8	明日棒球義賽國軍改戰美隊今日國際決賽改期
page 8	勵行籃球隊今晨出師征澳
page 8	南遊日記廿九
page 8	東方體育會中樂部徵求學員
page 8	榮利有喪妻之痛
page 8	今明籃球戰事
page 8	下星期一公假銀行及政府機關休息
