page 2	唐紹儀態度若何
page 3	黃炎培抵京參與學制會議
page 3	王寵惠對人言新閣非吳佩孚薦不加入
page 3	段祺瑞將離天津赴青島
page 3	昨唐閣閣員已提總辭職擬先頒王寵惠署閣令閣員內務孫丹林財政張英華教育湯爾和司法羅文幹農商高淩霨餘不動院秘書長吳佩孚璜幫辦楊天驥又擬大理院長董康未到前張耀曾署
page 3	昨張英華與外國銀團接洽特種庫券擔保聞銀團多持異議張請英公使疏通故條例草案略須變更
page 3	民八議員昨集眾議院外要求吳景濂准其列席適憲法審議會開會聞訊即閉門故未得闖入
page 3	農商部決在滬設登錄商標分處
page 3	聞孫傳芳近又活動援川十二日派員到省請撥餉械又令第八師三團由江陵運宜昌二師五六兩團進駐巴東並聞夔州附近川鄂軍已接觸
page 3	王寵惠雖允署閣仍請黎元洪暫緩下令所持理由一秋節財政無辦法二須籌付八校經費一月三閣員保洛互薦人從何決定
page 3	唐閣案退回後決以王寵惠
page 3	署閣但政學益友兩系以維持盧信張耀曾為通過新閣交換條王亦電洛陽為盧張疏通
page 3	北大學生昨開會議決挽留蔡元培並赴府院請願
page 3	聞武漢路潮擴大有津浦隴海京漢京綏株萍各路同時罷工消息高恩洪親赴武漢處置
page 3	聞湘省十五日選舉省長六縣投票數趙恒惕得一百七十五票譚延闓得八十四票熊希齡得九票
page 3	聞陸軍部查侵吞奉軍軍米案係衛戍司令部價購軍米並非奉米
page 3	李烈鈞昨午抵滬居正張溥泉等均到碼頭歡迎
page 3	九月十三號北京電
page 3	交通部電政局長吳佩璜已任為國務院秘書長吳今日下午已就職
page 3	　四號上海電
page 3	十四號上海電
page 3	中英兩國代表協議決定以九月十五日為交收威海衛日期英國對於威海衛之將來希望者中國倘欲在威建築鐵路時先請英國政府投資
page 3	全國關稅研究會十二日會議議決民國十三年　月一日實行裁釐
page 3	風傳吳佩孚在洛陽開軍事會議規劃四省聯盟任命張福來為總司令現吳通告謂並其無事
page 3	粵漢路工與軍隊衝突益為擴大武昌毆傷四十人岳州死傷六十餘人電話工人亦已罷工形勢更惡
page 3	陳競存赴香行程
page 3	總司令將派員查勘潮韶災情
page 3	總司令部只發例行公事
page 3	葉舉離省情形再詳
page 3	西報訪員與陳省長之談話
page 3	船廠要求加薪解決
page 3	水喉近聞
page 6	直系處心積慮之征東策
page 6	直系依然反對聯治近訊
page 6	民八議員演武劇後之情形
page 6	東海擬入空門
page 6	籌備接收威埠之進行
page 6	星架波督憲過港
page 6	攔途截搶
page 6	銀價
page 6	窮途自盡
page 6	傳染症報告
page 6	輪船遇風
page 6	風訊
page 6	報劫案
page 6	電車輾斃苦力
page 6	被控勒索
page 6	美國鐵路罷工已解決
page 6	英國飛機借款還息問題
page 6	影畫誌
page 6	南華足球隊賽球
page 6	醫生失竊
page 6	戲院主被罰
page 6	軍火案匿不到堂
page 6	賭博被罰
page 6	搶匪重懲
page 6	竊案
page 6	陸文扣留候解
page 6	華民政務司勸酒樓工會速選職員
page 6	潮汕災區發生霍亂症
page 6	　　　　　藏煙
page 6	步行過俄國
page 7	陳永善所部赴香剿匪
page 7	水廳長易人之近訊
page 7	軍警聯合巡察處已正式撤銷
page 7	陳武揚上陳炯明書反對林虎回桂
page 7	紙幣低跌之面面觀
page 7	汕頭民聲報致廣州同業電照錄
page 7	省署會議職教員支薪問題
page 7	佛山工潮之昨訊
page 7	省報所述桂局情形
page 7	製遮工人罷工之影響
page 7	聘湯廷光任治河督辦原函
page 7	從化縣將興大獄
page 7	黃明堂尚欲活動
page 7	塌舖傷人
page 7	拿解增城賭紳
page 7	雷州軍事之尾聲
page 7	瑣聞一束
