page 1	日本希望之幻滅
page 2	荷印國民會議決定努力維持現狀日對荷印野心未戢
page 2	國府褒揚郁華
page 2	政務視察團過閩赴粵西北組抵寶雞
page 2	羅斯福批簽國防擴充緊急經費案共十八萬萬二千二百萬金元
page 2	聯軍艦隊肅清東地中海意向摩納哥國宣戰英意海空互相襲擊
page 2	南洋華僑趙天助慨捐鉅款為傷兵之友
page 2	南僑二分團抵達連城
page 2	星洲徵兵法案發生效力
page 2	湘省衛生當局施行健康教育
page 2	佛教訪問團呼籲制裁日本
page 2	荷蘭與荷印間電報交通恢復
page 2	滿州北部義勇軍極活動有一日人住村被義勇軍攻入
page 2	滬偽市長弄把戲照會各交戰國要求各國撤兵英法決予不理
page 2	英國皇后向法婦女廣播法婦女魄力偉大等於法國之男界
page 2	日機狂炸重慶美國務卿極表不滿各報反對美國與日談判
page 2	駐倫敦意大使乘輪返國
page 2	湘省擬設榮譽屯墾區
page 2	蘇聯軍隊突佔立陶宛京立陶宛內閣被迫辭職
page 2	紐約意領館協助納粹宣佈美當局已極注意
page 2	美候選總統麥納抨擊獨裁制度
page 2	荊沙間我大軍雲集另分兩路進攻漢陽襄河西岸日軍不難全部就殲
page 3	巴黎城內秩序尚好
page 3	陶希聖談王克敏離平之內幕
page 3	德軍入境路途不熟
page 3	意國僑民協助聯軍
page 3	英軍源源赴法增援
page 3	法人關心美國態度
page 3	羅斯福謂希無信義
page 3	德將施行和平進攻
page 3	希對記者發表談話
page 3	德軍入城精神疲憊
page 3	聯軍計劃反攻巴黎
page 3	德軍分為兩路推進
page 3	聯軍士氣仍甚旺盛
page 3	英海軍航空線炸傷德主力艦又英潛艇擊沉一德巡艦
page 3	德軍加緊壓迫三邊以聖狄思爾為目的聯軍對新戰略已有重要決定澳洲及加拿大電法盡力援助
page 5	江會偽軍均被繳械
page 5	日艇出動被我襲擊
page 5	澳三交通最近情形
page 5	西江沿岸日艦艇頻窺擾犯頭溪圍被擊退我強化尚江防務
page 5	日艦窺擾西江沿岸
page 5	我軍攻入三水基塘
page 5	順德良滘搶米發生命案之慘狀
page 5	增進行政效能省令尊重鄉鎮保甲長各部隊不得任意為難一區昨轉令各縣知照
page 5	瓊崖最近軍報日機炸定安屬各地
page 5	戰區令禁蛋類出口
page 5	粵民政廳組禁煙巡察團封閉各縣土膏店
page 5	粵軍管區訓練甲長九月十六開始每期訓練一月
page 5	台山團警分路圍剿沿海各地菲黨在寨門青山銀墩頭破獲多起
page 5	廣雲公路我截獲日軍車
page 5	澄海日偽大肆搶掠杉排鹽廠兩街被劫二百餘舖戶遭蹂躪
page 5	桂仁愛村舉行俘虜運動大會
page 5	睦洲龍泉日軍撤退後又散放傳單以轟炸為恐嚇江會戰事近況偽軍均被繳械三埠澳門輪渡復航最近情形
page 6	惠陽米商反對評價潮當局昨又改善辦法昨佈告准將餘糧補登記搜獲大批存穀照價出售
page 6	搜獲大宗存穀
page 6	准再登記餘糧
page 6	粵北日軍源源撤退我續克從化各地圍攻神岡風雲嶺木棉均克復斃日兵四百餘廣從線掀起劇戰日軍圖死守廣州
page 6	我軍克復從化木棉
page 6	三路圍攻神岡劇戰
page 6	北路日軍源源撤退
page 6	粵教育廳實施國民教育
page 6	順德沙滘機房被劫詳情正開會歡迎匪黨拍照時乘機行劫
page 6	我團隊潛入石龍市焚燬日軍妓寨兩所偽稅捐主任被日軍扣留
page 6	粵財廳長整飭稅局風紀
page 6	再度申禁攜金出口
page 6	軍校第七分校派員來粵招特科生
page 6	第十二集團軍組公路破壞團
page 6	粵省米荒與湘省鹽荒
page 7	金銀貿易場昨日改選道亨恒生兩號任正副主席鍾達清報告一年來之場務
page 7	開會理由
page 7	節約建國儲蓄運動學校組行出發勸銷禮今日各教堂歡迎各界聽講
page 7	銅鑼灣龍台六賊登樓行劫搜劫二十分鐘始去事主外出損失未詳
page 7	方稚周過港談日機襲渝實情所投炸彈毫無目標得不償失戰都人士在空襲下均極鎮定
page 7	開始選舉
page 7	港府修改戰稅法例對估價辦法詳細規定對於下次立法局會議提請通過戰稅局長布力再解釋徵稅範圍
page 8	林子豐揭幕
page 8	參觀者擁擠
page 8	刺繡展覽會
page 8	港府修正強迫服役法將提請立法局通過實施
page 8	劫殺案犯李雄魁自供行劫經過初審畢將詳臬定讞
page 8	兒童工藝院演劇籌款下月一日舉行
page 8	文藝講習會定廿四日開課
page 8	日僑售麻醉劑案判決男被告罰款四百五十元女被告罰款二百五十元
page 8	無線電商會昨日正式成立
page 8	寄英空郵十一天可抵達
page 8	御者領取牌照須考驗駕駛術
page 8	曹善允否認負責組自衛團
page 8	港府派員清理意航商之產業
page 8	去月南渡人數三千零三十一人
page 8	運輸輔助團參加者已達一千
page 8	中山偽商會偷運大幫米石被日軍奪作軍糧
page 8	旅港蘇浙同鄉救濟浙省米荒擬籌港幣二十萬元
page 8	限制裝配船具
page 8	翟洪升任華民署偵探長
page 8	砲兵定期操演
page 8	一人被毆殞命捕獲疑犯兩名
page 8	衛生局之議案
page 8	佐頓道火警續訊一青年被焚因傷斃命
page 8	初夏藝展會之盛況展賣品精良豐富來賓自由參觀食品部有閨秀親製之各種餅餌
page 10	昨日棒球劇戰中華壓倒港啤五比四僅勝一分港啤隊聲稱上訴
page 10	小型足球義賽六比一記者輕取伶星兩冠軍之戰同義挫尖沙嘴
page 10	南華游泳場今夕舉行水藝
