page 2	護法戰爭之是是非非二訴　國民
page 3	黎元洪決提唐紹儀組閣通過　唐不來由顏惠慶不通過則再提
page 3	孫洪伊歐陽武等已返滬
page 3	湯廷　派代表鄧玉麟抵京
page 3	張文生電台南軍竄人皖邊
page 3	張作霖密電孫文如吳佩孚率兵入贛破壞大局彼當重驅健兒躡吳之後聞此次派李　林駐兵榆關似踐係約
page 3	黎元洪聞張作霖派間牒關刺探密事特　張詰間並電曹錕吳佩孚徵詢對付方　
page 3	某要人云吳佩孚不忘廬會議如張福來此次入贛順利吳　移駐潯陽辭兩湖巡閱使要求任為長江軍事大員統轄蘇皖贛湘鄂控制南北俟國會有不洽民意事發生彼即移上海國是會議至廬由集會解決時局一切
page 3	　電交部派運載傷兵車五十列運二十　師移駐馬廠小站
page 3	顏惠慶二十二日在私宅宴董康高恩洪及全閣員商維持財政辦法並表示不再聯任
page 3	本年九月國際聯盟代表聞擬派陸徵祥唐在復及黃榮良
page 3	駐岳援贛魯軍第　混成旅及豫軍第壹混成旅昨抵漢口候吳佩孚令即赴潯陽
page 3	蕭耀南以吳佩孚將到漢口張福來廿七日抵鄂令各機關預備　迎
page 3	劉揆一宣言請國會止式開會後於半年內選舉總統
page 3	鄂省長湯薌銘廿七日到鄂履新吳佩孚電蕭耀南代湯疏通並以實力保護
page 3	近聞吳佩孚電齊　元轉電陸榮廷令林俊廷牽掣盧燾張團儒不使入粵　附陳炯明條件
page 3	蔡子民張　請在關稅增加項　預指萬元撥作學術研究所及動物館基金閣議照難
page 3	　　派項驤赴保　與曹錕吳佩孚商今後軍餉規定昨已返京覆命
page 3	農商部通告各商會迅派員赴京參加商約研究會
page 3	黎元洪派馬毓寶赴蚌埠與張文生磋商裁兵事
page 3	七月廿四號北京電檀台山定　　舉行商務會會議已請中國商派代表赴會政府已應允其請　交農商部通告各商會知照籌備一切
page 3	漢口　駐岳州直軍第一旅　月廿號抵漢口現奉令開　九江　意顯係增漲陳炯明之聲援　對付孫逸仙在江西之北伐軍
page 3	　庭對毆打董康罪案仍在調查中故官界消息未詳組閣警察已將未行毆前革職部員會議為主席之曹　仙捕去
page 3	西江民軍之　李某欲乘機活動目的地　於　度
page 3	韶州戰情之西報紀載
page 3	陳炯明來省之傳說
page 3	韶州戰訊續報
page 6	湘政府改編第
page 6	　劇變之原因
page 6	蔡成勳徐允誥之絕妙手段　　省長用意深妙
page 6	銀價
page 6	官地出投
page 6	劫　押　
page 6	　籠汽車公司來函撮錄
page 6	被控駁空欲項
page 6	　市　架案續
page 6	　婦被搶
page 6	搜　　劍判監
page 6	　票　來歷判監
page 6	截搶案仍押候
page 6	會及報　公咨宣佈上　之減薪係由
page 6	世界　情　
page 7	李炳榮部兵又奉調北
page 7	去領派　　連絲
page 7	　　南亦
page 7	　滋事餘聞
page 7	戰事消息別報
page 7	艦　中西南代表會議
page 7	令黃志桓率部來省
page 7	　　剿　浮民軍
page 7	民軍乘機四起
page 7	　　北江籲　會
page 7	李安邦逃往　門消息
page 7	瑣聞一束
page 7	最近　郊　之匪氛
page 7	溫樹德請交回舞鳳艦
