page 1	日本南進野心未已
page 2	晉陽兩城被我嚴密包圍外圍據點先後克復聞喜東南我軍活動
page 2	教部主管人員談中國字拉丁化不適用教法可以改文字不能廢
page 2	湘東我軍各路出擊
page 2	竄犯大白日軍被我痛殲
page 2	皖南青山爭奪戰烈
page 2	南征足球隊在菲旗開得勝結果四比三
page 2	老童軍何階平在渝病歿
page 2	包頭日軍搜索現洋
page 2	粵北雞籠岡日軍分股向北進犯經我痛擊死傷甚重良口以南日軍失據
page 2	豫北我軍圍攻彰德
page 2	考院定期舉行普通考試
page 2	贛北我佔優勢向萬壽宮宋埠挺進
page 2	滬南京路巡捕與匪劇戰匪徒一名　斃巡捕一名受傷
page 2	日盲目效顰德戰術冒險深入進犯襄樊我包圍網完成開始全線攻擊經一晝夜血戰日軍全線崩潰
page 3	南北聯軍逐漸接近
page 3	德軍進到部羅涅區
page 3	倫敦加緊防禦設備
page 3	各線英機極為活動
page 3	德軍損失亦極重大
page 3	聯軍反攻甘畢拉城
page 3	德噴火車西線出現
page 3	各方信賴魏剛將軍
page 3	美上議員主張從速援助聯軍並主張向希特勒警告若再遲疑必遭遇悲慘
page 3	英傷兵三輪由法運回英倫
page 3	加拿大當局嚴防第五縱隊
page 3	駐平美海軍武官調任新職為驅逐艦隊司令官
page 3	有政活動機托洛斯基遇險二十名武裝暴客闖入托氏之住宅
page 3	賀爾受任駐西特使
page 3	荷已參加英法貨幣協定荷屬外匯已安定
page 3	德機飛入瑞典
page 3	英議員質問愛爾蘭之態度防德從受侵入英倫
page 3	意參戰紀念各地懸旗慶祝意國備戰計劃數日內將完成
page 3	荷蘭女皇廣播勗勉國人努力此時雖極黑暗終能回復光明
page 3	英蘇商務談判兩國已交換照會
page 3	倫敦又扣留法西斯黨人嚴防第五縱隊輿論贊揚措施
page 3	倘美參戰古巴願為美助
page 3	渣華與馬來亞貿易暫告停頓因荷幣無市價
page 3	南非政府執行較大徵發
page 3	新西蘭盡力援助聯軍徵募志願軍甚成功四萬人編入遠征軍
page 3	南僑慰勞團第一分團抵陝
page 3	法比邊界戰情嚴重森姆河北展開劇戰德軍運達英倫海峽英極焦慮聯軍大反攻計劃尚未至時機
page 5	日以循環式擾我陣
page 5	我軍襲企沙淡水墟
page 5	蘇墟日軍再犯下渡
page 5	東路偽軍犯大沙敗潰被日軍繳械石龍日軍又侵擾西湖京山
page 5	嶺東日軍犯揭陽龜崗受挫我肅清桑浦山邊日偽軍一度衝入菴埠予日重創
page 5	粵省實行統制國產出口
page 5	粵所得稅事務處頒佈利得稅征收法辦對於小商業特加寬恤
page 5	東江設軍警巡查處維持治安保衛行旅由雲鎮輝負責籌備
page 5	日閥不欲偽軍集合分調各地訓練以便監視江會各線我軍活躍中山偽軍反對改編
page 5	江會各線我軍活躍
page 5	中山偽長討論聯保
page 5	中山偽軍反對改編
page 5	我游擊隊襲禺北衝入赤涌殺
page 5	僑委會調查惠州被炸華僑失蹤事日機於本月四日炸惠傳載華僑渡船被炸沉
page 5	番禺淪陷區大鬧飢荒鄉民屢遭日軍騷擾地方秩序極形混亂
page 5	粵教廳籌設小學教師暑期講習會七月下旬開始共設卅五所
page 5	我軍挺攻欽城在近郊混戰整夜血戰殲日軍四百以上防城游擊隊乘夜襲擊日軍邕寧日軍跼守一隅尚無異動
page 6	從化日軍再三北竄
page 6	我軍迂迴連克各地
page 6	良口東南日陷重圍
page 6	日竄獅洞再受重創
page 6	粵省擬定改良稻作計劃全省分三個改進區五年內增五百萬擔
page 6	全省保育教養會議決定怎樣教養廣東兒童一依議決辦法切實推進
page 6	瀾石偽軍投誠
page 6	桂省政府改善行政機構減少單位裁免冗員
page 6	東江米價高漲未已因有奸人操縱居奇
page 6	省府飭屬監督企業組織
page 6	粵北週來之我軍戰果日傾巢犯從化被殲數千良口蜈蚣山石榴花戰事激烈日陷重圍日回犯獅洞受創週來粵北殲日四千餘
page 7	上屆未及格學生准參加本屆大學聯試考試規則教部昨已寄港
page 7	日艇追擊漁船
page 7	飛剪機昨赴菲創載客新紀錄連職員共載六十七人
