page 1	密雲不雨之歐局
page 2	英外部已接獲德國覆文英內閣討論德覆照現擬再答覆希特勒
page 2	波向斯洛伐克提出抗議德軍開入斯洛伐克有威脅波蘭之安全
page 2	蘇德不侵協定尚有問題蘇聯國會遲不通過係欲制德趨向和平
page 2	希特勒對波蘭有新要求要波交回上西里亞德軍集中波蘭邊境
page 2	歐洲和戰問題仍難預料英德談判仍進行中和平希望僅此一線
page 2	昆明舉行象棋籌款賽李烈鈞等參加
page 2	贛北人民實行衛鄉抗Ｘ自動組游擊隊
page 2	歐洲動態
page 2	德邊火車停止客運
page 2	法同情比斡旋和平
page 2	倫敦銀行紛紛遷移
page 2	意京人士甚形焦急
page 2	德波領事互被包圍
page 2	加拿大決為英支撐
page 2	在法外僑紛紛投效
page 2	艾登向美發表廣播
page 2	羅馬開始疏散人民
page 2	但澤火車被波阻止
page 2	英法立場決不變更
page 2	荷比兩國擬出任調人希物勒同意與波談判但須波預先表示願作重大讓步波總統電荷比表示願接受調解
page 3	白宮對於歐局已作必要準備在美各口岸德輪被扣留美財長在那威奉召返國
page 3	荷屬東印度下緊急動員令目的在俾實行武裝中立
page 3	滬外人為四華人再請引用人身保護狀莫索浦下月返滬受理此案
page 3	滬反英潮復熾
page 3	羅馬總督繼任有人
page 3	意國下月限制報紙度數
page 3	倫敦人心漸安黃金已有定價
page 3	范石生案日內即將宣判
page 3	那曼特號奉令中止由美返法
page 3	湘北我軍挺進鄂中戰局仍未展開贛北靖安以北劇戰
page 3	滇省籌設僑胞墾殖委會
page 3	滬大美晚報副刊主編朱惺公被狙擊斃命當堂捕獲行兇暴徒一人
page 3	滬法總領安慰法界德僑
page 3	在華英輪不得轉讓或按別國人又不得將冊轉移于他口岸
page 3	Ｘ機分批襲桂貴縣南寧遷江等處被炸
page 3	津水勢已稍落但完全退淨則尚猶有待
page 3	汪逆在滬召集幹部會議
page 3	滬發生颶風全市被水浸
page 3	傳滬外輪將被徵用
page 3	滬米價已轉跌
page 3	篁村一帶Ｘ我相持
