page 2	論中葡交涉　人對澳計劃的準備中國對葡失敗的原因
page 3	靳雲鵬久未到國務院徐世昌以政務停擱已兩句焦急萬分催促靳　
page 3	京政府令馮玉祥蕭耀南各加上
page 3	國務院擬留顏惠慶在京專辦對日交涉案已得徐世昌同意顏以經費支絀去否仍未
page 3	吳佩孚電告巴巫已無川軍蹤跡唐氏遵潘正道藍文蔚均退出施南不日可告肅　
page 3	漢口逮捕民軍首領　　人已執行槍斃外尚有十餘人　處以
page 3	張作霖又電靳雲鵬請以奉軍援贛並發表張勳巡閱蘇皖
page 3	聞小幡將向外部遞送質問案並聲明如不容納彼方意見即不能提出太平洋會議
page 3	曹錕電請令陸洪濤督甘肅助劉存厚襲川省後
page 3	西北各督對廬山會議促曹錕發表意見
page 3	靳雲鵬又續假五天謂要我繼任須曹錕張作霖明示行政計劃否則不　
page 3	顏惠慶覆德公使以滬漢貨棧與輪舶均難發　
page 3	招商局修改章程海軍部擬派軍官為船
page 3	財政部經發國庫券千餘萬有到期者均不付款
page 3	許世英昨抵蚌埠願以皖督讓與倪道烺以示敷衍
page 3	張勳派萬繩栻赴徐州招集衛隊五營預備帶赴熱河
page 3	潘齡皋昨電告已就甘肅省
page 3	　福黨特赦說未　　
page 3	國慶日各要人在天津開會慶祝黎元洪演講教育為救國基礎梁啟超演講辛亥革命意義及十年國慶之樂
page 3	農商部派安特生視察黃河
page 3	吳佩孚十號返漢
page 3	澳門事件最近駐京葡使　外交部提出抗議　中國在澳砲擊葡國巡船傷斃多人　中國雷艇侵入澳門違反條約八日閣議討論結果以北方政府對此無能為力將轉致南方政
page 3	全國國民外交後援會現待蔡元培來滬開會加入該會者以團體為標準太平洋協會商會教育會聯合會等均將加入
page 3	陸徵祥再往瑞士其妻及家人均於昨日來滬十日乘賀茂丸啟程
page 3	煙酒聯合會以煙酒借款僱用美人非獨破壞全國數十萬煙酒商人之生計國家之財政亦將被其監督擬用強硬反對並請北政府取消
page 3	北伐令尚未遂下之原因
page 3	陳炯明返粵日期之電訊
page 3	鄧本殷得宗親為奧援
page 3	陳繼虞軍隊不易接收
page 3	憲兵勇於搜查煙賭之原因
page 3	各行求加工價彙聞
page 3	拱北樓當留紀念
page 3	香港地震
page 3	煤油大王子返港
page 3	商輪西訊
page 3	舊書信館地址投出續聞
page 6	　人之反顧品珍
page 6	列寧被邀赴英說
page 6	上海反對加租事情
page 6	清淨局會議
page 6	紗市報告
page 6	瑣聞彙誌
page 6	傳染症報告
page 6	銀價
page 6	控討米飯案
page 6	南華開設會員籃球比賽
page 6	馬棚墳場紀事
page 6	青年會歡讌紀盛
page 7	南寧過去之危機補述
page 7	福軍改編之實情
page 7	省城有急症發現
page 7	下令特赦餘聞
page 7	禁止運米入江西
page 7	銀號倒閉餘聞
page 7	茶居罷市要聞
page 7	二師四旅砲團之休息
page 7	令查護沙連長擾民案
page 7	稅捐訴訟歸行政官辦理
page 7	蘇乃楷已保釋
page 7	飛來廟暫作製彈廠
page 7	郵局要聞兩則
page 7	汽車傷人之慣聞
page 7	取銷粵鹽入湘之捐費
page 7	番禺改選知事近聞
page 7	桂省隨軍人員之錄用
page 7	雲孚賭匪之氣焰
page 7	海疆軍依然販煙土
page 7	請派兵保護長岡電局
page 7	新會著匪屠殺團勇
page 7	黃埔鄉慶祝雙十節情形
page 7	煙案當歸法庭辦理
page 7	木藝建築西友照常開工
page 7	星架波預備歡迎英儲君
page 7	英商務近觀
page 7	英愛會議情形
page 7	英元戎重視騎兵
page 7	公路處布告
page 9	滇省派定上海會議代表
page 9	旅菲粵僑捐助南方軍餉
page 9	交還外蒙之中俄交涉
page 9	滇省巴牧師被劫真相
page 9	廈門日警交涉之近聞
page 9	集善醫院再次聚會
page 9	清帝婚姻問題之解決難
page 9	陳柏年失蹤案之又一呼籲
page 9	被控刺傷三人
page 9	補誌澳門雙十節之情形
page 9	控假冒商標案
page 9	爆石宜慎
page 9	煙　納稅案
page 9	搶金　仔判監
page 12	中葡交涉要　國民　交後
page 12	英國出而調停
page 12	省會電請對澳嚴重交涉
page 12	工人合助社致澳門各工團電
page 12	第三師將調駐香山
page 12	商會聯合會草案
page 12	河南居民請嚴拿　　
page 12	墊師誘拐　　該　
page 12	桂省財政　
page 12	又拿獲派無　府傳
