page 1	美國真正民意之表現
page 2	大選進行經過羅斯福一路領前
page 2	日本朝野懊喪德人故示冷淡
page 2	英南頌揚羅氏認為歐洲救星
page 2	韋仍未認失敗共和黨要頹喪
page 2	羅已把握勝利發表簡短談話
page 2	羅斯福必獲勝各方均已承認
page 2	紐約聞羅勝利群眾歡呼若狂
page 2	各州個別計算擁羅均佔多數
page 2	美國援華大會將舉行聚餐會我駐紐約總領事將歡宴各地代表
page 2	馬其諾防線改為防空洞
page 2	日煤礦爆炸
page 2	赫爾氏談美對加海法屬土已減少憂慮美海空軍加海活動只為尋常戒備性質
page 2	兩院議員選舉民主黨佔優勢
page 2	羅斯福連任局勢已定德日政策大受打擊王外長談我朝野表示欣慰東京各界已充滿失望情緒
page 3	德外長竟稱德希關係並無變化軸心國內部裂痕漸露意軍侵希又再受重創
page 3	哥　薩山嶺間意軍一師被圍
page 3	哥列薩城一帶意防線被衝破
page 3	邱吉爾在眾院報告最近戰況海陸軍大擴充空軍加緊建設埃及軍事增強盡力援助希臘
page 3	海陸兩軍準備擴充
page 3	空戰方面危機已過
page 3	盡力助希抵抗侵略
page 3	埃及防軍經已強化
page 3	希望國人信賴政府
page 3	希報一致表示戰局前途樂觀
page 3	意謂希軍被迫放棄數個地點
page 3	滬兩法院情勢和緩法租界當局允保護　
page 3	李守信被日監視
page 3	中日和平謠言完全不確
page 3	桂南各地拒用日軍用票
page 3	贛我軍著著勝利克萬壽宮逼攻南昌邕欽路我軍猛進直逼欽縣杭州蕭山日軍動搖圖北竄
page 5	水節頭日戒備甚嚴
page 5	我軍一度迫佛子
page 5	中山八區沿岸安謐
page 5	加緊辦理桂南善後日機圖阻我軍追擊不逞南寧宣慰團由桂林出發
page 5	戰區善後加緊辦理
page 5	南寧宣慰團已出發
page 5	黨務工作迅速恢復
page 5	我機三架偵察南頭深圳市內日軍狼狽逃避隔田鄉　
page 5	粵糧良管理局成立胡銘藻譚葆壽任正副局長戰區糧管處調節會將撤銷
page 5	中振會設立東江義民總站大批寒衣藥品運韶
page 5	徐景唐抵粵北
page 5	粵府第一七五次會議通過騾運處及各段站組織規程處設總務運輸營業三科及兩室
page 5	沙魚涌一帶疫　蔓延甚烈苦力
page 5	港商捐款救濟出境人犯　　　路上潰骸
page 5	粵開發水利
page 5	江門疫症流行交通斷絕新鶴路我軍乘時出擊木塱岐關公路日軍沿途嚴搜行旅唐家灣昨又有殘兵二千登陸
page 6	預備會議討論糧食
page 6	小組討論向外購米
page 6	首次會議軍政報告
page 6	駐會委員工作經過
page 6	開幕典禮異常隆重
page 6	赴湘日記十
page 6	李主席答覆詢問者
page 6	推定提案審查人員
page 6	石龍外圍便衣隊活躍新塘河面日汽艇被我擊沉
page 6	粵參議會四次大會盛況各參議員踴躍赴會長官出席訓話召開預備及小組會討論糧食問題選出參政員李主席圓滿答覆諮詢
page 7	模型飛機賽十日舉行中外青年紛紛報名參加截至昨日已有七十餘人
page 7	三水僑商救濟故鄉旱災
page 7	募捐委員函
page 7	陳慶雲抵羅省勸募航空救國捐
page 7	義務司理函
page 7	募捐委會正式結束募得振款六萬五千餘元
page 7	一炮兵突失蹤
page 7	兩公司獲准修改組織規條
page 7	難民自助社決增設門市部
page 7	防空救護員現尚未敷分配當局決續募五千名希望市民踴躍參加
page 7	少婦墮樓重傷背負女孩竟獲無恙
page 7	英籍婦孺皆大歡喜強制疏散令昨突撤銷定期離港者已一律退回船票留澳洲婦孺仍不得自由返港
page 8	海陸盜匪猖獗一日內發生三劫案兩挺被劫一榜人受重傷五賊圖劫住戶獲一疑犯
page 8	截劫貨艇
page 8	圖劫住戶
page 8	鎗傷榜人
page 8	英慰勞會年凶一年內募得六十餘萬元
page 8	港府撥闢平民新村決收回大嶺田村地段
page 8	商會演劇籌振決由鐘聲劇員擔任
page 8	華人游泳會水手飲彈自殺
page 8	張君勱鬻書為兩校籌款購儀器
page 8	手車包租制有取銷望勞工司將接納車伕請求
page 8	酒牌局會議紀
page 8	更練勒索疑案押候今日再審
page 8	壽臣山村火警棚廠一座被焚
page 8	誤殺案將詳臬
page 8	東華醫院有人滿患醫務當局特闢臨時醫院
page 8	荔枝角霍亂醫院停閉霍亂疫症日漸消滅
page 8	車輛失事統計去週死三人傷廿三人
page 8	燈塔工人被劫
page 8	吳敏墀離美返國
page 8	珠江河道非開放廣州現狀極為混亂日軍當局四日起宣佈特別戒嚴市區內商店大部份已停止營業
page 10	罌花節足球義賽軍聯陣容排定實力相當強勁當可威脅港聯
page 10	足球緊急小組委員會昨因人數不足流會改期今日再度召開會議
page 10	記者體特會昨日旅行元朗球賽握手言和
page 10	華人會健身班明日恢復上課
page 10	國際長途賽跑各界報效獎品多件
page 10	四屆德權鼎聯賽本週賽程公佈
page 10	光華加緊練兵
page 10	今日止截報名
