page 2	陳炯明去後之粵局
page 3	高檢廳奉司法部令將羅文幹黃體濂車行拘押
page 3	兩院有先發經費乃投閣員同意票說
page 3	京傳程克係馮玉祥薦經馮否認議員謂程有宋案嫌疑主否決
page 3	羅文幹對法界來謁者均拒不見高檢廳受曹錕意旨擬再傳羅拘押張紹曾程克均主興大獄羅鞏不免
page 3	黎元洪十二日宴議員聲明不戀位旋偕吳景濂李根源赴開明劇場看坤戲
page 3	院電贛嚴斥四鎮守使干政拒謝遠涵並令謝再赴贛長任
page 3	京訊王永泉確擁護中央
page 3	農商部派陳陶怡赴歐美考察農政
page 3	曹錕擬築北京熱河長途汽車路經苞沸古北口冷口灤縣計四千五百里
page 3	漢口商會舉代表調停棉花工潮
page 3	孫文代表徐紹楨十五日到奉天謁張作霖
page 3	曹錕因粵局變化奉直和議不成已糜議員津貼五十萬並無寸效熊秉琦復到保定力言時機未到不宜躁進張雖助不力故曹決從緩選舉並囑高淩霨停給議員津貼
page 3	劉恩源吳毓麟避籌舊歷年關經費遲不就任眾議院將閣員同意案緩列日程正合其意但另訊選舉總統既緩行高淩霨等決拆台一說眾議院定十七日投票今又延緩無期
page 3	張壽　張英華尚互爭鹽署長及財部次長閃閣問題愈殭
page 3	公使團咨外部續付庚子賠款上年十　月起由關稅劃抵已函總稅務司查照
page 3	葉夏聲通告廣東各界書略錄
page 3	鄒葉文告彙略鄒魯討陳檄告略錄
page 3	廣州雷梁若谷今午發砲擊農林試驗場駐省陳部粵軍已完全退出梁即日民請孫中山計崇智回粵主持各界集議維持治安但到者甚少第三師及陳德春丘耀西等決擁魏邦平出山拒客軍入境
page 3	佛山及西南被搶甚慘
page 3	九廣車路石龍以上被炸今早停開
page 3	陳席儒電省議會辭省長職
page 3	昨十五晚三水粵軍全部向東江退防陳炯明是夜避入沙面省城治安由李炳榮溫樹德維特秩序安靜
page 3	粵軍退防要訊
page 3	黎元洪任黃大偉為偉威將軍
page 3	閩訊李厚基王獻臣已逃贛邊
page 3	江浙鄂豫議員均主助府洛否決保派閣員
page 3	施肇基電駐法公使決廢欽渝路約囑徵法政府同意
page 3	未領保定津貼議員提案質問保派行賄議員穢聲四張政府曾否取締民六議員函吳景濂請補發民二民六兩年經費
page 3	齊　元籍口蘇議會學潮請撤省長韓國鈞及舉呂調元長皖
page 3	中俄會議有二月初開議訊
page 3	陳退魏出之別報
page 3	陳炯明籌商退防之所聞
page 3	西南關餘與粵桂軍事之關係
page 3	昨日省城變亂之港聞
page 3	雷州西訊
page 3	黃強陳永善搭日船來港
page 3	陳炯明離省後之港僑
page 3	陳席儒辭職電
page 3	梁若谷開砲後　通電
page 6	紀參議院八日之武劇
page 6	赤柱攔途截搶案
page 6	虐畜被罰
page 6	被控吞款潛逃案
page 6	中西警探大操
page 6	華探與賊搏火
page 6	角麟街劫案續聞
page 6	省軍官被人搶劫
page 6	川代表對報載調和粵桂事之聲明
page 6	被控攔途截搶案
page 6	各邑商會對於廢婢新例意見
page 6	被控棍騙
page 6	懷刀判監
page 6	電車來往愉園時間
page 6	南洋公司工人加薪已解決
page 6	香山工會演說會成立
page 6	打架案
page 6	傳染症報告
page 6	爹路仙輪抵港
page 6	浮泡失蹤
page 6	銀價
page 7	鄒魯十六日通電
page 7	陳德春等請魏邦平山任粵事電
page 7	軍事消息彙誌
page 7	民軍消息
page 7	江門地方太平之現象
page 7	海盜騎輪截劫魚米船隻詳誌
page 7	梧州粵商之損失
page 7	銀業行防匪之辦法
page 7	善商界會議籌軍餉補誌
page 7	被匪劫去米艇八艘
page 7	美紅十字會助款濟俄難民
page 7	朱代使返英
page 7	法德風雲錄
page 7	匈羅兩國又生爭執
page 7	法德風潮影響匯市
page 7	禁煙會議
