page 1	虹口案發生後國人之自警
page 2	有田約會許使談話歷一小時餘
page 2	川樾暫不離京留京候晤蔣院長
page 2	日政府令川樾再與張外長交涉
page 2	英美海軍當局對時局密議甚久
page 2	英報評論各案謂絕無政治性質
page 2	日民政黨代表詢　田根本方針
page 2	滬漢日居留民要求取斷然態度
page 2	日本定例閣議永野有激烈報告
page 2	工部局發言人對記者發表意見
page 2	滬市政府布告禁止作排外行為
page 2	喜多佐藤返滬即舉行最高會議
page 2	張榮和等被訊據供稱絕不知情
page 2	工部局警察署已搜得犯罪證據
page 2	駐滬日領會議派員謁川樾報告
page 2	漢日水兵衝入華界尋釁
page 2	虹口事件　和緩侵入閘北虹口一帶之日水兵昨已撤退滬公安局已派出隊接防該區日政府不欲取急遞行動已訓令川樾大使繼續交涉
page 3	意國打銷退盟議
page 3	增加非常任理事
page 3	今日開始總辯論
page 3	法國重提減軍議
page 3	西政府決水淹叛軍叛軍不及逃避淹斃甚眾官軍陣線已前移二十里
page 3	港督郝德傑並無聘任調停中日糾紛意英大使訪日外務省聲明
page 3	立法院第七三次會通過火酒統稅征收條例案五委會審查國家川入三次追加預算案
page 3	北海事件淩再登陸調查
page 3	劉維熾談改善糖業統制經營糖業商民皆可自由參加
page 3	華北私運猖獗用某國人押運認為某方糧草海關無力堵截
page 3	吳鼎昌王世杰等今日乘機北返吳昨參觀市頭糖廠
page 3	壽蔣獻機捐款趕限月底彙解否則不及參加
page 3	英大使許閣森昨赴平
page 3	八二師奉令復員昨已開抵泉州
page 3	教部計劃改進華僑教務擬將各僑校教職員組團回國考察教育
page 3	田代召集幕僚會商豐台事件
page 3	日華北考察團昨日由榆抵津定今日離津赴平
page 3	九省長途電話鄭長段已完成定十月一日正式通話
page 3	橫濱總領事楊雲竹昨赴日
page 3	陳儀謁孔面陳閩省政務定今日專機南返
page 3	中國颶聯同志會昨舉行理事會
page 3	省綏靖主任不得當選國代
page 3	所得稅事務處月底即可成立
page 3	故宮博物院理事會昨開二次常會
page 3	中元造紙試驗所發明松柴製紙呈請實部准予專利
page 3	法部飭各省法院不得積壓案件
page 3	京市童軍定期集中訓練預備參加二次大檢閱
page 3	重光來華考察在津稍作勾留
page 3	世運　　團返國十月三日抵滬
page 3	法國中央　行宣佈增加貼現
page 3	墨索里尼提倡羅馬會議　削弱國聯領導權
page 3	馬芬昨赴秦皇島檢閱美國海軍
page 3	國聯推選副主席意意　代表亦當選用意在安慰墨索里尼
page 4	南華華對中華會
page 4	東主會對西洋會
page 4	香港會對西警會
page 4	日出席世運女游泳隊在港表演情形六時乘原輪離港返日
page 4	鐵爾　梵恩斯二人定期來港表演下月十二日可抵港
page 4	團結明日戰同義
page 4	新聞記者球隊征省
page 4	紅星籃球隊對淩晨今日在露天球場
page 4	尋常杯啼球今日開幕各場戰事勝負蠡測南華華　線較中華齊整東方會如不努力恐失敗蘭開夏香港會及奧　德可望得勝
page 5	市行辦理工商業信用小放款數目三十元至五百元昨呈市府核准定十月一日開始
page 5	西江中央軍撤退昨訊一六零師由中順調省城
page 5	吳王兩部長抵粵後昨日聯赴黃埔謁蔣日間分別巡視實業教育機關雷司長之談話
page 5	余香覆李白電
page 5	閩浙贛三省清鄉司令李揚敬將赴閩晤蔣張葉黃等已率兵赴閩邊李氏昨先返東莞原籍
page 5	蠶絲改良征費不准撤銷
page 5	粵省府重訂三年施政計劃
page 5	閩西剿匪近訊
page 5	葉部一團調廣州
page 5	桂省府主席昨派朱瑞元抵粵
page 5	一五九師參謀長電告日艦已去北海情形緩和日艦載中野妻子離北海刁作謙電召淩秘書返省汕日商店案決就地解決
page 6	顧翊群談放款救濟絲業
page 6	省營鋼鐵廠將歸實部籌辦
page 6	米業公會被控請市黨部查詢
page 6	粵行政專員尚待政院選定第一區由民政廳長兌任各區就縣長中選 　兼充
page 6	王壽瓊日內北返
page 6	港新公路赤崗段停開夜車
page 6	民廳長規劃變更吏治制度昨舉行首次會報
page 6	潮汕某人走私復活續訊汕雜糧行消極抵制販毒機關亦日見增多
page 6	東北私荳開始侵汕
page 6	分銷零售佈滿全潮
page 6	某人又乘機販毒品
page 6	東區綏署辦理結束之延期
page 6	粵市國貨委會製定國貨歌播發
page 6	廣州地方法院執行庭之改組
page 6	二百萬煙農貸款辦法已規定
page 6	中央資源委員會鎢業管理處廣東分處主任馬育航就職後
page 6	海豐縣民眾推派代表林聽盧等
page 6	一五七師長黃濤
page 6	四路總部昨佈告嚴禁軍人強搭汽車
page 6	河南現有之救火機因機身太大
page 6	昨廿五日上午十一時廿五分長壽分局段內長興街第三號萬　珍珠找換店二樓工場
page 6	王志漢之妻呈請中英撫卹王氏　為訪員被公安局槍決
page 7	黃華表談
page 7	油麻地
page 7	紅磡
page 7	紅磡與油麻地兩小童慘作車下鬼一個六歲一十四歲頭顱破碎鮮血四濺
page 7	黃質文談
page 7	男女教員紛購潤喉止咳糖
page 7	英軍官之津貼費
page 7	好朋友被疑行騙
page 7	銅鑼灣銀幕街三賊圖劫印人住宅印婦與抗賊恐事洩逃遁事後警探捕獲一嫌疑犯
page 7	嵯峨艦今日到港中野家屬乘該艦來
page 7	外艦來去之調查
page 7	陳漢光今晨出國顧問姚萬年同行
page 7	黃紹雄已離港晉京俟蔣返京請示後乃赴浙復任黃華表定今日返省日間入桂
page 8	原函錄下
page 8	即席決議
page 8	分別曉諭
page 8	遠東航空之競爭帝航荷蘭兩公司大購新機
page 8	據
page 8	因
page 8	遠東一線
page 8	史密士昨晨飛岷
page 8	戴羅氏在英逝世
page 8	許地山昨演講現代婚姻現代男女應為發展民族生產力而結婚
page 8	越南入口之新例
page 8	秋季特別賽馬今日開始騎士科士健康已復決出場
page 8	兩人意外受重傷
page 8	英京銀價無變動
page 8	衛生醫官時症報告
page 8	旅　四邑商總局請各縣府維護行旅安全禁止護圍鄉民撤白放鎗警告輪　應用別　符號
page 10	帝航機今晨飛檳
page 10	初級法庭案彙誌
page 10	宗教哲學社設醫社
page 10	醬料商會明日開幕
page 10	麗精書院增設文科
page 10	黎案紀載失實
page 10	於仁燕梳公司派息
page 10	南結會舉辦賞月會
page 10	兇徒所傷一路人
page 11	搶劫情形
page 11	圍捕經過
page 11	嚴緝餘匪
page 11	瓊崖黎務局裁撤訊
page 11	石角警隊捕劫輪匪
page 11	新任縣長催征地稅
page 11	採集薯苗補種災區
page 11	制止小峒兩鄉械鬥
page 11	和記渡獲偽緝私員
page 11	羅雲信公路已通車
page 11	禁賭宣傳週大綱一禁賭會昨已分發
page 11	廣東省禁賭宣傳週宣傳大綱
page 11	東莞東向村械鬥縣兵到後即和解雙方頓有覺悟不待調停而和
page 11	汕頭中馬路發生匪徒械劫案圖劫不成匪急逃走一匪下樓跌傷被捕
page 14	日陸戰隊營中拘押疑犯一人
page 14	二路公共汽車賣票司機被押
page 14	出事地點附近軍警嚴密戒備
page 14	附近垃圾箱內檢獲手槍一枝
page 14	粵漢路沿線物產
page 14	礦產
page 14	農產
page 14	結論
page 14	手工
page 14	工業
page 14	廿三晚滬公共租界吳淞路口日水兵三人突被槍擊詳誌死一人傷二人獲嫌疑犯一人虹口交通斷絕日兵上岸戒備
page 15	荷印限制貿易辦法
page 15	荷印經濟部之意見
page 15	限制進口各種物品
page 15	該團十二日赴星洲
page 15	高團長致經濟部函
page 15	南洋商業攷察團與荷印交涉輸入國貨曾作種種努力談話結果圓滿格　統制恐我輸出增進甚微
page 16	好萊塢的新聞
page 16	教育部徵求教育電影劇本
page 16	每種電酬自三百元至千元
page 16	風後的全球在九龍城重張旗鼓第一部出品是鐵鞭俠
page 16	南國停頓後的標準公司
page 16	宣景琳家的畜貓癖
page 16	電影教育中的教材問題
page 16	美攝影師赫勃脫鏡頭下幾幕東方色彩的藝華布景
page 16	范朋克的歸宿約摸在五個月以前
