page 1	　絕交後之時局
page 2	南段
page 2	北段
page 2	江南戰況富陽之敵被我擊潰後沿錢江向杭州撤退昨日敵我在錢江大橋附近砲戰甚烈蕪湖之敵向當塗撤退蕪市即可收復
page 2	絕無廉恥漢奸陳中孚向敵獻奸謀敵欲誘唐紹儀出任傀儡靳雲鵬利慾薰心甘侍敵
page 2	西安回民共商抗戰已有具體決定
page 2	冀南民眾自動參加抗戰敵軍所到之處奸淫焚掠甚慘定縣附近各鄉被殺五百餘人
page 2	平漢線敵被我威脅
page 2	日將寺內移駐北平
page 2	保定之敵開津浦線
page 2	偽滿士兵紛紛反正
page 2	我空軍外籍飛行師以俄國人駕駛術最精美籍飛行師亦不少但均不以真姓名示人
page 2	我軍某部向正太路活動晉東敵軍分三路進犯我準備完妥將予　擊
page 2	政院決以張群繼任川省主席
page 2	閩省府議決注重民訓工作
page 2	二十萬難民待救南京糧食恐慌外人運糧往接濟未獲日當局許可
page 2	日謀應付戰時經濟局面籌劃實施嚴厲外匯分配鼓勵日本主要產品之輸出
page 2	津浦南段戰局緊張敵我血戰臨淮關附近魯北我游擊隊活躍克復安邱津浦北段敵犯鉅野金鄉不逞
page 3	德斡旋中日和平無效現已中止進行中日斷絕邦交之後德國更無調停機會
page 3	各海軍國準備擴軍撕毀倫敦海約美因難駛過巴拿馬運河水閘欲建造較大軍艦則殊感困難
page 3	英國尚能忍乎津日特務隊入李杜將軍家行刺連發數槍李氏侄甥二人被擊斃英當局提出交涉日方含糊否認
page 3	日海軍省代言人談話尚欲強作護詞密擴海軍野心勃勃尚欲各國予以信賴
page 3	熊式輝令各縣長組織民夫修堤
page 3	西北軍校訓練班展延報名期間
page 3	劉湘在漢逝世遺囑勗勉川軍繼續抗戰劉湘夫人周女士飛漢口奔喪鄧漢祥勉所屬繼續劉湘遺志
page 3	劉湘夫人飛漢奔喪
page 3	中央電唁劉湘家屬
page 3	川省政務照常維持
page 3	劉湘喪典積極籌備
page 3	川下半旗哀悼劉湘
page 3	日輪日枝丸被人暗置炸彈
page 3	愛政院主席昨已返抵愛京英愛欲謀妥協前途仍多困難
page 3	老外交家溫秉忠昨逝世
page 3	美轟炸機一隊調夏威夷駐防
page 3	盛傳我軍收復明光
page 3	我軍向蕪湖反攻
page 3	津浦戰事將有重大收穫
page 3	我游擊隊攻襲宣城
page 3	賞罰嚴明我當局執法如山懲罰抗戰失職軍官李服膺處死弄韓復　尚在審訊此外尚有師旅團長多人受懲辦
page 4	女子籃球賽今夕三場改期
page 4	培正鼎小球賽今明均有戰事
page 4	二屆德權鼎定期止截報名仍欠一隊報名從速
page 4	英皇書院排籃球隊征澳定明日首途
page 4	乒乓聯會舉辦全港籌賑比賽
page 4	華人會昨續選各部職員
page 4	英美匯兌轉縮美對英無變動英銀縮個半咽
page 4	舊中桂紙平穩
page 4	廣州金融市情
page 4	各國幣價伸算
page 4	港外匯市穩定
page 4	加銀略有漲縮
page 4	省毫券市微升
page 4	八九金價略跌
page 4	督憲杯華聯今日整軍戰西聯西聯　於衝射截守實力不弱　失常奪　有望　功虧一簣須作再度比賽尋常杯甲組賽今日全無戰事
page 5	昨午敵機分四批犯各交通線稔山一帶晨有敵機窺察
page 5	醫愈傷兵返防
page 5	潮梅漁業受敵摧殘近訊閩粵漁民編游擊隊
page 5	劉石心談救濟失業教員
page 5	留日學生脫險歸來談敵拘捕摧殘我僑胞情形種種嚴刑令人髮指在獄中所見之特徵
page 5	抗日自衛團加緊籌組各地推選各級隊長有一槍即有一選舉權用投票之法選舉之
page 5	核准增編憲兵
page 5	查究造謠擾亂金融毫券國幣併用之限期銀業公會否認發出六項通告
page 5	昨廿日敵艦又兩度進襲榆林港敵艦一艘被我擊中逃去東江最近又增敵艦三艘
page 6	佈告展期
page 6	請求步驟
page 6	廣州市商人實行包裹一仙運動預算可製寒衣八萬件
page 6	潮汕平糶尚未能舉辦市府嚴令米商實行免洋米稅有希望訊華南公司之申明
page 6	粵市分區舉辦民眾消防
page 6	敵機在各地肆虐續誌
page 6	順屬容奇商人組聯防隊
page 6	星檳船票改售港幣之反響駐汕英領事調停仍無效組粵閩港聯會共同反對
page 6	江門商人請改善轉口稅新會縣長已轉呈
page 6	劫匪槍傷事主
page 6	魚沙昨大火
page 6	各鄉籌組農會
page 6	昨歡迎黃明堂
page 6	思豪酒店全體同人募集棉衣慰勞前方將士
page 6	三四期營稅展期加征市會請求免倍征之步驟
page 7	旅澳鄉村服務團致書後方同志各團員現留廣州懲教場聽候軍政當局查明辦理
page 7	少年跳樓自殺
page 7	懷械夜行被拘
page 7	播寶哈德安兩輪將走港澳
page 7	澳門政府舉辦婢女登記蓄婢者須向政府註冊虐待婢女處罰三百元
page 7	粵教育家來港創辦純正中學
page 7	黃子超昨飛漢籌備增設重慶航空站
page 7	威力明日返暹
page 7	防毒訓練班考取一等證書手續英倫防毒學院提出簡便辦法聖約翰救傷隊長現正考慮中
page 7	敵圖毒化上下川島向鄉民兜售紅丸鴉片
page 7	昨晚十時警探大搜海員工會文件招牌傢具悉被檢法會所現由警員多名看管
page 8	九龍會華人三期捐款
page 8	紅十字會續收　款
page 8	紅十字會函港婦會
page 8	日皇后輪工人捐款
page 8	紅十字會在美募藥
page 8	書業公會二期捐輸
page 8	華賑災會收到捐款
page 8	中華醫生捐款報告
