page 1	諾克斯對三國同盟的答覆
page 2	松岡須磨兩人談話均圖求得美國諒解
page 2	英美兩國將擴大合作範圍封鎖太平洋由阿拉斯加至　洲完成封鎖線使日本艦隊受困於亞洲水略內
page 2	晉西南我軍繼續進擊張茅道側迭克要點
page 2	贛當局策動冬耕
page 2	星洲皇家工程師被控受賄受賄二萬鎊金
page 2	日由越侵桂企圖失敗我軍克復宜田日軍圖偷渡左江未逞
page 2	京滬沿線我軍活躍
page 2	江南我軍進擊奏捷
page 2	蕪湖日軍竄犯被殲
page 2	西南聯大教授丁佔在滇溺斃
page 2	渝蓉被空襲平民死傷甚眾
page 2	婦慰總會撥款雙十犒勞傷兵
page 2	阿根廷與巴西締結商約規定互相購買對方過剩產品
page 2	昨英倫各地半日平靜敵機未有出現
page 2	邱吉爾已決定日內宣佈開放滇緬路蘇大使將以英方決定報告政府
page 2	獨裁者與英皇大不相同一則聲威　赫一則與民苦樂
page 2	德軍開入羅國
page 2	白俄衛兵又復槍擊孤軍集中營一帶局面甚嚴重
page 2	英工黨領袖致函美猶太人謂將來大戰結束後願以善意待猶太人
page 2	美國海軍當局會議討論遠東全部戰略諾斯謂美決心抵抗日本恫嚇
page 3	英空軍轟炸敵國係有週密計劃勃達爾爵士負責指導現正規劃大規模進攻
page 3	德武裝商船在大西洋活動時當改換旗幟船名掩人眼日破壞商輪
page 3	泰國要求已遭越督拒絕法提議共組一委員會調查九月廿九日槍案
page 3	美記者團視察遠東報告中國對抗戰前途極信賴日欲征服南洋澳洲極難
page 3	地中海風雲二希特勒會來一幕閃電戰嗎
page 3	美大使要求政府派輪赴英接僑
page 3	美國多數議員贊揚諾斯演說加緊對民主國援助不再安撫軸心國家
page 3	法各殖民地擁護自由運動
page 3	愛爾蘭充實自衛力量維護本國中立地位
page 3	韋爾基又向選民演說
page 3	軸心國家冬季攻勢將向近東亞洲進展特別進攻直布羅陀及蘇彝士或德進攻三島意軍進攻埃及
page 3	希願與保成立諒解
page 3	意國大軍集中希邊
page 3	侵埃意軍突然東攻
page 3	黔中秋收極佳
page 3	藉口保護油田德軍開入羅國境獨裁首相安多尼士古自任為鐵衛團之領袖
page 5	派飛機向日陣偵察
page 5	分赴各鄉搜羅廢鐵
page 5	仍泊有日艦約十艘
page 5	與日警戒部隊遭遇
page 5	九江日艇犯鶴山不逞新開路日軍受創後戰事沉寂中山附日軍呂春榮部調寶安
page 5	粵改善各縣隊警生活訂定警長警士給薪辦法分令各縣市局遵照實行
page 5	湘粵桂銓聚處在湘成立彭漢懷任處長
page 5	戲劇界演劇購機
page 5	台山開平施行新制李專員昨召兩縣長談話
page 5	順德籌組所謂聯防隊大良防務空虛
page 5	桂救濟越難民
page 5	台山奉令實施公耕每月一日為公耕日期
page 5	容奇發現重量炸彈收藏地點在日軍隊部附近日搜舖戶捕去居民數十
page 5	寶安日軍最近之調動日迫鄉民修路準備向北進犯並強迫鄉民種菜以供某軍食大亞灣日艦來去情形續訊
page 6	神岡日軍不敢再動
page 6	我游擊隊進襲蕭岡
page 6	在砲火中生長著的廣東兒童教養院日前收容人數增至六千餘每天度著天真愉快的生活
page 6	一創立經過
page 6	怎樣教養
page 6	三前途的展望
page 6	戰區兵站總監部成立簡作偵雲振中任總副監
page 6	惠陽匪患續誌
page 6	粵振濟會撥出六批振款　助中山　中員生旅費
page 6	陳志皋抵韶關
page 6	中山鄉民襲擊日採鎢隊
page 6	粵巡迴軍法官方敏志等抵肇
page 6	國民大學內遷中央撥助六萬元
page 6	粵北日軍續出擾新街西北劇戰我軍奏捷收復畢村乘勝續向湯庄挺進團隊進襲蕭岡毀日軍司令部
page 7	莫壽增會督勸各界參加節建儲運務引起各地僑胞注意雙十節後仍努力推行
page 7	九龍建築兩避難壕每壕可容納千餘人能抵禦五百磅重彈
page 7	雙十節紀念會請羅旭和任主席
page 7	園林官之佈告掃墓人須愛護樹木
page 7	蔡公紀念基金將籌足十萬元
page 7	檀香山華僑擴大獻機運動籌購飛機一隊捐獻補祖國政府年前已獻檀香山華僑號一架
page 7	記者圖書館定雙十節開幕王　五主持開幕禮
page 7	九龍各區救傷隊大演習
page 7	法艦一艘抵港
page 7	第一批日僑今日返國第二批定星期五乘新田丸首途三火油公司亦勸職員疏散眷屬
page 8	米
page 8	柴
page 8	菜
page 8	中航機港韶班昨日尚未開航
page 8	來春打比新馬定本月　開投
page 8	德機猛襲下的倫敦港口
page 8	難民公益會籌建永遠難民收容所進行與各慈善組織合作避免工作衝突經費虛耗
page 8	大學生聯誼會昨開五次　事會議
page 8	衛生局今會議
page 8	兩藝術展覽會定雙十節開幕住聯漫畫
page 8	彌敦道住戶昨發生巨竊案失珍飾值二千餘元
page 8	慈雲山械劫案兩被告詳臬定讞
page 8	費威廉任郵電檢查主任
page 8	戰地攝影
page 8	本港囤儲柴米甚豐尚有餘額輸運出口港政府昨宣布准許米石　運雜糧菜蔬澳門反賴本　接濟
page 10	雙十節足球義賽華聯陣容排定星島隊佔三人南華東方各四
page 10	足球總會明日會議
page 10	昨日男女籃賽澳星勝香江鐘聲克華南
page 10	香港與嶺南兩大學昨日舉行田徑對抗各項成績平均大佔優勢第二日比賽定雙十節角遂
