page 1	蘇芬絕交與美任調停
page 2	南寧以北戰事沉寂日軍無何進展鬱江北岸戰局仍穩定
page 2	潮城日軍蠢動受創日軍侵入蓮陽
page 2	三水方面我軍克復黃塘出擊九江市我軍衝入大同墟
page 2	平綏日軍暴行焚燬鄉村以防我軍東進
page 2	三位美籍衛生專家赴雲南擔任剿蚊工作滇省蚊蟲含有瘴氣毒菌其害不減飛機所投炸彈
page 2	考誠日軍犯郭寨未逞我中隊長李學生壯烈殉職
page 2	日機飛甘窺察
page 2	桐城偽警反正
page 2	東方第一美女乘機飛抵紐約
page 2	長治壺關戰事仍成膠著狀態傳我某部收復趙城
page 2	中華日報亦承認日本無能力打敗中國日本欲與我言和並非友誼表示
page 2	西線兩軍局部炮戰
page 2	日本反對英封鎖德貿易
page 2	佛教訪問團日記二
page 2	法下議院召集特別會議聽取達拉第演說
page 2	德機迫降挪威四飛行員被扣
page 2	英法駐平津軍隊即將撤減
page 2	羅翼群赴南路
page 2	德輪華籍船員不肯繼續服務將乘智利輪回國
page 2	粵北日軍再衰三竭我軍在花縣西南獲勝赤白泥蓮塘一帶日軍被擊回竄福和與大塘尾日軍已被我切斷
page 3	蘇政府宣布與芬斷絕邦交蘇要求芬蘭政府辭職另組新政府與蘇妥協
page 3	蘿外長演講竟謂芬蘭挑釁是以蘇聯不能與芬蘭維持常態之外交關係
page 3	羅斯福總統關心蘇芬局面美政府準備出任調停希望雙方得和平解決
page 3	芬內閣開會討論時局問題荷蘭當局態度極鎮靜可見前途尚未致悲觀
page 3	對蘇芬風潮英有兩種看法一以為蘇係準備侵略一發為係蘇恫嚇手段
page 3	德政府宣佈願同情於蘇聯倘蘇芬發生軍事衝突德將持善意中立態度
page 3	意西等國同情芬蘭
page 3	蘇機六架飛臨芬京
page 3	美合遜主教抨擊美政府賣軍用品於日本為美國歷史上之一大污點
page 3	英財相解釋戰時財政須全體人民重荷
page 3	德國潛艇　　抵柏林擊沉英艦橡樹號
page 3	匈甚關心蘇芬爭執
page 3	羅馬教皇欽使訪德外長
page 3	英輪頓尼安號船員一部獲救
page 3	美將取適當行動對付違法外人
page 3	芬蘭總統宣佈芬蘭入於交戰狀態蘇軍已佔據芬境舒奧札維蘇飛機向芬蘭京機場投彈
page 5	日軍偷越十萬大山
page 5	日軍傷亡七次增援
page 5	南頭日軍四犯觀瀾又遭重挫被我分路截擊俘獲甚多
page 5	訪問疾苦檢舉貪污省府設秘密巡迴視察不得干涉用人行政接受贈與
page 5	我軍開始反攻欽防
page 5	各地組軍民合作站
page 5	北海情勢再度緊張
page 5	李福林離渝返粵將組成新五軍
page 5	擒獲偽東莞專員省府獎三千元
page 5	駐蘆苞我軍南下進攻日軍
page 5	六中全會嘉勉李漢魂
page 5	粵省府改組各縣行政機構
page 5	容良日軍換防後迫鄉民充偽軍
page 5	九江日軍調江門轉南路各線日軍抽調連日戰情已轉和　當局增強各地防務實行空屋清野
page 5	虛張聲勢佈成疑陣
page 5	游擊隊又大為活動
page 5	情勢似已轉趨和緩
page 5	中山籌辦戰時農業貸款省賑會隊員實地調查
page 5	東江各縣被日飛機狂炸
page 5	中山裁撤各區警所
page 5	惠陽縣長易人
page 5	四邑實行空屋清野
page 5	南寧城內外之混戰欽防我軍已開始反攻日軍傷亡甚鉅七次增援北海糧食價格最近調查各縣考慮禁止壯丁出口
page 7	德人財產一律沒收
page 7	來自德境概作敵貨
page 7	八一三捐款遲發收據原因財部港　事處函復商會
page 7	殺媳案昨判決被告被子毆打迫得以刀自衛陪審員認不應有罪消案放人
page 7	中青救護團搖彩券昨揭曉
page 7	保良局認領婦孺手續女華民司認未便變更本港居民品流複雜若無保證實至危險
page 7	聯青社同人贊成徵所得稅所得稅為良稅財政專家已公認如改徵別種新稅將增市民負擔
page 7	張惠長謝婦女慰勞會
page 7	義風慈善社徵募寒衣成績
page 7	封鎖德國法令英廷昨已頒到本港本月四日開始嚴格實施來自德境貨物一概沒收
page 8	童軍明日大操港督將到場檢閱
page 8	皇后大道中將增一新大廈勝斯酒店建築新樓
page 8	四賊截劫貨艇掠去貨物 值二千元
page 8	馬慈航畫展會今日在金陵酒家開幕
page 8	張寶樹昨出殯
page 8	衛生局督拆筲箕灣貧民寮
page 8	集中營英警轟斃離營華軍
page 8	車輛失事統計去週死一人傷廿五人
page 8	法軍過港赴越
page 8	華人文員協會三日舉行二週紀念
page 8	保育會募捐訊
page 8	八賊械劫孀婦掠港幣百餘元
page 8	國防公債售出十七萬元
page 8	粵衛生處攷取護士揭曉
page 8	光華去週慘敗後明日調整陣容以應頑旅九龍會人選今日可決定
page 8	記者體特會議決要案陸運定十七日舉行元旦日派球隊征澳
page 8	陸運
page 8	征澳
page 8	乒乓
page 8	足球
page 8	籃球
page 8	興華排球隊實力相當強橫連戰皆捷
page 8	港星女籃隊載譽歸來第一聲將義戰培英頭檯戲由記者與某女子隊拍演
page 8	旅行消息兩則
page 8	高級學籃賽培英今逢華大關係季軍問題
page 8	玷辱警界印警亞捷星強姦少婦應受重懲陪審員一致認其罪名成立連副按察司判處徒刑五年
