page 1	接二連三之不幸事件
page 2	漢市日警被殺案日警大捕漢市民被捕嫌疑人尚羈押警署
page 2	日海軍陸戰隊昨曾一度登陸
page 2	出雲戰艦會議尚未決定對策
page 2	戰隊司令比野電海軍省報告
page 2	日召三省會議將取強硬對付
page 2	漢市日居留民召開緊急大會
page 2	警員吉岡屍體送入醫院解剖
page 2	察北各偽匪軍首領議決擴充匪軍十萬編為九師以備犯綏刻正積極招募華北日兵連日舉行實彈演習
page 2	李黃已飛返邕垣晨由廣州啟航中午抵邕
page 2	長春日當局扣留挪人妻女挪人威斯巴士離長春日限其十日內返偽滿
page 2	褚民誼謂汪精衛未有回國準備國大會場工程將竣內部佈置多屬新式
page 2	川樾暫留南京候蔣返京接談
page 2	豐台中日軍衝突事件今井訪陳中孚一再向我脅迫要求我軍再撤入　平縣境宋盼各界齊心協力助政府
page 3	國聯行政院公開會議通過禁毒報告書證明日人販運毒品毒化全世界歐洲政治重心又將移至日內瓦
page 3	漢市發生大火焚燒燬房屋八百餘棟損失在千萬元以上
page 3	刺汪犯余立奎昨日押解抵滬昨晚解京歸案鞫審
page 3	張嘉璈俞飛鵬衛立煌抵滬張談粵漢路將來決展長至黃埔俞談整理粵交通先從電政著手廣九粵漢兩路接軌未談及
page 3	黃郛宿疾漸痊
page 3	譚紹華將任駐墨公使
page 3	中國計政學會舉行三屆年會
page 3	何成濬等昨日歡宴陳誠
page 3	贛省府計劃修築贛粵公路
page 3	日在津設農事試驗場已舉行開工禮定十一月全部落成
page 3	中華工業總聯會致電向蔣慰勞
page 3	顏惠慶談在俄所得觀感
page 3	劉建緒行將來粵謁蔣
page 3	諾那骨灰抵漢
page 3	粵滬無線電話今日試行通話
page 3	公教進行會舉行祝聖典禮
page 3	古物保管庫將行落成典禮
page 3	甘陝剿匪情報
page 3	旅歐華僑大會研究共赴國難
page 3	英空軍司令來港調查空軍
page 3	日取外弛內緊手段進行南侵政策以避免各國之注視
page 3	西國政府軍隊灌汽油焚燒阿爾加柴烈燄騰空不可響邇叛軍不屈依然死守
page 4	中菲摔角家比賽黃博昌昨遇勁敵勢均力敵首三回合不分勝敗後二回合額攻黃弱點卒得勝
page 4	全省水運第二日水球比賽成績麥芽團勝鐘聲七對三水體會和華人零對零
page 4	市民網球隊改定廿五日來港先後與南華中華西洋三會觀摩
page 4	勵存小足球隊三對一戰勝星華
page 4	足球友誼賽海軍隊勝東方會成績四對零
page 4	英京銀價略報漲
page 4	南華會友象棋今年繼續舉辦即日開始報名廿七日下午止截
page 5	省會公安局改組後各分局亦實行裁併原有廿九個分局擬裁為廿分局連日公安局內裁去職員百餘人
page 5	商設中央分行
page 5	財部改良粵桂鹽化學師吳耀南日間出發化驗
page 5	市商界六大壁壘現將縮編兩集團今日有慶祝團結成功者
page 5	粵路整委會昨日續開會議粵路決設三大站
page 5	市小教職員糾紛兩派相持不下連日均有集會
page 5	翁部退出北海續訊其行蹤仍有兩說一謂僅退至合浦五帝廟一帶一謂已完全退回桂邊四路軍派砲兵增防北海
page 5	財廳批飭暫緩裁撤筵席捐
page 5	桂省善後各問題已商定李黃昨日飛返南寧繼園門前之李氏與記者談桂軍及各民團之縮編辦法桂省亦決定實行禁煙禁賭財政將由中央酌予以補助
page 6	廣西各縣水災損失甚重桂省府電請救濟
page 6	菸酒稅局維護菸農利益禁所屬種弊端
page 6	鎢礦工人派代表謁蔣委長請求維持生活
page 6	綏署被裁後職員分別安置
page 6	煙民登記昨開始
page 6	汕日商店炸彈疑案續詳真相如何現尚待調查日僑藉口請切實保護
page 6	請撤專稅兩誌
page 6	茶樓同業擬請改善工約
page 6	　謀本部參謀總長程潛
page 6	高等法院長史延程
page 6	司法行政部前電委汪玨為高等法院推事
page 6	省府主席黃慕松
page 6	廣州市長曾養甫以長堤電力廠供給全市電力
page 6	建設廳蠶絲改良局長廖崇真
page 6	航商昨開時急會議因當局僱用輪渡事航會主席辦理手續為各航商所不滿會議對付辦法
page 7	政府不宜歧視華報
page 7	歷次提案均遭否決
page 7	第二屆集團結婚新娘不許著高　鞋免行禮時跌倒又鬧笑話五對情侶不符定章退出
page 7	大利輪血案和緩英領聲明作尋常案件辦理
page 7	遠東英空軍司令史蔑夫今日率飛艇來港視察本港防空建設留數日即飛返星洲
page 7	各界紛募款購機
page 7	中央艦六艘北返
page 7	港督夫婦發表談話申謝我當局招待之盛意獲見蔣委員長實為半生幸事在粵逗留兩日所得印象極佳
page 7	有生以來特殊快樂
page 7	參觀建設印象深刻
page 7	省輪女客遇搶匪
page 7	定例局議員布力架談華報檢查確應撤消港府對華報不應岐視望當局將有改良辦法對本人歷次提案遭否決表示痛惜
page 8	農業研究社之呈文
page 8	瓊各種牛捐之由來
page 8	改善牛皮屠捐辦法
page 8	主張撤銷牛出口捐
