page 2	答範石生先生四
page 3	曹錕派李彥祥赴洛陽與吳佩孚協商政潮解決辦法
page 3	王承斌聲明對吳景濂不予以政治上援助
page 3	有人揭發中央前匯粵省滇軍十五萬元為李鴻祥吞沒
page 3	近日財政要人集資躉購九六債一漲即售受愚者每自盡蘇浙戰謠亦係買賣公債者所散佈
page 3	京政府年關費尚缺百四十萬向華銀行商借
page 3	內部通咨各省省會謂改選舊法與新憲法抵觸須暫止進行
page 3	反吳景濂派憤甘石派停發津貼頓呈消極態多主待款開會且有小團體秘密向孫寶琦表示好意
page 3	豐台軍工衝突京政府主嚴辦滋事者
page 3	旅京江浙同鄉力勸孫寶琦上台俾調停江浙問題曹錕亦望孫出為津保兩派緩衝
page 3	吳景濂系議員推薛丹曦等赴津請吳回京奮鬥
page 3	吳佩孚電國務院稱已與齊燮元王承斌商定請以申保藩為欽廉護軍使蘇廷有為高雷鎮守使
page 3	葉恭綽廿四日由奉天赴大連轉滬回粵
page 3	李耀漢林進材及劉湘代表李大鈞沈鴻英代表黃鴈賓廿五日赴洛陽
page 3	老洋人股匪被陝軍痛勦又擬分竄鄂豫邊境
page 3	豫省長署移洛陽將實行
page 3	蘇紳電段祺瑞請幹旋江浙和平
page 3	廿二日吳可章率部返濟南郭其才周天松調省監視之
page 3	熊克武停止川北戰爭以全力專謀反攻重慶
page 3	孫烈臣辭職張作霖擬以楊宇霆繼任督吉
page 3	鄂交涉員陳分為田仲香案廿五日函漢口日事領提出懲兇優恤道歉三款
page 3	趙恒惕不允取消軍事田賦特捐
page 3	趙恒惕軍猛攻劉聚彝廿四日劉重威佔洞口鄒振鵬旅佔花園蔣鋤歐旅向李溪橋進
page 3	傳臧致平部李芳芑師李傳斌旅投降孫傳芳
page 3	東江沈寂中之北江吃緊
page 3	聯軍將領對于關餘將有表示
page 3	各軍對於廣州勢力範圍之競爭
page 3	石龍竟變為無人荒島商團軍又被逼解散
page 3	聯軍進駐博羅之虛報別有作用
page 3	西報論粵政府爭關餘
page 3	爭關餘之諧畫與傳單
page 3	和風街劫案續聞
