page 1	廣東國防與省國防公債
page 2	郯城邳縣連日血戰
page 2	津浦沿線敵軍情況
page 2	魯北我軍屢奇功保衛惠民一帶短槍十三繳敵偽槍枝二百餘失而復得各縣偽逆先後伏法
page 2	龍雲以部曲壯烈殉職準備繼續出兵從速編組　師日內可出發
page 2	我某部在涿州與敵激戰甚烈游擊隊夜襲門頭溝敵多捐傷
page 2	京滬游南隊仍極活躍南京已被包圍句容游擊隊奪獲敵給養
page 2	李宗仁暢談魯南戰況
page 2	我軍在晉東南角克復黎城潞城敵向長治及東陽關潰退
page 2	敵機襲擊巢縣
page 2	敵機狂炸徐州
page 2	豫北敵軍行動
page 2	上海外匯恢復常態統制新辦法已收成效
page 2	魯南二次會戰敵由臨沂南犯不逞改由蘇皖北犯分四路以徐州為同一日標邳縣以北之敵已被我擊潰
page 3	英財相西門報告下年預算政府擬在稅收項下增三千萬鎊因新預算所影響英債券曾略跌
page 3	俄日解決懸案日發言人硬指蘇俄無談判誠意
page 3	反日分子集滬敵殊恐懼敵方謂彼等有所活動
page 3	英航空視察團抵美參觀馬丁機廠祇商技術問題未謁美當局
page 3	磯谷阪垣隊員作階下囚認敵士無鬥志軍委會軍令部提俘虜五名審訊各俘虜深感我方予以意外優待
page 3	希臘與土耳其簽訂合作條約
page 3	敵感原料缺乏首相召科學家研究謀以科學方法補救
page 3	甘地與珍拿氏會商印回關係
page 3	孫科昨離倫敦
page 3	愛文諾離英赴法瀕行訪張伯倫
page 3	法記者抵昆明將經桂粵轉漢口
page 3	埃及新閣成立閣員人選無甚變更
page 3	法總理抵英雙方即行會議德國朝野對英法會談極關切駐德英使主張解決英德懸案
page 3	我國所購俄機抵漢最近所購進四百架
page 3	滬敵定五月一日強收海關職員準備一致撤退
page 3	皖中戰訊三則
page 3	四月上半月各路統計斃敵共三萬餘俘虜敵殘病步隊數在一千以上
page 3	敵軍釋放通和輪經過敵扣該輪首先剌傷華籍水手一名
page 3	一週來敵我作戰實情
page 3	滬租界華人廣播電台停止播音拒敵註冊要求外人所設廣播台拒絕敵要求
page 3	敵在綏遠兵力單薄連沼中將轄全蒙軍政
page 3	我克連防山敵連絡已斷
page 3	我軍在泥溝殲敵九百
page 3	敵犯蘭城店小集被擊退
page 3	邳縣北部不斷激戰
page 3	魯南我軍陣線甚佳
page 3	我軍佔領南北撈溝
page 3	東京讀賣新聞證明國內無兵增援魯南滬杭我游擊隊活動敵實處被動地位進攻廣東應先考慮與英國磨擦危險
page 4	我國網球巨子許承基立戰功擊敗英前台杯選手李氏
page 4	小型足球義賽五一舉行秩序華僑兄弟分戰進德天台
page 4	足球義賽太平覺先聲今日會師五時在海軍球場許世英夫人頒獎
page 4	平陽乒乓隊征澳
page 4	九龍華仁書院昨舉行週年運動
page 4	昨旭和杯足球賽海聯挫陸聯獲亞軍上半場一比一下半場 三比二
page 5	昨敵機三次來襲分向從化潮梅各地轟炸從化被敵投彈達卅餘枚下午再炸黃埔中正小學在梅縣古塘坪投彈傷人
page 5	統一災區救護事宜警備部訂有詳細辦法
page 5	辦運免稅洋米提出確證免審核外匯免稅米確已源源入口
page 5	蔗農集議再請政府救濟免除稅捐減擔負
page 5	慰勞團昨北上
page 5	財部統制出口貨辦法售貨後須購外匯返國
page 5	粵省國防公債勸募期間延長兩個月省府令各縣竭力勸募
page 5	教部政次來粵視察教育
page 5	閩省電告敵機轟炸王莊
page 5	警部負責人談東江沿海各島無恙敵兵抽調高瀾島敵全部撤退惠陽百瀝島被佔踞不確
page 6	方便醫院辦學培植國醫
page 6	閩當局扣留鍾紹葵進剿汀龍杭武間股匪
page 6	高信向財廳商借款開辦九模範墾殖區共需款三十六萬元商借結果極為圓滿
page 6	旅越粵僑捐千元購機
page 6	芳村南基昨又發生劫案
page 6	敵槍斃三灶島漢奸鄉民　亦被慘殺
page 6	敵第三艦隊已開青島敵目前無力進犯閩粵
page 6	星濱船票問題仍未解決
page 6	淇澳河傍塌地壓傷敵兵
page 6	順德麻溪昨被敵機投彈飲青酒吃驚
page 6	劉志陸昨晉省
page 6	陸豐饑民食草中毒
page 6	三尺長之百足
page 6	劫匪刺斃農民
page 6	女侍別戀被殺
page 6	母子觸電慘死
page 6	惠陽擊斃海賊三人
page 6	匪洗劫石角渡
page 6	傳豐順又擒一敵機師降梅逃走機師不祇四人
page 6	　　　　及升學生　　教廳經定期會考
page 7	不免一死
page 7	緊握鎗頭
page 7	遇事之夕
page 7	幹卿已死
page 7	語多含糊
page 7	擊斃死者
page 7	或有錯誤
page 7	祇犯誤殺
page 7	應為無效
page 7	英大使昨抵港定明日乘英郵船返滬
page 7	旅客報失巨金
page 7	婦人投海遇救
page 7	同謀之事
page 7	強劫印警
page 7	即為犯法
page 7	芽菜坑謀殺　幹卿案判決劉光輝梁錦祺判處死刑劉梁聞判無懼容含笑點頭謀殺　幹宏罪定下月提訊
page 8	棄職礦工一批返國
page 8	蘇島服務團今離港
page 8	商會籌賑會昨分函電影院請於下午放映國難場關祐兄弟各購債萬元
page 8	長期捐輸
page 8	兩具捐款
page 8	本港西商會年會紀本港商務不受戰事影響
page 8	本港與中國之關係
page 8	敵又焚七漁船漁民數十罹難僅一人生還
page 8	空郵發達電報減費
page 8	本港不受時局影響
page 8	西船員罷工或難實現某　江輪船主不願參加船公司亦多已圓滿答覆
page 8	兩路線巴士改訂行車時間
page 8	三院請政府撥助不敷經費
page 8	救傷隊將賣花
page 8	國聯同志會週年會議主席致詞歡迎港督任名譽會長對國聯會之無能歸罪列強觀望
page 8	美退還庚款會決繼續津貼華北各校但以不變更課程為原則存款安放地點尚未決定
page 8	徐景唐等來港謁翁文灝
page 8	華商會昨會議水費問題未提出討論
page 8	旅暹僑胞紛紛返國服務第四批日間可抵國門日礦棄職華工三十六人昨日抵港蘇島汽車司機服務團定今日北上
page 10	大埔至上水摩打新車裝竣
page 10	女青年會籌備祝勞動節
page 10	花架臣將返英
page 10	少女逃婚別戀愛郎被控窩藏罪
page 10	省港澳輪船公司年會去年業務轉好溢利十餘萬元
page 11	英人心理與英國政治一
