page 2	對日交涉大警告五亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	不信任案議員催吳景濂下星期列入議事日程
page 3	孫中山催王寵惠返粵
page 3	沈鴻英林俊廷將授勳二位
page 3	蘇鄂皖魯贛聯電勸孫中山離粵
page 3	財長劉恩源因財政無辦法辭職
page 3	黎元洪令楊希閔張開儒援壹等文虎章劉玉山古日光李
page 3	易標林警魂楊廷培陳天太戴永萃朱世貴二等文虎章
page 3	傳粵海軍北歸將妥協
page 3	張作霖電京三省民心盼速收回旅大擁護國權惟力是視
page 3	廿九日閣議廿一條駁覆文通過即送
page 3	吳佩孚電張紹曾薦王正廷長外交張已允並向國會疏通
page 3	王寵惠定二日出京因避迎孫文任命嫌疑決到港即放洋不上省
page 3	吳佩孚電京請禁孫文招民軍借外債速頒令統一全國如違即勦
page 3	廿九日閣議財長劉恩源口頭辭職
page 3	湘市民數萬廿九日游行經日領門前日警察禁阻派傳單毆傷數人經交涉使向日領抗議
page 3	劉冠雄廿九日離閩三十日可抵滬
page 3	京師警察久欠餉廿九日擬罷崗急向中國銀團借款十萬發給始上崗馮玉祥軍欠餉亦久亦回銀團乞暫維持
page 3	杜錫珪廿八日派兩艦赴駐十二字墟守提鹽稅
page 3	岑春　派其子德廣赴京商粵桂事
page 3	昨漢口傳楊森兵潰不確楊趙會攻忠州唐潘攻梁山但懋辛軍仍扼守忠梁連日劇戰互有勝負陝胡軍廿八日抵漢即西上赴援楊森
page 3	吳佩孚電楊森速拔重慶握川財權不攻自定
page 3	倒閣潮經曹錕緩和張紹曾又積極統一分電徵求國事協議會意見
page 3	孫傳芳不願周蔭人軍久駐閩故張始曾對閩北護使令暫擱
page 3	省河鹽斤滯銷
page 3	海軍催發餉項
page 3	省垣搶劫日盛之原因
page 3	奉軍準備入關之滬訊
page 3	漢口不買劣貨風潮甚烈某領請制止
page 3	張作霖因避復辟謠言決罷春操祇派員分往檢閱
page 3	商會繳解各行預餉
page 3	中行恢復消息
page 3	民八議員來粵說
page 3	裁減軍政費之希望
page 3	駐粵海軍將有重要宣言
page 3	陳偉祥又與古日光脫離
page 3	九龍再限制放水
