page 1	日本和俄侵華說之解剖
page 2	日對解決蓉案外交範圍極廣泛迫我承認滿及互換使節
page 2	粵漢路首次通車均已平安抵達票價亦已規定今日開始發售
page 2	蓉案交涉未許樂觀糟谷意誣此事有背景日三相舉行秘密會議
page 2	班禪入藏發生波折小達賴反對甚力
page 2	解決察北綏東問題將舉行劃界會議地點在商都或寶昌
page 2	冀察新稅係由川樾建議每年收入不解中央以一部作津石路借款抵押品
page 2	日佔東北四省無法應付義軍各地迭遭襲擊損失實屬不貲
page 2	日侵我領空任意飛入晉境
page 2	中山秀雄案續獲兩嫌疑犯
page 2	會北坡走私復熾改由海河運入津市
page 2	北平日軍實彈演習驚人
page 2	馮玉祥將赴華北視察
page 2	駐星加坡總領事由高淩百繼任
page 2	滬虹口捕房發現麻袋女屍並在夾袋內搜出嗎啡
page 2	魯省棉產豐收建廳召各縣指導員開會討論運銷問題
page 2	林主席離牯乘艦返京過大通時赴九華游覽
page 2	尤烈致電李蔡懇勿棄眾獨行容忍私忿共禦國難
page 2	滬市各界募款購機準本月底結束並決定募足一百萬元
page 2	應付蓉案方針日海陸軍首腦意見分裂海軍少壯派欲藉蓉案抬頭決單獨對華採取積極行動所謂軍事外交一元化新陣容已呈混亂狀態
page 3	日偽封鎖俄領事館禁止售賣食物與領館派白俄匪徒公開監視
page 3	檳榔嶼華僑購機募款成績頗佳
page 3	首批蘆鹽本月中旬運日雙方已簽訂契約
page 3	崛內干城啟程來華履新
page 3	贛省各縣登記公民統計共八百九十餘萬人
page 3	須磨謁陳外次商談日使館地址事
page 3	桂林人秦英發明捕盜利器
page 3	中國銀行擬在暹設分行便利中暹貿易
page 3	湘省二五兩區候選人已產出
page 3	平滬漢三處破獲造偽鈔平市主犯已判死刑滬市主犯亦處徒刑
page 3	臨時高考典委人選已定典委會七日成立
page 3	駐平日軍舉行劍術比賽表演節目分別四項
page 3	世運代表團由意乘輪返國
page 3	權限爭議評定委會無設立之必要法制會審查結果
page 3	遙堤堵口工程定下月初興工傳汝霖赴鄂視察並籌商工程計劃
page 3	巢縣時疫流行
page 3	太平洋發生颶風將侵山東半島
page 3	立院令飭各委會速審理各法案
page 3	吳晉航等考察川省絲棉
page 3	第十九次中常會議決案
page 3	政院全體職員一律參加運動
page 3	中蘇文化協會第七次理事會通過馮玉祥等為會員
page 3	職校補助費案最後審核完畢合格者五十餘校送部長最後核定
page 3	國選消息彙誌
page 3	日放煙幕宣傳日蘇同盟俄使將予痛斥
page 3	德國與偽滿互謀發展商務
page 3	德法競擴軍備
page 3	世界和會開幕參加三十二國
page 3	托　斯基遷居
page 3	西國叛軍連日猛攻伊倫經幾次血戰後已佔領兩高地城內官軍決堅守誓作殊死戰
page 4	第四屆渡江泳六日下午舉行報名期改今日下午止截機關長官踴躍捐贈獎品大會職員已推定
page 4	推定職員
page 4	收到獎品
page 4	香港青年會勵進團增設支團于廣州
page 4	華人游泳會水運會止截報名
page 4	友誼籃球賽華雄雄戰勝光華成績八十二對十七
page 4	水體水球隊征港今晨乘車首途
page 4	冠雲小足球隊一對零戰勝天台冠雲今日出戰陶義
page 4	英京銀價無變動
page 4	英對美匯兌仍漲
page 4	港外匯市情報靜
page 4	滬外匯市情穩靜
page 4	摔角賽成興新激剌華僑黃博昌迭受各方挑戰對手為兩印人與一菲人地點時間均尚在接洽中
page 5	余漢謀尊重司法軍法處縮少範圍非犯軍法之案概送法院辦理為再縮經費起見九一起各處裁員三份一
page 5	桂對蔣提和平方案大部份接納惟桂軍統帥人選及改編尚待考慮財廳增印毫券全非事實梧州已取銷封船令並起水雷
page 5	中央艦與江防艦分往西江南路警戒詳誌張之英否認第三次辭職日內將赴西江視察防務中央練習艦隊司令王壽瓊來粵指揮海軍中央軍艦九艘粵江防艦十四艘分別開赴西江南路
page 5	和平使者抵桂後南路軍事仍告緊急行營昨徵用全市貨車赴南路以備運輸中央再撥砲兵廿八團及大批汽車來粵
page 6	商辦三十年之潮汕鐵路潮人請政府收歸國有潮安建委會委員痛陳該路辦理腐敗六點建廳批飭令候查辦
page 6	商辦廣東銀行分行清理與復業近訊
page 6	潮屬人民請整理自治事務裁撤參議會區公所
page 6	南路歸客談桂軍入粵境情形中有范石生舊部後頭桂軍已撤退惟該部四出招兵邕商會請弛鹽禁
page 6	大肚婆山金礦強採潮經已解決由某礦商承辦
page 6	公安局偵緝隊改編續訊
page 6	禁賭要聞續誌縣市禁賭分會將成立
page 6	河南雲渠里謀殺案兇手周士濤解法院傷者已過危險時期
page 6	廣州市小販再請維持營業具呈辦法六條市商會已轉請
page 6	市行秘書談該行設施之四點增八個辦事處分辦工商放款
page 6	李揚敬日前赴港
page 6	四路軍總司令余漢謀
page 6	閩省綏靖主任蔣鼎文
page 6	中央海軍部次長陳季良
page 6	省府秘書處
page 6	粵路全線通車成功首次北行昨晚抵武昌總務處副長區家瑛在衡電粵報告南下首次直通車決今日在武昌開粵路新機車昨日試駛至軍田
page 6	過衡電報
page 6	抵達武昌
page 6	淩局長談
page 6	南下快車
page 6	試駛新車
page 6	商人聯請撤銷復征土布出口稅惟關員言所征係機織土布
page 7	對意輸出迄未恢復
page 7	兩年輸入數目比較
page 7	各國瓜分意貨市場
page 7	雖謀補救成功不易
page 7	旅行社組觀潮團
page 7	史　皮奧機郵件幸無散失將可運港
page 7	鹹魚商人力謀救濟漁業整個計劃已商定將按步施行
page 7	三千萬借款問題港府尚在攷慮中
page 7	客談梧州之現狀
page 7	赤柱新獄之工程
page 7	港英商擬請限制非英貨入口
page 7	繁榮會昨開常會接納漁業商人條陳意見請減稅呈文照修正通過
page 7	撤銷經濟制裁後意貨運港未見增加主要商品市場已被各國分佔欲謀恢復恐比征復阿國尤難
page 8	昔日驚奇今為慣事
page 8	開闢荒地尤為得力
page 8	置身天上萬慮　空
page 8	工務局去年之水務報告二
page 8	鳳山丸煙案三審
page 8	廠聯會昨開例會
page 8	深圳禁賭後廣九路收入銳減
page 8	楚觀艦昨日赴省
page 8	汽車失事傷三人
page 8	三人意外受重傷
page 8	海壇煙案疑犯獲釋
page 8	兩老婦打架一受傷
page 8	航空交通之面面觀劫提斯昨在播音台演講
page 10	星國展會再請港廠商參加
page 10	車輛失事之統計
page 10	般含道之喊賊聲
page 10	初級法庭案彙誌
page 10	攜婢來港
page 10	喚賣酸薑
page 10	私擅入境
page 10	接贓疑案
page 10	淑文學墊之補習班擬改夜課以求普及
page 10	台山縣求賑風災
page 11	瓊崖商民請撤銷食鹽專賣旅省同鄉定期開會
page 11	各屬電商請發還電力公司
page 11	海晏火警波及郵局
page 11	佈告焚燬大幫紅丸
page 11	博茂鹽場清除積弊
page 11	三埠擬設中行分行
page 11	汕頭潮汕公路修理完竣
page 11	禁賭後之政教經費
page 11	中山乾霧沙業佃聯請當道救濟風災並請豁免本造各捐費
page 11	電杆撞斃車中搭客
page 11	林阮兩姓醞釀械鬥
page 11	潮梅治河會有裁撤說韓江上下　去月決隄慘況
page 14	為救濟金融發告民眾書
page 14	洛川之救濟實施計劃書
page 14	施劍翹女士對三審判決之表示自首未成立引為遺憾
page 14	求仁得仁
page 14	心中不快
page 14	誰肯自首
page 14	讀書興趣
