page 1	長江我軍積極反攻
page 2	美與南美諸國舉行重要談判日　在成立美洲同盟以抵抗極權國家侵略
page 2	據
page 2	成就國掃
page 2	猗萬公路日軍　伏
page 2	仰光邊界屯集大批軍械準備滇緬路開放運入
page 2	滬美僑準備離境
page 2	黔問陽縣發現鹽井
page 2	日本糧食無法自給
page 2	許世英由港抵渝
page 2	日機三十三架狂炸昆明許多文化機關遭受重大傷害
page 2	美採強硬態度非因選舉問題預料美國大選之後美國態度有強無弱
page 2	國民體育會議四次大會
page 2	滬發現反英美組織
page 2	滬法租界公共汽車罷工
page 2	七旬老翁節約獻金
page 2	傳筱菴出殯禮定二十七日舉行
page 2	虹口日軍軍槍擊案日方大捕疑犯
page 2	麥訥謂韋爾基缺乏外交經驗不能應付獨裁者
page 2	羅京英僑百名乘車離境赴土
page 2	美輪兩艘定期開來遠東協助美僑撤退
page 2	聲明不能攷慮泰國土地要求但準備立即批　法泰互不侵協定
page 2	皖南我軍又傳捷報浙西日軍西犯受創向彭澤推進我軍僅距一英里
page 3	蘇聯答允予土精神援助抵抗軸心國家之壓迫蘇聯已採取戒備步驟
page 3	國慶日林主席訓詞二
page 3	德機狂炸倫敦程度異常猛烈投下許多燃燒彈及煤油彈目的似在縱火焚燬倫敦城
page 3	英人詹姆士在日被控
page 3	德欲南國成為經濟附庸專致力農務生產以備德國之　取
page 3	奎松發表談話不相信菲島將有戰爭但菲願與美合作發展國防願獻出人力　資供美支配
page 3	林白演說攻擊政府謂政府領袖導美國陷入於戰爭之路途
page 3	澳聯邦總理曼斯演說澳洲不能與英分離此時決難放下武器
page 3	意開始感覺原料缺乏戰爭無期延長下去出乎意感估計之外
page 3	美海軍機在岷尼剌演習引起居民注意
page 3	美成立委會指導增加飛機生產供英美兩國需要
page 3	點亦不守
page 3	同一手段
page 3	未見明朗
page 3	德軍開入羅國後巴爾幹諸國驚懼希特勒命羅避免與英衝突土方宣傳德欲利用羅攻蘇
page 5	日採鎢機器被炸燬
page 5	陳漢興部反正抗日
page 5	警報聲中桂林發生大火焚屋數十起火原因未明
page 5	澳省輪船昨未復航
page 5	南侵軍事暫採緩進政策西尾特派青木南來
page 5	粵節儲運動積極開展余李共認儲九萬元
page 5	順德水道交通斷絕輪渡多被日封用
page 5	粵省銀行舉辦惠淡農貸僑商捐款辦平糶
page 5	李培興父子請纓粵軍區昨傳令嘉獎
page 5	李主席報告川行觀感在省參會駐會委員會議席上
page 5	澄海日軍蠢動受創蓮陽劇戰我獲軍用品甚多
page 5	解決廣東糧食步驟首重購銷運輸次為防止操縱廣東糧食管理局短期內成立
page 5	中山團隊夜襲大小霖奏捷白蕉附日軍增加斗門尚安謐三塘日軍已撤退但時來騷擾
page 6	台山救苦救難濟目前民食限制積穀流通米石所有穀倉不得高價發糶
page 6	大鏟伶仃方面日軍之積極佈防傳日軍撤離寶安又不確鯊魚涌有大批電汕被焚
page 6	該處海面佈設水雷
page 6	電油一批突告爆炸
page 6	台省支行停兌國幣仄紙華僑電層憲呼籲改善舉出停兌仄紙之四害
page 6	連賀公路通車
page 6	西江各縣設站護送港僑返鄉東江舊僑所所長易人
page 6	瓊崖增設黨部
page 6	韶籌建中山堂
page 6	許崇清抵韶關
page 6	滬銀行界撥款補助清貧學生中大員生紛紛抵韶關
page 6	興寧商業最近狀況土紙暢銷中質地急求改良
page 7	住客聯會致電力公司函請恢復大南街收銀處
page 7	羅伯遜畫展定本月十八日開幕
page 7	中紅會昨開常委例會
page 7	學界宜參加防空訓練謝家寶昨對記者之談話
page 7	談話如下
page 7	本港學界
page 7	僅十小時
page 7	星輪女客自縊　交保良局撫養
page 7	謝氏又謂
page 7	粵會計員考試正取生昨揭曉
page 7	福建省銀行五周紀念盛況
page 7	餓極偷菜窮漢被毆慘死警探扣留疑犯兩人
page 7	又破獲字花廠六賭徒被重罰
page 7	兵災會捐萬金贈抗戰受傷將士
page 7	警當局組保衛團不欲商負擔津貼費但區區十元薪金實難招顧團員現擬取折衷辦法縮短當值時間
page 8	同姓同名　　死信百餘　殯人空走一遭死人身上脫回壽衣棺木退回樂隊遣散
page 8	書法座談會演詞憶錄
page 8	張一　先生開會詞
page 8	楊千里先生演說詞
page 8	張之英先生演說詞
page 8	江太史霞公演詞說
page 8	美派專輪接僑民返國馬利波沙輪日間可抵港
page 8	港曼班機兩週內可復航
page 8	九龍關新稅費
page 8	赴星投軍被拒之英僑將在本港服務昨有兩人已由星乘輪返港大部份仍寄居星洲旅館中
page 8	民生書院管理財產糾紛
page 8	李仙根先生演說詞
page 8	勒索案昨判決被告被罰二百元
page 8	英婦孺三百人請免疏散僅有兩人獲准留港雖籌生活費亦不能作申請理由被審問人多怒形於色出言不遜
page 10	遠東風雲緊急港菲埠際泳賽菲方能否來港成問題代表團人選經已擬定
page 10	全港華人水上競技會今夕七時仍假南華場舉行
page 10	勵進團週年水運將于月底舉行
page 10	鐘聲社泳場週年水運有期白　堂報　全場獎品
page 10	售貨員的普通學識一
