page 1	歐亞新秩序的前途
page 2	泰越邊境頻有事變曼谷當局禁止發表
page 2	日反美運動再爆發東京市上遍貼標語
page 2	英倫南海岸再被德機重炸某小鎮幾無一地點倖免倫敦被炸損害房屋數間
page 2	修森頓城亦被炸擊
page 2	抗戰期間之經濟政策孫科在中央聯合紀念週演講
page 2	英機轟炸大陸各港
page 2	美當局現正考慮再加強財政援英美可接納信用訂購代替借款羅斯福昨返華盛頓接見英使
page 2	烏拉圭上院反對建軍港案外長決將引咎辭職
page 2	華盛頓號郵船並未發生工潮該輪船主發表談話
page 2	援希英軍源源運抵希臘登陸時希人歡呼若狂希軍再獲意俘虜千餘
page 2	英外交顧問大罵德國甚至德國女子亦無一溫柔者
page 2	英輪賀巴特號發電求援在西印度群島被一敵艦砲轟
page 2	泰越邊境連日發生防軍衝突日對越又提出新要求河內美副領尚被日軍扣留未釋旅華日海軍後備兵已奉徵集令
page 3	南保拒絕逼誘係受意敗影響
page 3	土國立場堅決已有應急準備
page 3	斯洛伐克加盟即時發生效力
page 3	汪內部又起衝突社運委會與特工部鬥爭甚烈
page 3	美輪被日扣留兩度抗議不承認日有權封鎖中國沿海
page 3	日誘南京政權參加三國同盟傳月底將先承認及簽訂和平條約
page 3	贛皖邊區日軍猛犯至德被我重創贛我軍圍攻瑞昌附近敵據點鄂中潛江沙市一帶我軍活躍
page 3	日委野村為駐美大使
page 3	西園寺之榮哀日皇已特准同葬元老制從此消滅
page 3	北愛總理患心臟病逝世
page 3	岷尼刺軍事法庭宣判一間諜案羅美慮人佐往通敵罪被判處十五年苦工監
page 3	日憲兵拆毀滬西草屋貧　無可歸者意達三千餘人
page 3	滬英籍志願兵乘輪返國入伍岷尼刺美僑多人撤退
page 3	歐洲新秩序難樂觀南保準備拒德假道蘇聯壓力及意國戰敗土南反抗軸心更堅決
page 5	江門附日軍變動後市面情勢混亂謠言甚熾人心恐慌日艇擾大沙被擊退
page 5	市面情形頗為混亂
page 5	中山與澳門之交通
page 5	粵參議會駐委開首次會議錄要有請懲貪污及登記官吏財產者兩案均議決推舉駐會委員審查
page 5	獎勵科學人員
page 5	以免借公營私
page 5	組政治暗察團
page 5	援附日軍防我反攻
page 5	粵贛實施邊區聯防
page 5	李漢魂延見日反戰團
page 5	粵糧食機構大加調整由糧食管理局統籌辦理設評議會盡量購鄰省米
page 5	兩部附日軍在萬頃沙發生繳械戰葉某部被包圍繳械
page 5	小貪污亦嚴懲巡哨長收花捐被撤究
page 5	東莞查禁罰款移親及疏
page 5	欽縣龍門港仍泊五日艦瓊崖日軍一部他調進窺西貢欽縣附日份子被我捕獲槍決高雷游擊隊改組將設警備部
page 5	撥款救濟災區難民
page 5	槍決欽縣附日份子
page 5	海口日軍一部調越
page 5	高雷軍事重新調整
page 5	日機續炸水東梅菉
page 5	廣東省銀行開辦造船貸款
page 5	寶安日軍受挫後昨又派機炸沙魚涌等地觀瀾前遭日砲擊災情慘重日軍在上　掘戰壕地洞佈防
page 6	保證
page 6	利息
page 6	處罰
page 6	湘省米鹽買賣近況白米價已減低准商人自運鹽
page 6	購鹽證換取購米證
page 6	准許商人自由運銷
page 6	惠陽木排頭船戶被匪劫掠
page 6	越督巡視廣州灣商人聯請開放貨運德古允予考慮後再行答覆糧食一項將設法由越接濟
page 6	民眾歡迎情形熱烈
page 6	商人申請開放貨運
page 6	日檢查員頗有醋味
page 6	寒衣捐款已匯重慶
page 6	粵省府飭屬保護郵局派送僑款
page 6	三水三江鄉被日軍攻襲之慘況全鄉已成瓦礫之所災民遍野亟盼救濟
page 6	從化神崗日軍偷襲帽峰山受挫大埔日軍庫被焚
page 6	東江上游籌設裁剪學院開服裝展覽會均用土布製成
page 6	我游擊隊焚燬小欖沙口日營
page 6	中央明令改正少數民族稱謂凡屬虫獸鳥偏旁名號改為　旁無法改從　旁之字則改用同音
page 6	增城日軍抽調空虛我團隊襲鐵場日機場　州日軍赴增城增援
page 6	供應軍需發展生產粵訂定小工業貸款辦法指定廣東省銀行撥款辦理全部貸款辦法已公佈施行
page 7	工程師談
page 7	東江護僑所保護歸僑辦法
page 7	尤列紀念學校開游藝會籌款擴充校舍收容難童
page 7	港紳擬請取締導遊社維持風化政府當能接納
page 7	華籍西醫向醫務局抗議請恢復簽防疫證權
page 7	清貧學生繳驗證件辦法僑委會暫准融辦理
page 7	省澳輪已復航葡輪昇昌今日赴省中山日軍勒收旅客入口費並禁糧食出口中澳貨運停頓
page 7	各街市攤位紛紛歇業來貨短少無業可營衛生局定期再　投
page 7	灣仔防空洞全貌全部完成可容二萬人東區可挖掘地點較多
page 7	蕭頓球場
page 8	內有支票
page 8	付諸一炬
page 8	有利可圖
page 8	授余以計
page 8	教部令國內各校院訓練工程人才五千名將採統攷辦法取錄僑生
page 8	搓麻雀惹出命案少婦否認作老千要求賠償名譽費千元原被告均為富
page 8	黃寄生昨飛渝
page 8	移民局擬多設辦事處
page 8	營業汽車撞死一手車伕手車乘客可受重傷
page 8	消防救護車改塗防空色素
page 8	十四對新人同日註冊結婚創本港近紀錄
page 8	華人代表定期歡宴星督
page 8	閩商積極組織華僑建設公司　招得　木千餘萬
page 8	大學聯誼會二屆代表大會即席分配各部工作
page 8	英人獻金購機昨又匯出四萬餘元
page 8	臬庭追悼連素法界聞人　參加
page 8	苦力殺同侶案押候今晨再審
page 8	劫艇案五疑犯
page 8	劫艇殺人疑案被告何龍　獲釋
page 8	醫務署時症報告
page 8	林德銘個人畫展
