page 1	美議員主再提和議的透視
page 2	日傳美將參加歐戰速撤美僑加強制日
page 2	美報認日勝華絕望反對軍需繼續濟日
page 2	美輿論趨向漸一致均主援英援華制日
page 2	英皇邱吉爾教皇耶誕演說意義重大邱演說係對英意關係坦白表示意所能答覆邱吉爾者詞意閃爍
page 2	羅斯福致書勗勉學生必須發揮勇敢精神爭取勝利維護自由
page 2	英德空戰暫停已達八十小時連日海峽大霧又無月光空戰停止料因天氣所致
page 2	國際陰謀德艦冒懸日旗日輪炮擊那魯
page 2	駐坦及爾英領赴馬德里協助英大使與西政府商議坦及爾時局問題
page 2	一外國間諜潛入蘇境被蘇戍兵扣留
page 2	地中海兩岸英希軍繼續向意壓迫北非英軍包圍巴地亞鎮愈緊阿境希軍冒雪作戰續向北進
page 2	英委克銀漢為運輸部主任
page 2	希特勒在前線對工人演說
page 2	埃下議院同情助英
page 2	停墨港德意輪升火待發謀衝　封鎖線逃脫
page 2	駐美比總領鼓勵海外青年踴躍從軍助英作戰
page 2	美洋面保險戰險費再減少英海軍勝利結果
page 2	阿國北線又有劇戰
page 2	英軍仍圍攻巴地亞
page 2	美對歐戰態漸積極上皖一部份議員建議政府運用國力調停歐戰主由美召開交戰國圓桌會議美報傳英意有單獨媾和可能
page 3	蘇軍集中羅北監視德軍行動
page 3	日傳德軍調動已得蘇聯諒解
page 3	滬工部局提議增稅將召開納稅人會議
page 3	美金箴基金委會助我千金作為聖誕禮物分贈戰區難童
page 3	奎松患病移居奎松城私邸
page 3	滬各報評歐戰局贊成艾登出任外相德國無論如何不能救意失敗英在轟炸中產生一種新精神
page 3	美郵否認不停日港調換航線引起誤會
page 3	羅斯福將提議加速建造商船以補充英商船之損失建兩大郵船航太平洋
page 3	英大使卡爾感謝我同情英人抵抗　神星與我人媲美
page 3	日本旅行業務將向德意擴展在柏林羅馬設分社
page 3	英驅逐艦又一艘被擊沉
page 3	滬聖誕之夜凍死百餘人童屍估三分二
page 3	日本國會休會
page 3	日重要官吏一人赴西貢晤秋田會商奪取南圻計劃日在海防附近積極擴充機場休假期內泰越邊界仍有衝突
page 3	法親德報責備貝當破壞德法合作
page 3	僑胞陳綿生捐獻國幣五十萬
page 3	贛沙埠潭西北日軍竄擾不逞犯咸寧日軍中途中伏晉我軍沿陽沁路襲擊
page 3	國際風謠甚熾傳德侵烏克蘭
page 3	巴爾斡大戰將發德軍五十萬進駐羅邊三師團先抵意國蘇軍增防比薩拉比來意存　視英倫海峽砲戰再起空軍將活動
page 5	寶安日軍調返廣州
page 5	瓊崖日軍組編兵團
page 5	禺南盜賊橫行各鄉拍賣嘗田救濟米荒
page 5	日又狂炸惠陽投彈二百餘沉船數十艘老隆被炸以公路為目標
page 5	購糧資金
page 5	船舶管理
page 5	縣倉積穀
page 5	粵力謀解決米荒問題採購大批洋米及鄰省米接濟官民努力進行一切均極順利
page 5	台山促進教育組教育視導團
page 5	台山舉行一保數兵運動先將本年中簽壯丁徵送
page 5	中山小托擊退日軍擊沉日艇三艘斃日軍數十洴涌四喜圍亦被日艦侵擾
page 5	免稅洋米
page 5	各縣餘糧
page 5	倉儲制度
page 5	粵鹽運湘免稅放行除湘南各縣外亦酌予減稅桂運湘鹽斤亦予種種便利
page 5	粵北我軍奉令擴大出擊連日向福和神岡不棉挺進日主力結集太和市江村等地瓊日軍編兵團似仍醞釀南進
page 6	兵田公耕辦法粵通飭所屬切實施行
page 6	粵舉辦工業合作貸款貸款總額二百萬元貸款辦法昨已公佈
page 6	韶青年所近視收　青年　　百餘人
page 6	四邑官商規定銅元價格
page 6	粵青年團獻機瓊崖分團認捐款十萬元南雄區隊獻滑翔機一架
page 6	獎勵人民告發汽車肇事
page 6	潭葆壽視察東江糧食
page 6	一區專員公署飭各縣防範沿海日艦日軍登陸應沉著應付肅奸工作應積極推行
page 6	粵軍民合作站限本月底成立
page 6	政院規定縣政會議組織
page 6	三埠物價調查
page 6	瓊崖我軍迭獲勝利儋縣日軍兩路蠢動被擊潰日數度反撲武蓮市不逞文昌我軍擊落日機一架
page 7	銀行貸款米商辦貨
page 7	米價短期內將大跌
page 7	柴薪亟應規定售價
page 7	國貨廠商要求延長展覽會期限代督改期卅一日再往參觀
page 7	移民局取消五間代領證處
page 7	重建惠滇醫院募捐成績甚佳已得港幣三萬餘元
page 7	強徒炒戲票連日發生大打架東方戲院印護勇被毆傷警探捕獲疑犯四名訊辦
page 7	大批魚菜到港
page 7	聯美機昨抵港
page 7	美女作家史特朗抵港在渝所得印象甚佳謂我必獲最後勝利
page 7	港韶貨運艱難大批滬貨躉存本港
page 7	少婦服毒自殺
